cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
1.0,2.0,1.0,1.0,-226.56,-36.77,-48.77,2.5,89.28,45.53,-84.64,-9.35,-353.72,-7.55,-54.36,-2.91,-12.3,-13.68,0.0
1.0,1.0,0.0,0.0,7.86,-29.94,43.5,4.48,-47.96,-27.8,-95.61,-21.83,357.0,-11.76,-0.38,-23.99,-23.56,16.29,1.0
1.0,1.0,0.0,1.0,-80.58,-3.14,101.76,-5.55,62.06,-3.44,-126.11,46.55,171.54,-5.76,42.16,9.3,-48.79,-1.58,0.0
1.0,2.0,1.0,1.0,10.0,-5.31,-28.49,-1.48,116.08,58.55,-85.44,-43.24,-245.57,5.28,32.34,-4.18,10.62,-24.32,0.0
1.0,1.0,1.0,0.0,4.83,-3.48,-150.26,-4.91,75.69,-39.8,125.0,16.19,268.37,-2.06,12.15,-27.13,-155.84,11.13,0.0
1.0,0.0,1.0,1.0,-189.59,-16.37,2.42,-3.55,43.06,-58.8,90.74,-42.86,253.1,-7.96,-1.47,-11.35,-96.06,13.95,0.0
1.0,1.0,1.0,1.0,-157.22,41.99,64.44,2.84,-25.74,-25.04,76.99,120.95,147.63,9.25,4.27,-26.53,-0.05,-3.33,1.0
1.0,1.0,1.0,2.0,48.83,4.05,-9.62,-2.23,-31.93,-134.26,-52.16,-74.38,194.28,21.37,-14.08,30.99,-32.73,3.41,0.0
1.0,1.0,1.0,1.0,109.66,0.24,56.6,-1.1,10.28,-62.27,19.25,-59.08,201.37,-18.22,-49.98,2.66,-25.63,12.69,0.0
1.0,1.0,1.0,1.0,12.92,-13.11,-34.87,1.09,23.47,-28.34,-11.23,-37.2,131.71,10.94,-12.42,-10.63,8.7,10.16,0.0
2.0,2.0,1.0,1.0,-41.82,-3.15,22.58,-3.35,79.74,165.68,-109.87,102.09,-278.43,-19.8,-58.34,13.22,112.06,-4.0,1.0
1.0,1.0,1.0,1.0,-79.83,0.42,9.58,1.42,3.67,-22.31,-7.94,169.17,114.91,8.57,51.32,7.66,18.73,12.66,0.0
1.0,0.0,1.0,1.0,147.1,-17.01,-142.81,-6.51,60.69,-44.53,-147.34,66.46,286.52,-38.65,-1.41,-28.12,103.08,8.57,0.0
1.0,0.0,2.0,1.0,-107.09,-4.53,-70.17,1.64,-42.96,-1.92,6.89,47.99,82.96,18.15,20.22,0.86,12.21,-1.12,1.0
1.0,1.0,1.0,1.0,-90.15,13.4,-48.3,-5.43,59.16,38.9,93.42,64.28,-54.11,-15.02,-62.27,3.84,-24.99,-7.05,0.0
1.0,1.0,2.0,2.0,52.6,13.23,-54.96,-3.61,40.58,-5.94,-60.85,32.29,-96.2,-17.47,25.63,-6.34,30.99,-0.2,0.0
1.0,1.0,0.0,0.0,64.67,-19.97,28.85,1.31,28.69,-83.04,-31.23,33.15,338.82,-3.39,-12.53,-1.27,-2.17,18.97,1.0
1.0,1.0,0.0,0.0,-46.94,15.04,27.25,6.15,-17.51,-108.89,43.2,135.52,235.15,-6.61,-25.78,12.54,-86.96,7.35,1.0
1.0,2.0,1.0,1.0,-134.29,9.99,-127.54,-1.16,50.0,73.0,-48.31,-27.65,-20.86,-1.63,67.01,5.96,16.67,-2.0,1.0
1.0,1.0,1.0,1.0,-1.92,2.37,-16.92,-1.18,40.42,-103.94,88.83,-27.93,49.94,4.81,40.02,11.79,22.64,-26.49,0.0
1.0,0.0,1.0,1.0,48.1,17.87,46.16,-0.3,-60.89,63.69,-59.12,-22.26,180.65,-29.0,64.72,31.33,94.61,-10.22,1.0
1.0,1.0,1.0,1.0,134.5,-19.78,-67.5,-1.8,30.64,28.64,122.87,41.03,41.0,12.61,36.53,26.71,32.96,-11.41,1.0
1.0,0.0,1.0,1.0,145.86,18.44,-4.47,0.75,-83.44,67.32,-194.25,71.49,195.48,2.58,35.16,14.02,30.21,1.17,1.0
