cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,target
0.0,1.0,2.0,-138.53,-99.51,-107.48,16.87,104.3,19.58,-42.06,16.05,102.67,-189.55,19.05,-56.63,23.68,219.16,-26.34,-32.37,-2.93,5.83,60.16,1.0
1.0,1.0,2.0,61.8,-2.38,-42.07,-65.41,137.81,-8.72,-38.91,24.71,-63.76,59.02,20.98,19.31,203.57,-44.6,-22.4,15.37,-3.16,3.67,-24.96,1.0
2.0,2.0,1.0,32.81,35.31,112.05,-84.0,-67.24,10.45,-116.61,59.24,68.41,255.64,-14.95,62.62,51.29,-83.38,-41.69,0.31,-22.84,18.71,124.32,0.0
1.0,0.0,2.0,248.76,-5.87,12.84,14.29,-68.89,19.5,1.05,-16.48,56.49,218.72,-89.17,-59.14,-122.12,127.48,142.44,17.61,-43.68,5.34,-42.82,1.0
2.0,1.0,1.0,-118.27,-105.9,-228.64,72.64,92.06,-1.43,-133.6,-33.31,-48.27,59.45,22.2,76.48,69.39,-62.62,-79.87,2.86,-79.8,14.57,31.35,0.0
2.0,1.0,0.0,-53.17,43.68,24.36,-10.58,-90.17,-2.79,72.98,-18.1,23.19,-29.96,75.06,6.84,-42.91,-111.78,50.68,-0.45,2.65,-15.01,-94.01,0.0
1.0,1.0,1.0,-187.24,-7.93,-62.68,-25.88,54.24,-11.57,52.87,12.21,-123.27,-192.59,184.03,138.74,-206.31,-126.6,-59.63,1.03,32.14,-9.77,-103.43,0.0
1.0,2.0,1.0,-114.3,61.49,-35.8,-25.46,-96.65,2.99,-22.55,-81.74,173.25,-84.25,14.09,34.66,360.92,191.87,-160.64,-16.8,-61.92,-0.63,101.87,1.0
2.0,1.0,2.0,-12.86,73.7,-90.7,72.33,58.24,17.88,51.56,-4.91,-123.89,-40.38,-29.01,-7.84,-79.69,24.09,21.82,-16.01,44.1,-1.65,-67.93,0.0
2.0,1.0,1.0,-78.84,-142.68,-68.84,-34.3,20.36,5.75,38.45,-11.98,-53.73,74.81,-31.78,95.57,26.35,-88.24,-132.1,4.67,-49.96,15.0,115.84,0.0
1.0,1.0,1.0,-149.3,-3.56,-15.14,51.61,-209.52,24.03,104.5,-36.25,130.29,-396.19,53.97,82.6,208.63,30.47,-325.13,9.17,-27.12,3.21,294.09,1.0
2.0,1.0,3.0,-54.02,-64.12,-157.98,77.97,-151.86,-11.96,16.18,-50.94,15.99,113.39,-36.41,3.6,195.6,-81.52,-61.96,-28.47,-71.89,1.11,106.65,1.0
2.0,2.0,2.0,-182.45,-20.11,6.72,-0.45,-248.69,-16.96,-16.13,44.42,14.5,-204.42,130.72,105.04,331.99,-116.98,-64.0,-16.6,88.44,9.66,-339.13,0.0
2.0,1.0,1.0,-69.77,-73.58,-46.27,-14.98,102.97,-14.46,2.52,15.49,-166.87,-91.17,-104.26,140.48,366.77,92.71,-263.22,-20.07,38.14,3.42,-27.99,0.0
1.0,0.0,1.0,-108.28,44.88,33.01,25.25,-43.18,-1.74,-67.01,97.62,-79.46,44.26,80.17,72.69,-274.06,-167.23,-58.91,-2.88,46.91,2.44,208.4,0.0
2.0,1.0,1.0,92.42,-69.05,-101.55,-20.47,38.19,-8.36,-105.71,33.32,217.63,-101.27,-57.94,21.7,,36.91,-109.19,31.34,-65.51,-0.48,129.56,1.0
2.0,1.0,2.0,-26.7,51.52,113.96,56.12,-63.81,-6.72,-75.47,72.44,-124.21,-226.5,30.29,16.29,100.82,-86.61,-78.25,-9.61,37.62,4.57,-44.24,0.0
2.0,1.0,1.0,259.28,-202.17,-41.43,114.53,10.15,-15.11,-63.14,-22.38,286.48,111.06,-113.57,43.18,-185.0,103.7,16.58,34.01,-3.95,-3.54,-18.53,1.0
2.0,2.0,1.0,26.49,45.35,11.3,-3.04,9.4,-24.44,146.16,-14.95,-156.62,-58.92,-65.66,-7.66,363.53,5.72,-66.08,36.04,-137.99,17.12,-107.09,0.0
1.0,1.0,1.0,32.26,42.94,-0.27,17.47,-62.1,2.82,-3.25,-9.56,151.05,465.91,-55.49,158.12,-204.39,34.81,-49.75,27.08,-37.79,-2.66,168.35,1.0
1.0,2.0,2.0,-10.44,-141.75,80.03,33.8,53.99,-9.17,72.5,-4.44,-111.03,125.11,14.64,-0.45,226.52,69.3,4.2,-5.56,48.48,-1.25,-27.5,0.0
1.0,1.0,2.0,-19.53,144.98,-83.61,-29.87,-73.43,-8.44,-25.29,0.65,283.28,-212.69,48.58,-39.78,46.37,-1.01,5.9,10.58,31.03,-6.77,-43.25,1.0
1.0,2.0,2.0,21.67,-260.09,15.99,8.66,-39.64,3.99,60.16,-24.98,-15.23,-175.73,-9.67,-73.78,73.31,33.95,-26.43,19.71,31.36,-5.79,79.3,0.0
2.0,1.0,1.0,91.63,197.77,59.37,24.97,-6.67,-5.04,19.33,11.37,-5.79,453.42,-147.07,-83.82,405.71,64.82,-16.28,7.36,19.65,-4.9,282.57,0.0
1.0,1.0,1.0,157.86,48.93,-6.28,-35.16,-84.83,2.44,-23.27,25.96,115.95,-113.19,76.89,-91.02,-51.7,-120.79,107.18,30.29,54.1,-6.38,-15.91,1.0
2.0,1.0,2.0,-32.16,10.73,-46.58,-44.52,102.62,-9.6,122.12,11.45,-27.22,157.87,-27.63,-19.97,280.18,25.82,16.51,3.12,43.45,9.91,-50.2,0.0
1.0,1.0,2.0,-41.95,-33.97,-66.25,-35.85,-13.5,-16.12,-45.21,-63.97,-28.95,198.42,1.14,25.31,78.05,-45.49,-40.71,-8.65,-0.09,-14.98,155.54,0.0
2.0,2.0,2.0,80.42,-114.94,116.77,-36.5,203.15,6.17,46.17,46.16,-44.22,60.89,8.39,25.83,-120.77,-123.0,-42.68,-2.58,-21.55,-4.12,180.83,1.0
2.0,1.0,1.0,-19.16,90.92,83.43,-15.36,5.7,-11.51,-104.44,-21.79,-27.63,-75.13,-41.22,66.87,167.46,3.2,-118.03,-14.09,-58.14,1.06,-40.85,0.0
1.0,2.0,2.0,82.81,-93.66,-10.39,-22.57,-49.01,22.23,-60.16,-17.15,-20.9,-69.31,48.18,-35.2,140.28,6.28,-41.19,7.14,-4.05,-10.63,132.31,1.0
2.0,2.0,2.0,28.09,-86.02,33.6,96.58,-139.46,1.27,-35.82,-13.3,21.01,-133.97,-152.21,59.16,196.12,152.36,-236.48,5.07,7.09,3.59,149.77,1.0
2.0,1.0,1.0,125.38,-52.6,-11.09,-16.84,25.36,-2.42,-137.48,23.72,-193.81,-24.1,-43.86,54.86,139.97,-48.81,-64.04,-15.41,68.12,-4.67,-95.58,1.0
2.0,1.0,1.0,6.42,50.67,-106.28,30.11,140.34,16.6,38.83,45.9,-58.79,-123.01,-59.3,-20.89,391.64,58.5,-154.5,-11.22,-10.59,-0.08,115.42,1.0
2.0,1.0,2.0,-154.1,-8.66,81.36,21.11,-47.7,8.07,79.69,-76.9,198.01,167.36,-13.43,14.08,158.31,-11.52,-48.59,18.28,14.35,-6.33,124.4,1.0
1.0,2.0,2.0,-46.95,71.22,112.65,47.08,-175.83,23.3,-31.09,-56.4,180.81,-79.54,-20.06,-17.35,126.49,147.0,-82.53,13.33,43.33,-10.88,128.93,1.0
1.0,3.0,1.0,-46.05,-52.71,96.73,-30.35,-100.69,-11.66,102.45,-1.78,83.62,10.72,135.0,-19.96,-116.43,-160.08,123.81,-9.87,2.27,-2.45,-92.53,0.0
2.0,1.0,1.0,52.64,61.29,157.51,-53.2,82.33,-5.12,45.71,-11.02,-241.61,11.76,-41.11,5.52,265.99,51.74,-78.67,10.15,4.56,6.61,22.37,1.0
1.0,1.0,2.0,109.34,88.02,132.2,2.87,24.55,-9.92,-10.06,3.13,-170.11,99.47,-28.34,-140.83,-140.1,184.58,223.87,38.6,-30.95,5.05,-120.84,1.0
2.0,1.0,1.0,13.01,5.97,38.57,-42.32,95.4,-25.14,-183.1,-18.67,-13.89,244.86,-63.19,-79.72,229.82,-26.82,61.71,13.9,-99.34,5.35,51.03,0.0
2.0,2.0,2.0,56.37,-50.03,-136.69,-123.46,-68.42,-8.42,-93.47,36.26,-40.6,-124.59,20.26,-64.61,-339.68,-74.32,102.46,0.37,43.44,-9.68,-7.97,0.0
2.0,2.0,1.0,181.54,69.31,7.48,27.86,-79.26,-3.55,-215.37,26.54,-312.25,171.7,-88.1,63.98,111.58,5.57,-80.5,4.48,-10.83,-2.92,55.08,1.0
2.0,1.0,2.0,114.49,-33.65,23.36,22.59,130.27,3.52,-87.55,25.0,-121.66,106.39,-16.05,75.97,131.19,-114.13,-79.61,2.21,34.89,5.38,30.95,1.0
2.0,2.0,2.0,136.92,189.34,-76.07,-16.93,263.33,14.63,-156.06,-12.5,231.16,-146.7,38.78,-37.59,54.94,-153.06,-24.79,-14.97,-21.2,1.15,95.3,1.0
1.0,2.0,2.0,-104.3,49.04,-63.97,13.58,-24.46,-1.02,-39.25,-34.47,-89.45,190.74,14.25,40.82,-57.05,-51.54,-64.94,-8.94,35.92,-9.44,246.32,0.0
2.0,1.0,2.0,-72.49,-176.57,-173.41,32.63,-64.11,13.21,-33.15,-30.25,-139.15,-86.5,9.77,35.47,-84.24,-132.34,-48.68,-1.03,44.36,4.65,6.66,0.0
2.0,2.0,2.0,146.26,-20.7,-18.46,55.29,-86.31,27.74,55.66,-28.39,141.69,-99.3,12.56,-41.52,119.48,-123.11,-70.41,-20.86,-22.91,-2.07,205.01,1.0
1.0,2.0,1.0,65.11,-3.39,93.05,-13.12,-52.32,3.48,69.07,8.86,269.98,-127.49,78.25,-7.65,75.0,-80.77,-25.18,18.5,30.19,-11.28,51.77,1.0
1.0,2.0,1.0,53.92,-82.1,-70.01,-71.69,120.49,-14.9,-60.85,21.63,17.26,-79.95,49.96,-110.81,-54.66,26.68,143.93,-8.29,-21.25,-10.01,-86.9,1.0
2.0,2.0,1.0,-114.43,245.97,-103.79,41.77,-27.03,3.31,-4.68,8.17,47.49,-336.48,105.14,103.5,-7.19,-102.93,-46.62,37.17,-15.61,5.64,-319.05,0.0
2.0,3.0,1.0,54.97,34.94,187.14,-116.63,49.56,13.71,166.11,6.07,-73.33,324.07,-93.42,170.75,-13.47,-38.55,-183.57,-17.63,9.54,-5.13,242.43,1.0
2.0,0.0,2.0,-45.69,-147.37,21.71,-48.83,-224.79,-16.71,109.68,6.86,-84.23,-271.83,0.94,-112.33,458.0,-133.71,-74.66,9.29,0.81,12.9,27.07,1.0
2.0,1.0,2.0,-47.57,-140.15,-53.22,14.07,-118.09,-14.56,65.38,-22.28,-104.04,58.82,6.87,-34.1,210.29,-4.83,39.77,8.89,27.91,-6.58,-94.5,0.0
2.0,1.0,2.0,-62.31,-27.25,66.81,121.86,-134.36,-22.88,-152.02,80.91,-158.13,198.45,-47.82,22.16,77.64,-26.23,-132.45,-7.53,2.41,-11.84,358.61,0.0
3.0,2.0,2.0,62.37,61.09,-28.05,82.66,-60.07,-20.46,-0.04,-40.07,-203.69,-227.63,-189.6,47.99,70.53,156.83,-181.74,7.08,83.39,4.92,-26.25,0.0
2.0,1.0,1.0,-79.59,125.66,-84.06,-13.97,39.38,-5.32,40.99,-12.23,-78.75,-184.81,-40.07,-99.06,89.89,146.06,38.41,-32.57,29.04,9.13,-99.23,1.0
2.0,2.0,3.0,7.83,101.75,129.09,-28.71,-46.31,-7.96,-93.85,8.78,-141.31,16.54,-62.23,-1.05,95.97,21.28,-53.09,9.86,68.63,2.35,43.65,1.0
1.0,2.0,2.0,51.03,-133.63,-29.84,45.74,-69.08,15.74,-85.41,40.15,47.52,215.58,26.67,39.74,2.51,-85.51,-36.22,-7.72,-47.35,-9.67,203.45,1.0
2.0,0.0,2.0,-94.04,-61.61,140.4,-13.55,52.06,5.78,-15.16,11.45,-229.1,-340.46,23.66,27.72,-7.57,-35.49,-47.69,-25.61,37.11,-19.2,-215.73,0.0
2.0,2.0,2.0,142.19,76.3,-129.35,-23.61,-81.01,-2.95,41.3,9.51,-88.45,334.97,-88.38,134.77,-96.77,-5.48,-61.04,-3.17,53.13,-9.05,67.65,1.0
3.0,1.0,2.0,75.07,-25.5,-27.75,34.53,-17.1,-13.07,-132.96,-8.1,-99.66,-72.09,-109.99,-51.19,-87.23,-103.43,64.21,2.59,-7.29,-5.52,-154.03,1.0
2.0,1.0,2.0,-116.29,154.68,186.27,-57.73,-152.03,11.19,8.41,-37.37,62.36,139.89,56.27,52.2,-174.49,-167.93,6.17,-10.04,61.55,2.23,91.54,0.0
1.0,1.0,1.0,42.52,-0.68,47.09,-11.23,73.38,12.71,95.15,33.49,105.29,-97.42,15.21,-30.65,65.25,40.4,40.08,-26.73,-34.6,-2.91,-114.74,1.0
0.0,2.0,1.0,123.71,-36.51,-75.07,54.69,241.53,21.31,146.9,-74.35,184.46,127.1,94.17,-55.76,-144.39,50.49,242.04,-47.51,-34.44,1.09,-224.38,1.0
2.0,2.0,1.0,-83.6,70.15,45.83,11.4,-68.29,16.74,23.11,-26.86,-1.59,94.79,31.21,49.03,-17.28,-57.95,-5.24,-6.72,70.55,-4.74,-11.88,0.0
2.0,1.0,2.0,42.71,84.8,130.16,28.27,-89.09,-4.54,109.83,-8.43,-69.72,329.7,-177.5,-86.41,384.67,54.01,-50.39,-15.38,27.15,13.11,255.48,0.0
2.0,1.0,3.0,-36.12,79.37,-76.33,-9.77,212.67,-23.98,85.16,-12.77,-51.81,-221.98,42.43,24.89,-3.29,-61.33,-17.96,9.24,-7.12,-8.15,-159.01,0.0
1.0,1.0,2.0,-154.23,122.3,-75.93,-8.67,24.53,-4.98,-11.76,-11.16,95.78,-54.84,244.83,75.62,41.06,-267.97,17.95,16.68,-19.3,-1.55,-96.64,0.0
2.0,1.0,1.0,-12.9,150.63,-18.28,-42.94,-38.67,4.38,27.94,52.16,-194.93,-354.67,-71.8,61.19,138.17,34.19,-176.96,19.31,-8.91,-1.23,-110.16,0.0
2.0,1.0,2.0,-55.93,-60.47,0.95,64.24,-113.64,-10.42,-40.72,75.74,53.65,193.64,-35.23,56.27,119.23,-3.08,-78.66,3.05,-24.69,-11.22,123.33,1.0
1.0,2.0,2.0,48.69,-106.09,-170.59,-60.23,-85.65,28.4,128.11,0.47,5.82,-65.33,-3.85,-29.63,16.64,105.71,-1.1,29.92,-44.19,10.59,23.24,1.0
2.0,1.0,1.0,74.23,204.34,26.93,-59.65,-62.35,-3.04,-50.39,-8.02,-134.63,-203.61,-125.26,-89.67,150.39,2.61,-90.59,17.08,-21.02,6.76,125.18,1.0
1.0,2.0,1.0,21.09,60.7,-27.46,-3.14,-72.45,-16.48,75.79,-11.84,55.75,317.57,-38.59,86.31,-41.68,-12.73,-53.89,30.67,-5.15,2.66,169.74,1.0
1.0,2.0,1.0,82.88,63.96,-35.06,37.14,133.07,21.38,-137.04,39.53,26.59,-30.29,-17.24,-32.97,233.59,67.71,-86.37,12.62,39.03,-9.82,174.12,1.0
2.0,2.0,2.0,32.12,-62.16,-28.34,81.71,42.68,33.64,-39.53,-15.91,-127.59,-122.01,-50.19,-26.41,-115.9,-12.95,-12.03,-24.91,-8.0,6.32,15.04,1.0
2.0,1.0,2.0,64.18,-98.52,-17.34,-22.02,53.01,14.44,-22.78,-82.11,-60.99,-171.31,55.87,-198.97,13.99,-145.7,182.44,2.99,30.72,-4.66,-70.75,1.0
2.0,2.0,2.0,9.32,-108.48,43.74,152.3,-57.11,12.14,26.91,-71.56,-143.8,7.56,-97.55,17.0,159.19,64.13,-90.56,-6.24,28.29,5.98,25.9,0.0
2.0,1.0,1.0,10.92,0.25,-3.69,69.39,-37.42,-3.58,224.92,-18.5,-136.52,133.1,-59.8,12.72,151.07,4.71,-98.6,7.26,-24.47,3.54,200.03,0.0
1.0,2.0,1.0,134.75,86.28,154.53,27.65,-65.59,-3.96,4.32,-42.12,136.71,-16.3,-6.57,-24.19,-201.18,49.52,58.78,-10.49,-18.39,13.7,18.9,1.0
1.0,2.0,1.0,16.51,9.0,144.88,15.26,-24.42,5.2,-39.82,24.11,118.54,-24.71,97.82,-43.25,-223.59,-172.4,120.17,-3.47,3.9,-2.26,-15.92,0.0
2.0,2.0,2.0,-74.37,29.74,-5.88,-8.27,-122.4,-1.78,-35.22,11.76,134.33,188.05,25.05,1.42,5.11,-88.04,97.07,-28.31,55.99,-3.67,-102.7,0.0
2.0,0.0,2.0,65.74,-188.86,52.98,-29.41,26.0,-3.68,-126.89,-23.01,-98.55,-8.22,-23.95,-0.61,10.77,-152.3,-35.44,11.85,-14.35,-5.52,68.13,1.0
1.0,2.0,2.0,11.75,-122.98,114.2,1.43,-77.69,35.47,86.08,57.13,-163.24,-32.74,-65.96,-102.23,67.88,171.38,22.81,6.31,16.08,0.24,68.16,1.0
2.0,1.0,1.0,46.83,-118.85,-53.74,-21.37,164.82,-5.25,90.92,-84.02,-208.29,-158.08,-120.56,-12.61,161.28,104.57,-85.03,35.99,-28.5,-7.97,-65.89,0.0
2.0,2.0,3.0,50.84,29.81,108.22,18.83,56.46,-1.31,-121.37,-17.92,-3.83,-49.87,-0.7,-58.6,72.57,-98.26,74.67,-10.36,17.76,10.47,-124.7,1.0
2.0,1.0,1.0,44.0,-8.95,-42.18,-12.65,114.31,16.42,-70.19,68.46,-150.82,-74.12,5.47,-152.41,72.16,15.35,144.92,-16.89,90.28,-10.59,-99.77,1.0
2.0,0.0,1.0,29.94,16.29,10.04,8.51,1.62,-4.25,-94.32,3.77,44.15,-163.9,51.62,2.66,-256.17,-161.62,-8.31,-3.74,33.84,-14.29,79.08,0.0
2.0,2.0,2.0,17.91,-140.64,38.85,66.61,-72.37,-9.85,87.57,-33.17,205.57,-173.85,-18.45,-53.43,-44.29,21.26,63.28,-10.14,6.62,1.22,-150.25,1.0
0.0,1.0,2.0,-24.2,-4.85,5.35,-30.33,12.4,12.28,-19.94,-7.27,157.61,-2.61,10.86,14.79,0.44,202.45,-35.76,12.44,29.46,-0.47,75.09,1.0
2.0,2.0,0.0,-166.16,-110.8,40.62,-77.56,52.58,10.08,-101.14,31.24,-14.84,-46.7,77.6,68.93,-203.37,-128.06,36.91,7.82,-12.98,-3.07,-163.22,0.0
2.0,2.0,1.0,-123.89,98.39,58.54,22.49,53.67,-11.46,-75.37,-27.7,-101.88,-65.62,61.58,81.92,-6.41,-112.93,-82.07,-17.21,-5.14,4.9,-3.27,0.0
1.0,1.0,1.0,50.3,-43.8,189.91,3.83,-22.55,-24.05,-116.51,42.83,-196.77,-129.5,-20.12,-50.66,113.41,42.57,-75.84,-28.49,5.31,-5.89,152.39,1.0
1.0,2.0,1.0,202.65,202.89,29.27,46.91,-28.15,14.02,8.52,-40.78,199.95,44.36,-52.57,51.34,-85.96,96.33,-46.53,-11.38,128.81,-2.53,71.42,1.0
1.0,2.0,2.0,-97.84,-10.75,-83.01,5.53,74.76,-2.24,67.58,0.64,96.69,126.3,208.66,-54.68,21.99,-229.64,198.96,-18.19,19.97,13.17,-128.62,0.0
2.0,1.0,2.0,-17.1,125.24,86.98,3.78,76.09,10.57,-10.5,-74.69,-50.31,-48.81,45.99,-18.1,291.99,-101.31,-77.42,-14.27,-37.86,0.89,104.28,1.0
1.0,2.0,2.0,-67.19,-38.16,-2.56,24.38,-56.89,8.4,-46.24,-37.59,-89.07,-35.73,62.97,84.56,-39.79,-99.46,-72.48,10.92,-34.77,-6.01,15.81,0.0
1.0,2.0,1.0,2.77,66.8,-164.3,29.1,47.35,1.75,-117.23,6.27,23.06,33.59,21.31,-148.23,111.49,71.68,161.83,22.34,19.16,25.01,-71.69,1.0
2.0,2.0,2.0,-35.91,8.11,95.31,37.98,-45.62,-22.0,65.96,11.19,-173.66,24.13,-29.28,76.48,34.87,-88.47,-201.42,23.62,55.49,-2.28,312.43,0.0
1.0,2.0,1.0,55.68,-44.76,141.17,-90.49,9.29,14.98,-15.03,-25.91,-158.05,7.05,51.03,26.2,288.78,-46.16,-103.3,43.61,-102.46,-0.62,114.48,0.0
2.0,2.0,1.0,-104.8,-22.32,94.1,-52.47,101.24,-5.88,31.92,-25.97,-85.89,-209.6,-18.98,-104.3,341.3,-87.53,-55.54,-0.11,7.36,4.48,36.77,1.0
1.0,0.0,2.0,180.88,94.0,74.62,52.74,119.92,-5.91,-159.22,4.09,301.77,50.04,-34.47,56.67,-341.91,115.32,13.47,0.13,-24.71,7.57,53.58,1.0
1.0,1.0,2.0,106.14,-111.36,56.02,-52.34,118.31,-3.91,-84.51,-60.67,-144.81,194.67,-29.52,61.0,42.73,-4.0,-70.76,30.38,3.25,19.04,146.66,1.0
