cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,target
0.0,2.0,0.0,1.0,16.46,-28.28,-46.41,89.0,-64.57,47.73,91.46,6.24,-453.87,-257.98,15.88,0.0
1.0,1.0,2.0,1.0,-17.24,-39.08,57.14,11.31,-19.08,7.77,-116.08,2.04,-155.56,-128.52,3.73,0.0
1.0,1.0,2.0,1.0,-11.81,3.95,-182.52,11.13,-56.19,-47.76,12.11,-1.22,-144.94,-75.53,13.28,0.0
1.0,2.0,2.0,1.0,9.98,-48.3,-19.84,28.08,-40.04,-29.68,-61.11,-0.94,-70.0,-77.32,19.34,0.0
2.0,1.0,1.0,1.0,70.64,-10.39,-1.01,-121.17,-93.37,37.24,-9.26,-2.2,124.22,-11.75,-31.37,0.0
1.0,2.0,1.0,2.0,40.5,-27.1,71.03,-25.8,-108.87,47.1,-104.17,-0.4,-15.68,-140.54,-19.37,0.0
1.0,2.0,1.0,1.0,34.44,-47.44,-195.24,-11.68,-87.52,-13.5,-1.71,-0.75,-77.35,57.6,2.65,0.0
2.0,1.0,1.0,2.0,-23.29,49.53,-113.65,-59.56,-109.61,41.87,134.44,3.58,39.41,-203.64,35.03,0.0
1.0,1.0,1.0,1.0,-30.0,57.76,-96.77,-44.1,75.36,23.23,-60.1,-3.43,95.96,-379.23,27.69,1.0
1.0,2.0,2.0,1.0,45.43,-12.38,-36.79,-71.2,-43.08,57.18,-180.99,0.8,-39.55,-30.81,-22.9,0.0
0.0,2.0,1.0,1.0,-1.09,-15.04,-101.02,-44.58,-50.09,-28.32,44.18,-2.12,-199.18,-126.63,32.19,0.0
1.0,2.0,3.0,2.0,12.39,-34.38,28.77,106.2,-104.78,12.37,28.85,-0.06,-45.41,-21.89,25.83,0.0
1.0,2.0,1.0,1.0,28.16,32.77,174.6,-52.39,-55.35,-23.53,-74.24,-3.74,-30.38,-41.28,23.58,0.0
2.0,2.0,0.0,1.0,26.35,-122.86,17.68,120.41,-101.99,-10.45,-23.93,0.72,-45.61,-239.17,26.71,0.0
1.0,1.0,2.0,2.0,-14.79,32.46,141.26,-117.02,-47.61,13.4,69.61,-3.14,-64.64,-88.81,-20.85,1.0
1.0,1.0,2.0,1.0,37.7,-60.49,-174.14,63.44,-130.64,-3.32,121.4,-4.83,-175.7,-74.53,-26.67,1.0
2.0,1.0,1.0,0.0,16.76,-58.16,-1.14,14.18,118.92,39.89,46.43,-3.11,351.99,-273.47,7.96,1.0
1.0,1.0,2.0,2.0,-52.78,-88.98,58.99,-16.5,75.16,51.97,-46.45,5.8,-196.73,-162.73,1.27,0.0
2.0,2.0,2.0,2.0,-22.0,-115.91,44.56,-94.52,-36.02,12.48,-29.96,2.28,91.01,-288.71,24.46,0.0
1.0,1.0,2.0,2.0,-21.68,-6.73,-132.19,-34.65,-18.53,13.16,114.26,-3.15,-58.09,-61.9,-28.09,1.0
1.0,2.0,2.0,1.0,26.28,80.98,25.26,-120.4,-38.74,-59.66,48.71,-4.43,-50.9,-145.74,7.96,0.0
