cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
2.0,1.0,1.0,0.0,-243.49,32.04,24.44,70.42,0.04,11.2,175.4,-2.98,-87.2,-10.77,-180.35,34.84,-40.31,132.18,11.78,64.98,50.61,-0.35,2.62,-16.42,16.56,-83.45,29.41,2.0
1.0,1.0,1.0,1.0,-114.88,-112.55,19.74,-92.46,-19.92,72.11,-125.57,13.93,106.64,-21.69,92.13,66.39,-18.69,123.09,-1.0,-39.57,140.56,-26.09,-46.2,18.48,17.86,17.41,15.41,2.0
1.0,1.0,1.0,1.0,-15.61,158.84,-35.15,44.29,-3.26,-29.64,293.6,2.66,69.34,-25.87,15.99,134.46,20.82,-83.04,-2.55,21.24,58.35,29.25,-9.6,-29.61,-9.78,-15.25,14.18,0.0
1.0,2.0,0.0,1.0,48.77,43.66,25.94,-103.67,-45.81,12.31,-6.41,-4.33,43.23,59.27,-132.6,-33.49,-36.98,113.47,3.42,-16.47,-128.93,-58.1,18.18,-21.05,48.05,-22.39,27.92,1.0
1.0,1.0,0.0,1.0,-20.41,-36.05,49.07,-53.41,-1.45,136.6,-84.89,9.44,-54.14,-35.49,129.86,-45.55,57.63,3.19,-6.69,36.85,222.39,-70.96,-33.72,54.19,-57.58,79.36,-24.02,2.0
1.0,1.0,1.0,1.0,56.7,3.97,11.04,22.95,116.44,125.01,-126.37,4.74,-68.27,-5.35,-43.69,-4.75,2.75,9.74,44.8,25.77,43.02,-156.05,-63.75,100.28,-36.24,49.97,65.72,1.0
,1.0,0.0,1.0,112.37,216.14,-42.14,-31.51,57.53,-38.27,67.1,7.06,83.05,10.71,74.99,-32.64,-18.1,55.56,-39.16,15.7,-237.6,63.35,41.88,-72.37,-45.01,8.04,-48.63,1.0
1.0,1.0,1.0,1.0,-19.82,-125.27,42.68,76.11,8.74,-6.21,-54.6,2.63,-41.84,-14.23,27.08,-62.37,-28.67,-98.13,-34.08,85.42,-61.85,-119.05,-52.41,-89.24,-89.47,33.03,43.69,1.0
2.0,1.0,1.0,1.0,-9.13,-35.15,-21.75,45.6,-32.36,-10.36,-91.27,4.55,-83.55,-11.57,-14.9,-10.15,31.15,5.05,4.91,4.85,-160.07,99.27,-17.07,59.6,-8.92,-32.07,-13.78,1.0
1.0,1.0,1.0,2.0,-64.16,-39.39,-16.7,45.96,26.99,93.12,141.42,-10.49,-39.45,17.05,-28.21,-34.12,-10.65,-239.47,6.08,112.38,-45.63,252.51,15.47,-8.06,27.87,-57.9,-65.18,0.0
1.0,1.0,1.0,1.0,-73.0,7.87,-16.81,27.93,-23.83,-82.37,-95.86,-16.92,76.94,2.67,-70.38,-13.9,-41.25,32.26,-43.38,-228.81,52.33,-52.3,48.04,26.11,38.16,18.07,-11.09,2.0
1.0,1.0,1.0,1.0,65.03,-32.96,-6.29,14.33,24.47,72.73,-51.1,-17.3,31.54,65.94,207.25,-123.77,-8.09,61.31,23.4,-40.44,-64.98,-35.51,69.11,-1.04,-10.35,32.28,17.9,0.0
1.0,1.0,2.0,1.0,-47.75,-46.61,-2.12,-21.74,-39.16,-135.71,89.23,7.0,76.61,7.85,-43.72,-85.24,-10.48,-87.8,-3.39,87.74,-78.79,133.09,52.39,-80.28,-42.6,-54.34,-50.12,0.0
0.0,1.0,1.0,1.0,-35.33,-81.18,1.24,1.35,8.54,65.09,-58.42,10.03,-105.81,61.71,163.43,-44.09,-33.83,56.44,-17.1,-88.77,-28.35,61.24,-4.0,-116.94,10.9,-0.57,-4.05,1.0
2.0,1.0,1.0,0.0,-37.32,160.99,23.12,-88.62,47.58,197.27,-167.22,-16.97,-74.99,1.21,180.56,-9.21,-25.62,47.41,-34.73,15.52,-221.56,-11.96,-22.28,-9.94,3.53,61.34,20.49,1.0
2.0,1.0,1.0,1.0,33.83,94.91,25.23,14.17,69.22,-16.43,54.43,2.27,52.23,-3.79,43.01,-22.72,24.03,-34.58,-13.72,-11.22,48.9,-42.12,17.88,71.14,60.88,28.97,4.8,0.0
1.0,1.0,0.0,1.0,37.35,-107.78,29.8,47.06,12.35,-89.88,-127.09,8.62,-35.85,18.47,-58.03,14.16,8.15,15.61,12.71,-45.2,-58.12,-113.74,-19.09,-75.23,-28.38,27.04,-31.49,0.0
1.0,1.0,1.0,1.0,47.76,63.32,-12.46,-15.41,14.03,18.57,88.83,18.74,70.51,-17.9,82.76,54.74,-18.75,-101.78,-34.76,53.65,53.08,13.9,7.19,19.93,41.67,26.2,-1.95,0.0
1.0,1.0,1.0,1.0,57.76,-17.18,-24.55,113.89,-10.53,-144.24,15.61,-4.16,-60.21,-7.27,86.87,-0.23,11.25,-38.72,8.19,46.49,-221.03,1.78,17.88,-42.78,-45.31,-4.33,66.35,1.0
0.0,1.0,1.0,1.0,-78.83,-20.42,-14.54,95.94,20.08,4.98,15.71,-8.2,197.63,13.59,42.97,-33.55,23.6,1.46,-0.64,114.71,-99.02,25.21,-57.7,-87.06,31.87,-13.18,-7.73,0.0
1.0,1.0,1.0,1.0,25.59,-116.01,11.43,60.13,-47.65,-111.7,1.59,0.35,65.0,-7.29,21.96,9.85,16.78,27.99,21.2,-43.39,-96.91,133.45,61.96,43.2,38.32,-58.96,-12.12,2.0
1.0,1.0,1.0,1.0,-67.87,18.62,-24.64,61.1,10.58,-79.08,-83.49,-22.59,-102.69,-22.71,-167.8,-58.54,50.75,0.14,19.62,93.61,-52.19,-93.68,-13.15,-29.39,-54.41,12.12,-42.09,2.0
1.0,1.0,1.0,1.0,-84.53,66.13,-35.01,-24.14,-6.8,-33.03,-86.06,-9.59,-56.8,-23.28,20.89,-100.66,49.66,-46.44,-0.59,6.69,-119.46,112.57,10.08,-44.03,10.89,0.05,-16.51,1.0
1.0,1.0,1.0,2.0,57.14,-127.72,5.85,-48.0,23.12,49.91,84.76,10.6,-63.48,-23.45,-113.95,-22.78,19.15,31.74,42.85,-43.2,-178.4,184.16,4.62,-1.33,16.66,-114.02,-53.85,0.0
1.0,1.0,1.0,1.0,-25.11,-116.51,-26.35,-9.49,-8.14,-18.93,72.84,8.31,-13.66,-24.98,8.61,132.08,-11.43,71.78,-14.01,-2.83,-33.61,80.01,-26.87,-9.31,-36.09,-59.87,-19.27,0.0
