cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
1.0,2.0,55.86,12.43,-31.29,-350.95,-67.59,-12.55,62.9,34.25,25.55,-77.22,28.63,-19.72,-292.67,94.41,196.43,54.96,110.32,-131.81,0.91,-168.67,-1.67,1.0
1.0,2.0,119.94,7.21,-12.91,-26.81,-48.93,-28.46,-371.13,-203.95,29.22,38.04,-13.98,32.13,-210.53,27.57,-3.76,-38.63,221.46,-63.88,22.9,-186.68,-2.78,1.0
1.0,1.0,-44.8,81.66,10.52,-174.28,-83.43,-22.07,120.04,40.47,28.0,38.6,40.71,-68.92,-327.64,86.18,-77.61,57.25,-35.4,-75.58,-6.61,26.24,2.27,1.0
1.0,2.0,-78.31,-14.24,-3.57,37.02,29.53,26.32,83.11,-144.01,-101.88,-158.67,20.54,49.37,158.97,16.17,109.34,-53.38,2.39,115.7,-3.78,-78.09,0.73,2.0
2.0,3.0,-18.04,-30.22,13.14,-122.48,98.42,23.08,159.7,-28.37,87.02,41.92,-0.66,-75.73,-222.64,-22.15,166.67,-65.59,68.37,-26.0,15.16,-10.12,1.35,2.0
1.0,1.0,15.37,30.06,0.01,-30.28,-7.56,14.32,87.33,-133.56,-20.2,83.83,47.28,-16.03,-561.57,45.11,-282.73,44.91,166.81,-270.24,15.82,170.13,-2.71,1.0
1.0,0.0,-40.83,158.49,-1.23,106.88,125.28,27.01,17.41,-84.3,96.67,-13.32,-54.38,-20.98,-87.74,-36.26,-52.78,-6.97,-98.35,47.94,7.7,-46.13,-0.3,1.0
2.0,1.0,-0.77,-0.55,-6.38,-58.99,19.37,-23.19,152.39,42.82,-74.28,-87.1,15.86,12.03,-334.04,-5.8,77.51,-7.9,25.79,-457.11,-26.13,-20.72,2.15,0.0
2.0,2.0,-109.29,-51.79,-8.05,28.62,1.2,-46.74,37.46,43.26,52.42,53.67,69.46,-40.5,-155.27,-40.39,164.93,-100.23,12.08,-237.44,23.75,-2.36,2.23,0.0
2.0,1.0,83.72,-26.56,5.54,-89.36,-29.46,19.85,-88.95,-82.18,-37.37,55.99,-110.87,17.26,-354.65,11.4,-3.89,63.87,-6.86,-213.8,11.75,-49.8,-0.49,2.0
