cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,target
1.0,2.0,2.0,1.0,32.91,-33.47,-10.1,101.26,102.12,-51.73,-20.4,135.93,36.39,192.33,24.96,1.0
1.0,2.0,1.0,2.0,47.45,18.82,-44.71,87.67,13.02,-57.31,3.49,110.98,-22.87,152.36,73.48,1.0
1.0,1.0,2.0,1.0,-21.25,-32.56,-67.28,-49.76,-62.7,-191.77,-28.82,-43.62,-94.55,-90.25,-71.04,0.0
1.0,2.0,2.0,1.0,-76.41,139.75,5.19,9.33,28.23,-52.69,-8.81,-89.02,22.52,82.01,-86.73,0.0
2.0,2.0,1.0,1.0,-0.61,-45.32,-11.19,135.14,-126.38,-38.3,32.22,-26.15,74.16,141.16,-52.54,1.0
1.0,3.0,0.0,1.0,-142.06,39.32,-28.41,-0.71,-90.23,-170.77,50.68,-197.99,-33.45,276.41,17.42,1.0
1.0,3.0,0.0,2.0,3.48,-2.35,20.01,2.87,17.64,-33.04,5.55,-114.74,88.03,125.42,10.81,1.0
0.0,2.0,1.0,1.0,-105.44,-73.9,23.22,131.49,-147.91,11.78,68.65,-115.08,29.13,154.62,-34.74,0.0
1.0,2.0,1.0,2.0,32.46,100.39,26.03,-99.05,27.53,-81.87,-23.19,-5.53,7.58,129.07,-77.01,0.0
1.0,1.0,1.0,2.0,8.12,-120.18,30.37,-207.83,-1.18,-91.34,0.64,-175.29,-80.22,-300.3,116.39,0.0
1.0,1.0,1.0,2.0,53.55,98.96,2.16,46.84,-59.09,-52.67,28.8,-28.79,104.9,-26.37,38.22,1.0
2.0,1.0,1.0,2.0,89.76,-15.76,20.01,-112.55,-47.0,-124.63,17.48,237.39,-46.32,321.55,65.21,1.0
2.0,1.0,2.0,2.0,29.64,71.51,37.33,-39.58,-44.62,-66.16,-32.27,-11.46,-33.81,-121.17,-28.37,0.0
1.0,1.0,1.0,1.0,-52.83,11.18,38.59,77.19,7.27,-56.93,48.82,74.77,-106.28,71.4,15.91,1.0
1.0,1.0,0.0,3.0,83.84,52.88,-62.43,64.93,-149.79,37.94,13.88,92.2,-12.95,223.96,-2.72,1.0
2.0,2.0,2.0,1.0,-38.1,-1.56,-68.35,-51.21,80.08,0.67,25.44,7.94,-18.01,8.06,-79.01,1.0
2.0,2.0,2.0,2.0,-6.19,3.79,-102.78,74.15,36.48,-28.66,-27.53,-18.69,-45.76,137.14,87.71,0.0
1.0,2.0,1.0,1.0,-45.88,-112.78,50.34,-71.72,62.62,9.47,23.48,35.36,-52.79,62.99,10.25,1.0
2.0,1.0,2.0,1.0,-76.36,-83.56,70.33,92.86,21.8,-159.8,44.84,43.93,-37.16,249.76,-36.2,1.0
1.0,2.0,1.0,2.0,-13.1,-114.69,-51.65,-39.96,41.19,-150.08,-47.06,-76.53,-98.83,68.46,-49.74,0.0
1.0,2.0,1.0,2.0,63.35,-0.7,-14.86,-61.63,-16.56,9.14,-5.42,-40.79,99.14,82.51,39.4,1.0
1.0,2.0,1.0,1.0,-45.9,-19.06,-8.99,-72.47,85.14,18.08,7.95,78.57,-65.03,81.65,-81.6,1.0
1.0,2.0,1.0,2.0,-21.0,35.98,-21.06,65.0,-37.68,-14.79,23.13,-111.96,2.31,-69.17,169.69,0.0
2.0,2.0,2.0,1.0,-94.26,-40.42,-72.95,45.02,34.64,-95.28,44.29,27.55,-80.17,186.07,-50.65,1.0
2.0,2.0,1.0,2.0,45.23,-77.15,-3.73,76.48,-43.4,-62.01,-18.6,-7.98,13.84,217.72,-20.3,1.0
2.0,1.0,2.0,2.0,28.93,30.4,-25.59,135.69,-33.58,28.95,-1.11,-49.13,-16.4,-175.88,28.22,0.0
1.0,1.0,2.0,1.0,-34.28,86.88,70.44,-59.02,34.41,-46.44,29.49,64.12,-102.47,-54.04,46.93,1.0
1.0,2.0,1.0,2.0,-40.55,62.93,-49.55,-124.07,113.47,-197.32,-24.47,-98.44,-112.34,11.42,-9.72,0.0
1.0,1.0,2.0,2.0,8.65,24.5,26.42,38.05,-50.25,-26.9,-35.19,-39.4,-96.32,-152.76,139.69,0.0
1.0,1.0,2.0,2.0,60.18,-27.18,-2.99,-14.97,-78.79,-96.5,-67.16,-36.37,-23.9,59.61,22.49,0.0
2.0,1.0,2.0,1.0,-53.26,10.47,-3.64,167.66,-93.04,-18.8,-6.6,-63.76,-48.45,-122.25,90.49,0.0
3.0,1.0,2.0,2.0,68.53,29.5,-78.22,144.89,40.22,-83.87,-40.55,20.62,-33.74,30.99,69.02,0.0
1.0,2.0,1.0,1.0,-60.13,30.08,6.65,78.59,-89.86,-59.34,40.92,-69.41,43.98,128.56,38.59,1.0
1.0,2.0,1.0,2.0,8.0,-13.46,-0.45,-62.61,-52.38,-10.9,17.31,-57.48,76.98,136.25,-21.67,1.0
2.0,1.0,2.0,2.0,3.46,56.59,63.87,-166.33,-36.74,-101.12,17.8,-109.6,-15.84,-211.93,18.89,0.0
2.0,2.0,1.0,1.0,-14.19,-63.7,-46.11,-39.08,34.64,-100.76,7.48,83.53,-66.41,56.78,65.55,1.0
2.0,2.0,1.0,3.0,89.67,-82.28,-11.77,-93.15,7.39,73.44,-17.68,-55.22,14.99,-112.44,-95.34,0.0
1.0,0.0,2.0,2.0,40.4,-124.62,-39.35,8.71,17.19,-293.6,-64.71,-62.78,-141.26,-131.25,-21.83,0.0
1.0,1.0,1.0,2.0,110.72,31.18,-7.39,63.03,-79.93,-83.46,-51.68,-54.03,20.54,-142.21,-30.94,0.0
2.0,1.0,1.0,2.0,113.1,233.54,17.66,-182.35,-59.88,-196.97,-4.41,-12.02,91.01,85.69,-23.09,1.0
2.0,2.0,1.0,2.0,-75.97,9.12,-52.88,-3.2,100.18,-53.29,-12.53,-99.08,-125.41,122.2,94.46,0.0
1.0,1.0,2.0,2.0,41.71,-20.67,-52.33,-7.02,-50.31,-46.48,-19.25,-1.53,-42.96,-79.41,20.59,0.0
1.0,2.0,2.0,2.0,-38.22,-109.52,14.38,73.74,93.93,55.73,24.52,3.94,-1.61,135.06,195.98,0.0
1.0,2.0,0.0,2.0,16.74,-2.65,-48.0,-52.41,-29.94,-73.61,-0.13,-68.08,70.82,187.48,103.43,1.0
1.0,1.0,1.0,1.0,48.53,-31.87,-17.27,51.27,54.69,-137.54,-11.3,131.66,19.75,132.88,44.84,1.0
1.0,2.0,2.0,2.0,-20.56,-82.16,-34.07,5.36,62.87,2.14,8.86,-88.13,-10.19,-106.37,-79.76,0.0
1.0,1.0,1.0,3.0,37.3,-23.0,-2.39,89.93,-41.82,173.12,-3.41,-39.83,-59.27,-100.04,-15.89,0.0
2.0,2.0,1.0,2.0,57.13,-14.52,61.65,-3.27,-15.08,-43.25,-20.93,-1.15,31.91,187.84,6.43,1.0
1.0,1.0,1.0,2.0,6.0,58.28,35.39,-40.62,15.54,-110.8,-73.7,-158.35,-182.34,-249.89,13.33,0.0
2.0,2.0,2.0,2.0,-27.74,202.77,80.65,113.11,72.49,-38.42,-19.59,-11.08,-62.43,155.49,-52.45,0.0
1.0,1.0,2.0,2.0,30.11,10.18,33.59,-66.51,40.87,12.17,-11.75,21.05,-33.99,110.17,149.92,0.0
1.0,2.0,1.0,2.0,28.66,111.94,-28.49,28.29,-94.56,29.27,25.65,13.09,59.14,115.27,-57.12,1.0
3.0,1.0,2.0,0.0,-71.62,-50.15,12.44,-137.81,79.94,-109.46,0.01,6.86,-98.98,-127.26,120.14,1.0
3.0,2.0,2.0,1.0,63.3,73.19,11.29,-7.44,117.94,-99.96,-59.89,82.46,25.74,-34.79,35.42,1.0
2.0,2.0,1.0,1.0,-85.31,-42.55,29.36,-89.9,-11.38,-12.43,70.87,95.73,-121.18,291.95,-51.56,1.0
1.0,2.0,0.0,2.0,89.01,-28.68,85.05,-127.75,-91.01,-50.7,0.18,0.11,78.21,162.59,-2.41,1.0
1.0,2.0,1.0,0.0,-113.17,40.16,-1.26,105.52,65.36,-64.11,35.16,-3.02,-126.7,-79.64,72.27,1.0
