cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,target
2.0,1.0,37.05,43.77,54.63,1.41,428.34,-26.68,540.51,7.19,-87.66,-106.44,-7.07,-37.57,21.31,-85.58,247.13,0.0
2.0,2.0,-118.37,-86.07,-85.69,-12.06,-183.52,62.15,582.05,-27.49,-56.33,-319.72,-4.53,-37.41,3.28,-15.63,-15.82,1.0
1.0,2.0,-3.23,-91.2,-128.57,15.02,178.22,-62.69,24.7,-45.4,-146.97,190.38,-14.21,-36.06,-9.2,57.78,94.82,0.0
2.0,2.0,-73.35,-38.37,-69.94,-3.11,26.23,-34.16,-373.17,6.93,151.07,157.31,19.98,61.81,-2.37,-2.56,-154.06,1.0
1.0,2.0,2.59,11.61,-32.1,-15.52,-4.87,7.59,231.61,-9.05,4.78,-292.52,42.23,-37.86,31.9,25.63,-21.13,1.0
1.0,1.0,-107.42,-111.09,-122.46,7.22,-20.49,2.69,216.75,11.04,80.69,48.51,-4.17,-23.26,-0.99,-64.87,-81.36,0.0
1.0,1.0,77.82,-0.24,-38.74,-4.74,-187.12,-111.35,321.34,-62.05,-162.42,113.38,9.02,187.3,-27.34,-38.22,-234.59,0.0
2.0,2.0,-104.71,-72.77,-19.86,-3.93,83.78,2.47,269.91,-58.64,-15.46,-98.17,0.74,8.84,13.09,-32.17,42.23,0.0
1.0,1.0,95.62,120.39,-68.61,15.67,26.45,34.59,192.3,-9.53,-88.4,-68.04,-4.04,87.35,-6.61,-10.18,-242.08,0.0
2.0,1.0,13.27,89.4,53.58,-6.56,-53.78,-21.49,-698.45,-37.51,234.1,184.68,-20.72,54.74,-9.95,0.39,-174.56,1.0
2.0,2.0,119.16,-46.86,-8.88,1.2,78.58,-0.38,-445.19,-13.27,171.72,160.11,-35.65,88.22,-11.36,-32.65,-206.69,0.0
1.0,2.0,-76.72,57.55,-110.06,-13.72,-85.78,-65.03,450.85,54.9,-32.82,-88.22,19.97,-55.71,1.68,-33.13,-58.91,0.0
1.0,2.0,-24.5,-85.4,-45.9,5.9,58.43,-18.68,274.14,-79.91,-170.58,-24.6,-7.06,102.71,-13.15,11.6,-39.23,0.0
2.0,1.0,-34.26,47.04,201.54,-8.54,83.04,36.34,-427.95,-15.77,154.26,-77.16,-15.92,70.84,39.5,7.52,120.89,1.0
1.0,1.0,5.45,180.7,-48.39,25.81,39.99,26.25,291.33,3.48,-199.05,264.54,25.11,-116.97,27.1,-49.74,112.22,1.0
1.0,2.0,-24.79,-74.47,32.58,-9.93,-120.39,-83.98,124.27,-66.5,-192.58,121.24,20.87,186.81,18.42,16.92,26.16,0.0
2.0,1.0,-147.98,-276.58,-107.62,3.96,50.61,-25.72,242.07,2.85,-11.77,25.04,20.34,-24.39,-17.71,-36.93,-82.17,0.0
2.0,2.0,-50.47,114.42,-202.63,0.6,-253.81,104.42,499.17,-82.04,-0.56,-267.09,5.13,-104.62,-20.31,-24.04,-252.13,1.0
1.0,0.0,99.8,82.29,189.16,-14.13,80.43,-62.55,-36.58,-19.69,20.91,14.75,-14.08,-65.13,-3.42,-36.19,190.25,1.0
1.0,2.0,26.42,-61.72,-58.74,-9.51,-54.75,20.92,58.58,57.54,121.11,-62.02,-6.04,94.74,36.12,-27.01,12.09,0.0
1.0,1.0,-155.52,43.16,258.02,-1.74,83.24,-25.18,-510.9,20.02,-56.18,49.69,3.55,-94.0,9.96,68.05,113.53,1.0
1.0,0.0,25.29,190.13,-38.48,13.09,269.5,18.87,245.0,-8.85,-11.81,-167.53,-15.15,-43.32,-1.86,-9.9,-2.07,1.0
1.0,1.0,-11.55,59.32,32.88,-8.44,-19.45,23.55,310.27,14.69,-13.99,-164.38,7.76,-113.83,-0.47,-57.43,-66.41,0.0
1.0,2.0,-2.39,-108.62,-85.72,-5.06,-320.33,71.64,602.53,19.36,-90.62,-213.93,6.22,-20.33,22.99,-55.09,-190.47,0.0
2.0,1.0,111.1,35.61,-51.03,4.4,215.09,3.06,106.56,-94.53,43.21,3.3,-9.47,234.31,19.75,-34.05,66.77,0.0
0.0,2.0,-104.93,29.22,55.47,-22.29,-119.86,-39.32,180.33,-54.23,1.39,-75.2,18.06,-138.32,-3.94,-25.04,87.39,0.0
2.0,1.0,11.3,-73.27,48.9,2.72,74.63,-12.57,284.87,9.89,-153.82,-73.01,-20.1,-40.92,21.32,-10.08,17.98,1.0
2.0,1.0,3.47,31.05,-20.67,3.25,-78.5,-16.04,103.06,-8.93,-71.43,130.2,1.88,7.74,40.89,-16.47,41.85,0.0
2.0,1.0,82.03,-255.09,-4.38,10.29,176.29,44.62,136.33,-59.23,-65.58,-100.93,0.76,-118.24,9.26,17.21,105.44,1.0
1.0,2.0,-117.23,32.69,-93.3,15.94,295.8,-13.11,144.9,-31.36,-77.83,48.58,-12.92,-13.74,25.57,3.44,47.54,0.0
0.0,1.0,21.25,14.76,-17.96,23.53,267.6,-19.55,172.81,44.56,-186.23,139.63,16.85,19.1,-14.13,16.83,213.68,1.0
1.0,2.0,139.63,-111.94,-67.38,6.97,-13.27,39.48,-25.35,-48.84,-60.07,-93.26,-3.72,52.39,-16.3,57.32,-120.56,0.0
2.0,1.0,-19.31,126.08,-197.62,11.64,-203.42,40.77,952.94,68.6,-249.85,-177.74,14.63,-4.42,-45.73,-31.24,-70.45,1.0
2.0,1.0,114.42,174.7,63.35,17.95,392.17,-21.06,-186.61,48.38,-59.0,27.63,24.31,-71.81,-12.29,22.41,-31.53,0.0
