cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
1.0,1.0,0.0,1.0,122.87,63.04,0.42,-11.45,372.14,-3.96,-79.64,186.03,5.5,-144.53,-101.59,40.44,255.76,7.97,0.0
0.0,1.0,3.0,1.0,-23.42,-12.2,-1.25,1.17,104.38,-0.59,20.79,-141.65,-204.04,148.41,-125.8,16.67,-38.75,20.9,1.0
1.0,1.0,1.0,1.0,16.97,8.36,0.32,-25.84,-26.33,35.73,-50.92,-230.12,116.76,-44.25,-100.8,27.93,93.2,23.78,0.0
1.0,2.0,1.0,2.0,-73.44,-41.8,-3.58,31.63,80.46,57.5,90.94,-109.22,136.5,129.74,-26.75,-77.24,-67.46,80.93,0.0
1.0,3.0,1.0,1.0,-4.46,25.03,0.72,-7.6,449.62,-47.88,185.66,214.67,131.99,-33.1,118.97,-45.95,-213.06,2.48,1.0
2.0,2.0,2.0,0.0,90.02,-5.05,1.18,-16.48,258.43,-49.35,132.7,25.87,-28.74,-87.92,34.2,-23.76,60.3,3.87,1.0
2.0,1.0,0.0,1.0,-101.22,53.46,3.07,2.6,231.53,17.83,-19.19,25.64,-74.04,73.79,-3.83,-42.19,113.31,-25.89,2.0
1.0,2.0,1.0,2.0,-83.08,45.22,-4.18,-1.89,-15.59,5.98,22.64,-295.67,-65.9,-18.13,33.41,-57.97,-159.08,-44.91,0.0
1.0,2.0,1.0,2.0,97.47,-9.65,-2.65,-15.3,185.09,106.66,43.84,-3.21,-50.57,12.74,74.32,-52.36,123.45,-23.31,0.0
1.0,1.0,2.0,1.0,38.17,44.54,1.41,19.63,115.13,15.2,50.76,-42.04,80.99,27.25,140.68,-8.38,5.64,-25.31,2.0
2.0,1.0,2.0,1.0,49.94,38.87,2.13,-13.31,104.71,62.79,52.22,-139.99,-53.9,112.22,-65.67,-51.6,-215.18,38.42,1.0
2.0,2.0,1.0,3.0,8.3,-74.64,0.57,-16.08,-321.32,74.55,97.27,55.73,-274.43,89.06,35.44,-168.01,-131.13,57.34,0.0
1.0,1.0,2.0,2.0,-104.32,-67.06,-1.61,16.59,-8.96,-96.06,105.5,97.01,92.65,86.81,171.07,28.63,84.43,-30.95,1.0
2.0,1.0,1.0,2.0,31.68,-38.99,-0.95,-32.68,-38.31,-49.49,71.42,51.95,30.47,1.95,95.58,-74.77,133.66,10.33,1.0
1.0,2.0,2.0,2.0,-184.02,-19.69,-3.32,2.2,-137.43,-70.18,71.72,-10.19,-41.5,46.91,150.08,11.7,-142.17,-86.1,2.0
1.0,1.0,0.0,2.0,-95.55,-35.52,-1.66,19.04,-361.01,-54.52,6.02,-1.41,-53.46,-21.28,-32.88,-95.26,-42.48,66.68,0.0
1.0,2.0,3.0,2.0,76.0,22.08,0.45,-40.26,173.62,-44.23,-39.41,-20.22,-126.72,-31.06,-248.02,17.53,-109.0,15.64,0.0
1.0,1.0,1.0,2.0,32.59,55.09,-0.41,-10.11,46.17,40.74,-69.49,-4.51,134.16,-55.82,-143.04,-39.44,-75.38,-13.8,0.0
0.0,1.0,2.0,2.0,40.49,11.78,1.99,-1.39,-159.76,-35.54,54.63,156.27,104.62,12.57,260.49,-28.7,0.9,14.72,2.0
2.0,2.0,1.0,2.0,-17.0,-0.1,0.48,-6.22,164.81,15.43,1.29,-160.46,-73.69,79.82,-118.32,11.04,-73.99,-11.68,0.0
2.0,1.0,1.0,1.0,-17.97,4.58,0.46,-10.72,-56.01,92.74,-31.25,-200.59,16.86,-75.06,-164.54,4.27,50.98,-27.84,0.0
2.0,3.0,1.0,1.0,97.57,-10.16,-0.08,27.43,906.96,115.69,207.51,513.63,-101.16,99.02,-122.91,-149.51,-42.69,-17.1,2.0
1.0,1.0,2.0,1.0,124.38,25.47,1.4,-20.8,188.89,-93.11,-17.48,45.25,-51.16,-92.16,-17.14,10.34,135.93,21.67,0.0
2.0,2.0,1.0,1.0,18.08,0.38,0.4,-18.62,86.39,18.13,74.22,75.43,-185.52,-57.57,144.68,-24.09,59.81,34.82,2.0
1.0,2.0,2.0,0.0,-51.34,35.39,-0.37,-10.17,841.4,78.26,199.87,487.2,-86.98,14.59,41.81,-184.52,177.92,39.34,1.0
0.0,1.0,2.0,1.0,-44.28,48.74,-1.71,-34.85,293.93,6.89,135.4,246.16,15.81,29.22,63.64,-301.02,105.09,13.51,1.0
1.0,1.0,2.0,1.0,-87.35,23.49,1.85,-44.75,-43.73,108.43,-2.9,-186.41,20.7,54.46,-212.47,-44.76,-176.91,-4.03,1.0
2.0,1.0,2.0,1.0,11.71,-44.41,-4.68,16.08,49.02,-21.71,131.01,55.59,-47.32,117.96,214.9,46.14,-11.15,-28.5,1.0
1.0,2.0,1.0,1.0,-37.29,-6.71,1.42,6.05,336.33,-81.92,28.64,19.59,-20.12,95.93,16.16,62.03,98.0,51.49,2.0
2.0,2.0,2.0,1.0,-13.59,-72.26,-0.26,-16.28,382.83,46.92,170.47,277.25,66.95,55.14,202.02,130.31,99.31,9.54,1.0
2.0,2.0,1.0,2.0,178.55,-35.37,-2.14,7.43,173.89,120.75,38.8,214.22,-2.69,-51.34,-43.77,-117.51,251.28,22.68,2.0
1.0,1.0,0.0,1.0,-84.96,13.59,-1.27,11.18,308.86,44.42,-28.84,12.68,-26.3,23.58,-219.39,-110.06,201.87,-10.93,0.0
2.0,3.0,2.0,2.0,-22.05,-4.8,-0.59,2.76,302.34,169.23,-11.18,-72.38,160.2,-35.83,12.37,149.68,17.93,29.27,1.0
2.0,2.0,1.0,2.0,9.53,28.94,-0.42,21.64,145.28,67.81,-0.83,-183.38,113.27,63.83,-77.55,-47.24,-29.71,37.44,0.0
2.0,0.0,2.0,2.0,-66.12,37.96,1.23,-12.26,-374.25,-71.13,-74.82,-261.97,27.38,-54.0,194.75,219.4,-106.25,3.24,2.0
1.0,1.0,2.0,2.0,101.35,7.67,0.77,15.9,-192.43,95.3,-44.53,-168.7,-151.07,11.25,156.84,49.94,59.1,26.29,0.0
2.0,2.0,2.0,1.0,-106.83,-17.17,-1.36,-9.2,680.52,-107.29,90.31,176.96,-56.21,111.23,66.09,82.85,189.62,31.96,2.0
1.0,2.0,2.0,2.0,87.18,1.43,0.34,7.99,142.97,-54.88,-45.29,-5.04,42.07,-15.23,-118.5,-58.0,126.97,75.16,1.0
1.0,2.0,3.0,2.0,75.98,6.05,0.42,18.12,81.55,82.68,-16.55,-76.09,-43.93,74.44,31.72,48.47,-74.06,-4.13,0.0
2.0,2.0,1.0,2.0,105.87,-6.2,2.41,-2.16,-92.97,147.47,-41.72,-3.55,23.49,-136.3,-187.57,-122.61,85.24,-2.41,0.0
1.0,1.0,1.0,1.0,5.51,-39.96,0.37,-27.91,172.26,0.94,28.86,-30.14,140.13,75.4,-277.04,-84.87,103.7,42.3,0.0
