cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
0.0,1.0,19.44,2.82,105.52,99.72,-376.76,-7.97,12.71,-27.5,7.15,-185.79,22.87,10.53,7.12,-64.75,0.3,-9.76,13.95,25.87,13.7,-52.32,0.0
1.0,1.0,62.75,77.89,241.54,-289.46,396.51,3.75,-7.52,-9.81,-32.28,355.85,-32.33,8.26,-3.24,22.81,-2.32,17.76,59.16,-21.2,0.85,110.7,1.0
0.0,2.0,-35.92,127.0,63.93,220.28,-227.79,21.96,19.46,97.6,60.99,-121.66,47.9,-7.95,-20.73,0.29,-14.62,1.37,79.63,15.21,10.89,-11.17,2.0
1.0,1.0,30.88,-48.77,20.51,-42.47,259.56,-5.55,-15.75,20.48,51.49,-8.31,-44.58,-10.95,12.81,-34.06,3.27,12.41,19.02,18.69,6.69,37.41,0.0
1.0,1.0,-27.06,-85.16,196.99,-45.17,189.16,4.62,-3.33,-106.27,23.42,178.17,-3.75,7.15,29.38,-37.4,-14.81,-25.28,-52.33,2.35,15.09,30.7,0.0
1.0,1.0,-55.37,56.91,198.34,-65.55,161.52,5.77,11.47,100.43,-5.88,250.21,24.0,0.16,26.76,-262.37,-0.45,-10.39,182.73,-79.15,-11.34,35.25,0.0
1.0,1.0,-4.58,-77.05,-30.75,-3.71,122.07,-1.43,-7.31,-25.19,24.31,-111.96,-29.17,-2.13,11.22,61.6,-14.23,7.1,3.64,22.41,2.51,38.87,1.0
1.0,1.0,42.95,41.9,108.2,186.49,-146.43,21.75,7.59,31.88,50.36,28.32,23.54,-9.2,-1.54,-145.81,3.19,36.52,-88.86,-24.58,22.09,-14.47,0.0
1.0,1.0,3.74,39.7,185.54,-106.11,28.49,-5.12,19.97,3.09,30.89,155.44,63.89,9.04,21.3,-8.2,11.47,-30.75,-57.96,-1.09,4.99,-40.28,1.0
1.0,1.0,-68.38,80.06,163.21,-379.58,469.91,2.63,-8.83,-26.48,31.04,-110.78,-89.91,1.38,43.93,26.15,-0.49,-25.97,-20.61,13.29,-2.27,91.65,0.0
