cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,target
2.0,1.0,-52.32,85.63,-108.38,17.19,-27.63,34.98,185.82,5.65,74.25,-72.07,138.53,67.44,5.42,132.14,84.86,44.21,-101.55,21.12,31.46,110.11,69.59,-146.67,0.0
3.0,2.0,-199.49,-43.6,168.44,-12.66,-21.16,30.54,251.44,-13.37,22.84,-119.25,52.08,135.48,-8.53,-127.08,-0.16,13.51,67.06,19.2,7.49,76.04,-1.31,-77.22,2.0
3.0,1.0,-169.36,-44.86,-149.11,9.5,32.01,9.13,41.26,-9.28,-48.1,-41.98,7.3,41.66,-8.27,56.9,19.36,-38.63,-15.41,-98.29,14.26,-29.38,83.92,111.4,0.0
3.0,3.0,-135.14,30.21,65.95,-14.79,-65.71,64.49,240.39,8.47,-30.93,33.58,10.07,103.37,-27.36,16.18,-43.82,-78.11,78.43,70.38,15.6,57.37,81.73,69.33,0.0
2.0,3.0,-58.12,9.8,-25.25,-9.8,-44.74,44.68,191.24,5.8,51.97,63.88,63.17,21.67,-12.23,56.49,-0.39,8.02,-128.82,30.46,6.35,14.65,75.18,-8.54,2.0
2.0,1.0,10.84,1.74,-142.94,65.81,7.25,70.71,91.03,7.05,101.51,21.39,-89.18,14.35,-17.47,-17.63,82.31,39.8,87.57,40.66,32.52,-6.35,451.44,-154.4,0.0
2.0,2.0,-109.45,95.39,15.66,-26.59,82.9,-2.2,176.32,-17.19,105.62,44.34,31.83,138.87,0.14,-129.83,7.75,-62.6,-51.87,0.94,26.57,30.02,-21.17,-0.68,2.0
1.0,2.0,-212.88,71.95,154.98,-30.55,36.79,24.4,168.86,-25.84,122.12,-49.46,41.81,-6.89,-4.6,-7.73,3.48,7.22,-155.61,27.85,9.07,-7.25,-105.89,-39.0,0.0
2.0,2.0,2.39,180.76,98.55,87.18,8.68,13.31,-177.01,1.38,-138.46,-7.45,-128.9,-15.8,-8.26,-97.09,57.61,16.54,-32.3,28.3,9.05,2.35,298.4,-151.88,2.0
1.0,2.0,-384.42,-147.31,53.35,-36.01,-112.27,-10.55,553.43,-4.97,47.76,-43.54,140.28,-13.74,11.55,-121.44,-69.71,21.1,-195.7,18.6,-15.52,65.8,139.09,-22.23,0.0
1.0,2.0,119.1,-235.54,-58.66,41.46,58.84,32.3,-56.14,-39.27,-126.74,75.13,29.88,-10.4,-1.64,27.13,28.24,55.98,-25.96,36.64,-5.17,13.39,65.98,194.3,0.0
2.0,3.0,-156.94,-39.13,53.44,-21.06,38.23,18.74,227.92,-14.79,125.2,-71.63,48.2,133.56,-10.36,32.86,19.5,19.51,6.66,54.99,-4.38,-11.9,68.08,57.71,2.0
2.0,2.0,215.39,-144.04,104.69,-13.08,25.24,-0.95,132.25,17.91,10.29,41.12,64.16,96.68,-3.08,-16.49,-38.47,-2.6,210.42,21.91,-0.91,-91.21,90.48,56.87,1.0
2.0,2.0,-22.86,111.5,191.16,-48.83,-53.74,21.16,22.8,17.65,175.52,16.37,102.3,-123.36,-21.81,41.96,-2.83,-12.13,104.16,-4.33,17.37,-74.74,-73.24,28.16,0.0
1.0,2.0,-61.56,76.84,92.89,-8.27,-97.33,-3.15,-265.9,1.15,223.22,-0.1,-88.99,-98.44,-16.97,51.29,76.59,15.8,9.09,-25.64,27.52,44.79,-31.78,-79.95,1.0
2.0,2.0,184.5,-258.01,81.78,56.14,112.17,-69.57,-286.55,40.03,-6.03,-28.71,-298.87,-91.45,18.85,-5.13,-18.42,4.06,-8.49,-32.08,14.53,36.29,243.92,2.45,2.0
2.0,3.0,-159.45,254.96,251.82,35.93,5.74,0.15,-37.35,24.4,-172.66,-35.38,47.09,135.76,-8.0,-37.82,48.51,12.16,73.24,-60.07,10.23,-89.95,3.04,141.49,2.0
2.0,1.0,-177.57,-32.22,-115.99,-33.72,71.31,-16.29,347.85,19.22,61.16,-66.49,228.42,66.38,-1.72,114.24,0.97,12.34,136.24,-154.59,-11.69,-102.61,147.23,-66.66,2.0
3.0,2.0,72.03,81.16,-191.04,38.07,-9.74,49.66,-160.53,29.43,-60.82,66.65,17.96,-23.7,-6.59,-74.29,77.65,-0.7,-24.97,-2.75,-10.86,-40.68,-27.0,26.82,0.0
2.0,3.0,-161.59,64.19,255.04,36.16,104.59,-3.88,-120.65,12.23,-164.24,-73.7,54.81,67.33,-11.68,68.89,58.98,-0.56,-217.34,-127.83,10.78,-40.64,-3.33,-9.73,2.0
2.0,4.0,-333.22,28.62,-108.13,-82.87,30.67,-13.62,291.51,-18.57,12.3,46.03,185.78,35.45,-2.02,16.84,-62.81,-26.13,14.72,72.92,1.82,-14.33,-229.49,87.39,0.0
2.0,1.0,43.36,64.42,81.48,62.5,3.8,-53.9,29.5,23.86,-155.38,16.46,-6.17,-33.34,20.2,35.06,-3.27,-7.98,16.19,38.01,0.59,-50.82,324.68,-177.52,1.0
2.0,3.0,-558.41,55.57,-137.38,17.2,-109.7,42.23,135.79,9.51,-120.55,46.44,-90.13,-32.82,-9.99,-50.9,-5.17,-12.37,-64.83,-28.66,1.28,-4.92,19.43,147.86,2.0
2.0,2.0,-334.81,-39.08,-98.53,-74.29,30.78,1.25,650.09,-17.8,128.48,47.87,260.49,26.22,-13.73,79.27,-80.22,23.36,9.2,37.96,-20.75,7.25,261.62,71.81,2.0
1.0,2.0,-58.58,39.92,408.65,58.97,-125.97,42.7,-7.8,11.99,-257.77,-49.48,-119.54,27.81,-13.45,84.97,-40.41,9.64,80.79,129.24,8.7,78.77,108.93,23.31,2.0
2.0,2.0,-30.36,-13.08,-11.51,38.14,69.83,72.74,164.68,-0.29,20.43,0.05,71.48,128.27,-18.52,-190.52,80.77,28.3,50.17,-10.71,-4.18,-35.19,219.15,-68.84,0.0
2.0,3.0,-25.69,18.24,36.35,30.97,25.33,44.72,169.23,23.94,32.45,-43.54,-95.59,122.84,-4.67,-51.79,13.01,-2.95,135.81,29.52,13.04,-50.07,195.95,124.42,2.0
2.0,1.0,-360.13,92.97,106.68,-24.18,36.62,24.49,-124.98,-6.53,103.51,-118.09,-119.42,-95.95,-25.61,7.96,14.41,-46.19,140.97,-27.47,-21.98,-43.56,-127.17,6.3,0.0
1.0,2.0,-102.16,30.17,-134.57,-49.41,56.53,40.93,184.26,-18.53,47.18,57.78,-5.05,-22.77,0.29,-14.07,-67.56,-15.53,38.65,106.38,6.07,-76.08,-212.57,51.41,0.0
3.0,2.0,73.27,-11.56,102.58,27.26,-78.17,48.27,209.17,37.04,-45.38,-4.88,101.57,99.48,-11.08,-68.33,18.86,-14.43,68.55,-9.56,17.26,-66.58,208.71,-16.65,0.0
2.0,2.0,-299.82,-28.6,213.21,49.86,59.27,46.64,-56.9,-1.27,-259.43,12.23,21.76,15.07,-23.63,-161.39,36.93,-33.67,-69.94,-16.93,33.58,-15.68,26.12,130.22,2.0
1.0,2.0,-315.95,208.31,106.82,-7.06,155.52,38.16,503.3,34.05,156.29,-30.48,28.3,96.42,3.49,-46.43,-0.31,-2.43,87.48,-52.24,25.79,51.08,184.45,-135.26,2.0
2.0,3.0,-203.38,-48.96,-250.57,-7.66,21.0,-77.34,20.41,30.99,-33.48,9.51,224.76,14.78,2.44,20.94,60.29,26.02,40.25,60.12,-34.29,78.88,149.82,-28.32,2.0
2.0,3.0,-72.36,-50.39,-8.35,-5.54,-74.83,15.37,-192.36,-25.62,67.37,66.04,-25.95,-201.81,-15.25,-131.89,23.19,-8.73,50.77,19.26,-13.22,38.0,-44.21,37.34,1.0
2.0,2.0,-529.87,-61.63,-132.72,-12.02,-85.89,56.82,244.85,-12.99,1.31,42.06,-30.92,-65.11,-17.16,36.44,-16.93,-28.6,90.17,15.2,9.93,-24.66,35.28,-66.49,1.0
3.0,3.0,23.93,-35.23,-16.52,12.46,2.7,16.44,75.07,5.93,214.36,-7.1,-5.31,-66.15,-6.01,-56.73,54.14,-17.23,-152.75,-107.63,15.17,22.56,257.98,-128.46,1.0
2.0,2.0,92.95,39.29,11.72,11.49,88.34,-65.51,-298.81,-11.69,7.92,85.43,-59.24,-3.61,2.89,50.31,37.01,17.71,66.55,-50.24,-31.68,49.98,21.4,158.74,1.0
2.0,1.0,-10.4,-19.71,121.85,57.24,106.3,-4.31,-51.18,-3.86,-69.24,-167.48,-61.42,108.75,-0.09,3.41,57.78,5.44,-49.93,2.09,8.11,65.07,197.46,-99.98,2.0
3.0,3.0,205.1,42.2,117.43,44.94,16.06,80.17,36.97,-25.86,-151.94,26.01,38.21,48.84,-24.19,60.36,3.16,60.22,-25.02,-7.26,-32.27,-29.39,178.32,11.68,0.0
2.0,2.0,112.65,17.24,218.09,11.75,128.61,-21.44,51.64,-12.19,27.76,-12.1,-8.68,141.15,3.43,-55.3,9.47,60.92,49.12,-41.84,21.44,-26.34,108.68,73.56,2.0
2.0,3.0,-22.35,215.06,20.78,-47.87,5.33,11.02,95.54,22.99,88.52,18.23,39.43,-68.48,-15.06,-1.31,-56.18,9.51,-99.31,6.69,3.08,-71.33,-21.71,-47.36,0.0
2.0,1.0,-8.59,-73.15,215.38,14.56,-35.15,46.38,205.86,28.35,-0.51,-43.84,143.61,286.92,-14.26,-55.59,73.42,2.21,26.5,10.99,36.14,-95.15,57.53,8.79,2.0
2.0,1.0,-110.75,144.99,37.98,-24.85,-0.02,35.02,160.5,-6.81,-157.64,-12.65,246.11,117.72,-8.2,-102.5,3.17,-5.91,138.02,-74.44,-16.55,-77.13,-235.58,-71.86,0.0
3.0,2.0,52.68,123.09,244.63,25.58,19.84,-7.42,-200.89,24.4,-109.45,7.33,28.43,53.89,-12.17,-11.88,43.33,-10.67,48.28,-10.26,-21.84,35.45,-21.63,172.47,2.0
2.0,1.0,-54.5,-1.03,-87.45,23.59,23.0,-64.1,-210.37,10.45,-125.19,62.97,35.12,146.03,-5.95,41.59,62.33,18.79,-207.1,-13.0,5.22,57.63,101.0,-44.99,2.0
2.0,2.0,-425.31,2.45,-8.54,20.55,60.43,-9.17,315.86,4.28,-204.82,89.73,190.05,217.43,-12.03,94.31,29.19,45.45,56.97,56.64,4.43,0.36,239.42,-22.7,0.0
2.0,2.0,-32.72,-209.73,124.95,-56.69,19.5,33.85,117.14,-22.63,139.34,102.37,131.64,-130.15,-22.36,-6.46,-32.68,-49.75,52.57,17.76,12.03,-32.69,-69.65,-217.23,0.0
2.0,2.0,199.49,49.75,160.0,33.43,-13.36,-40.09,-112.58,-11.15,39.45,-18.66,-57.03,-37.02,-1.86,-8.03,12.37,10.78,-16.79,-24.81,-19.0,24.69,306.87,125.06,1.0
1.0,1.0,26.62,-11.53,90.37,-53.23,108.33,-10.69,17.93,-15.48,125.7,15.44,99.66,-69.43,-6.47,71.24,-21.03,-10.01,-14.97,5.86,-2.54,15.54,-135.42,84.32,0.0
2.0,1.0,-248.96,-42.45,-150.14,-25.48,-74.54,2.14,121.42,11.8,191.53,41.26,47.67,-5.05,-4.53,84.86,50.91,3.32,-43.67,-72.68,17.57,-55.14,32.75,-43.32,2.0
2.0,2.0,-206.06,60.77,28.11,6.35,-59.86,-11.82,86.98,-0.77,14.06,91.58,56.59,138.32,-0.57,-23.9,57.72,8.13,110.37,-11.54,-27.54,33.98,37.12,116.79,1.0
3.0,2.0,-203.67,57.2,-166.56,-42.54,61.68,-119.58,-190.67,-13.61,162.72,1.07,14.59,110.51,-13.85,-114.27,53.96,30.13,-128.36,-15.69,12.78,61.39,136.61,33.76,2.0
1.0,2.0,-29.92,87.59,-163.85,-22.35,-5.45,-88.04,-354.91,19.06,35.76,10.52,43.27,130.56,-17.96,-63.02,77.33,-45.18,122.06,46.49,3.25,-3.85,-2.64,-192.27,2.0
1.0,3.0,-312.14,-121.3,48.82,-29.06,100.66,33.67,160.19,2.81,81.22,-42.79,23.33,-75.13,-8.62,4.66,-9.06,-30.37,66.47,-34.24,8.05,-5.04,-93.63,23.61,0.0
1.0,2.0,-103.96,128.78,-25.82,31.04,30.86,13.36,45.5,40.6,29.11,-47.09,-84.25,56.49,-1.92,78.92,36.62,-27.98,0.62,40.95,-5.65,7.05,169.68,10.92,2.0
2.0,4.0,-62.0,-51.54,63.22,34.64,32.76,25.97,114.67,-30.74,12.75,-4.19,-183.82,30.26,1.22,8.56,-21.75,1.52,43.4,-93.46,-13.75,34.47,207.38,-25.32,2.0
