cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
1.0,0.0,1.0,1.0,-112.17,-12.97,14.81,29.69,-134.39,1.37,3.82,-39.85,84.94,54.51,17.91,-535.68,13.21,-136.37,-30.3,84.32,1.0
1.0,1.0,1.0,1.0,140.43,-22.37,7.28,-6.29,112.44,36.52,-6.73,-226.82,35.88,0.8,-42.27,266.87,10.48,84.06,53.7,-96.66,0.0
1.0,1.0,1.0,0.0,-41.86,157.56,-0.56,37.2,-107.14,-8.49,-2.57,-140.08,-51.21,66.72,-6.79,-401.97,-5.59,23.54,-11.78,43.28,1.0
1.0,1.0,1.0,2.0,68.36,-6.31,2.43,-22.73,117.72,-44.27,11.63,-36.18,107.66,0.89,-43.02,199.19,12.24,168.95,-9.45,48.34,0.0
0.0,2.0,0.0,1.0,5.07,43.29,-7.06,-30.31,-11.02,70.82,3.73,-331.88,-22.99,47.64,-0.18,-375.93,19.27,-31.93,-69.75,33.15,1.0
1.0,1.0,1.0,1.0,11.58,93.87,-17.32,-6.03,-94.87,24.86,-1.52,55.74,46.98,32.76,-0.1,-249.35,7.44,-85.81,-69.5,54.29,1.0
1.0,1.0,1.0,0.0,2.05,-15.96,21.62,-3.4,-118.25,-46.5,-11.76,-103.56,-4.24,13.48,81.1,-283.34,16.0,-162.77,-72.65,119.76,1.0
1.0,1.0,1.0,1.0,-29.52,-9.97,-21.3,19.82,74.72,23.89,7.29,-252.76,-81.08,-51.58,-25.51,235.26,3.31,-42.7,163.2,-29.13,0.0
1.0,1.0,1.0,1.0,3.29,6.64,-11.79,-17.48,-6.62,-1.96,-11.8,-117.09,163.72,-53.64,-34.14,319.66,-1.44,34.84,150.12,-63.06,0.0
1.0,0.0,1.0,1.0,-149.32,-24.23,-38.99,19.2,-83.11,-46.74,6.7,-249.62,-168.33,58.04,-4.31,-834.16,-18.26,17.04,-130.84,-22.38,1.0
0.0,1.0,0.0,2.0,151.93,-76.33,3.67,31.42,-136.73,1.7,-6.74,-228.46,-171.54,49.05,7.02,-90.74,-4.89,-30.73,20.37,4.52,1.0
1.0,1.0,0.0,1.0,165.46,-66.17,31.35,-19.56,141.49,-52.25,4.16,-150.28,63.02,-36.13,-53.79,399.5,-2.14,-152.03,-18.75,-35.13,0.0
1.0,1.0,2.0,2.0,-124.99,27.82,34.59,-4.59,7.78,22.2,2.53,-298.2,0.23,-135.64,33.93,180.03,-0.26,6.93,166.8,-13.7,0.0
1.0,1.0,0.0,1.0,-30.64,5.78,1.17,-28.48,-41.0,-23.11,-7.4,20.26,76.84,-32.81,-55.8,124.63,8.58,-100.43,3.43,-124.46,0.0
1.0,0.0,1.0,1.0,-24.69,-57.45,-18.42,-13.44,-55.22,0.52,-0.41,-44.25,20.9,-2.58,33.01,-99.96,-10.56,-156.97,8.08,-49.5,1.0
1.0,1.0,1.0,1.0,78.59,-98.26,35.0,-13.35,0.27,-36.41,-7.94,-13.19,-68.07,31.65,-38.82,-11.75,-16.23,89.07,-11.12,-116.24,0.0
1.0,1.0,0.0,0.0,162.78,40.1,5.96,-21.89,144.71,-18.04,-6.24,-154.29,-28.76,84.08,-39.56,456.13,1.39,54.17,218.88,-14.83,0.0
1.0,1.0,1.0,1.0,104.15,-64.78,-45.06,8.92,57.16,41.45,1.85,-61.31,5.39,-21.97,-41.99,124.03,-10.73,-103.92,-68.41,-5.79,0.0
0.0,2.0,1.0,0.0,77.21,-57.04,-26.11,33.07,53.34,-23.78,8.32,-390.39,-74.1,-1.88,18.11,-345.29,8.14,-84.7,-182.55,33.84,1.0
1.0,0.0,1.0,1.0,-97.49,-16.11,8.68,5.34,-24.95,-4.55,-4.02,-140.62,-37.35,75.0,-16.11,-524.52,-7.72,107.63,-38.16,-41.73,1.0
1.0,1.0,1.0,1.0,61.86,66.19,2.41,7.57,50.33,32.87,11.87,-14.93,11.4,-65.05,43.88,46.43,2.24,-47.37,-166.34,-39.6,0.0
1.0,0.0,1.0,0.0,-95.57,-77.48,-24.95,22.02,5.19,21.33,6.4,-264.1,117.18,82.92,-15.48,-753.77,-2.22,-45.44,-125.44,11.41,1.0
1.0,0.0,1.0,1.0,115.93,-9.43,14.32,-8.7,-132.26,-25.08,-11.94,69.72,177.66,3.57,69.87,84.2,-7.98,123.37,-6.83,-51.39,1.0
1.0,1.0,0.0,1.0,80.92,52.63,-5.88,-6.9,126.04,-23.48,1.27,-297.53,105.1,17.01,52.49,267.02,3.26,-174.22,129.77,35.39,0.0
1.0,0.0,1.0,1.0,187.2,-54.17,69.46,1.76,-46.36,-50.29,1.83,43.68,55.64,83.45,8.03,82.41,1.6,-116.63,3.56,-56.0,1.0
1.0,1.0,0.0,0.0,114.91,20.11,40.42,-3.26,88.58,-32.44,6.47,-224.34,97.96,42.35,4.49,244.87,5.89,-80.44,127.79,11.74,0.0
1.0,1.0,2.0,1.0,-91.93,-60.58,-46.42,-43.0,-45.27,-22.5,-6.34,29.78,-29.36,79.29,-53.48,-420.96,-13.38,-10.27,3.3,23.45,0.0
1.0,1.0,1.0,1.0,7.09,-78.75,17.18,42.09,-115.94,55.76,15.83,-31.05,158.55,100.76,9.35,-258.61,6.82,31.26,60.99,-32.04,1.0
1.0,1.0,1.0,1.0,18.07,-16.68,-13.86,-5.28,30.55,-47.33,3.28,-89.65,-85.27,54.77,-106.72,-244.25,1.38,-60.35,-79.53,74.29,1.0
1.0,1.0,0.0,0.0,-16.68,-7.51,-16.7,39.1,59.13,48.61,-7.73,44.18,-6.8,21.32,-4.39,239.08,15.51,0.84,95.93,9.72,0.0
1.0,1.0,1.0,1.0,-118.59,-16.91,-1.86,-11.36,-25.79,57.37,-0.84,-151.38,68.98,-73.32,27.34,11.21,12.07,73.89,42.71,-62.67,0.0
1.0,1.0,1.0,1.0,-37.01,-31.88,-24.22,28.71,149.04,-12.78,6.33,14.58,133.07,-9.86,11.94,301.79,1.69,-155.95,86.09,31.22,0.0
0.0,2.0,1.0,0.0,58.87,63.74,-9.28,17.35,-84.39,-20.66,-4.84,-376.35,13.63,26.61,50.15,-285.81,2.89,-51.78,-2.22,-91.05,1.0
1.0,0.0,1.0,2.0,-167.89,38.38,11.13,-6.2,-126.27,-12.68,-3.2,-186.16,-153.06,-62.18,-23.12,-565.29,13.49,-109.36,-138.31,97.67,1.0
1.0,0.0,1.0,1.0,32.34,75.31,-28.79,-1.93,24.74,66.32,2.39,-241.98,-43.47,44.49,45.05,-463.22,13.12,-29.1,-127.35,-74.76,1.0
0.0,1.0,1.0,1.0,256.99,-29.26,16.26,-6.71,-108.22,-17.52,-6.11,-208.02,-15.37,-2.2,84.81,118.67,9.31,-21.33,-28.09,-5.28,1.0
1.0,1.0,1.0,2.0,-276.67,77.98,-31.44,-10.12,114.96,5.7,-5.93,-41.06,78.49,53.61,-30.49,-435.4,-18.01,-21.22,10.71,-17.66,1.0
0.0,1.0,1.0,0.0,187.8,89.74,11.64,-7.14,-20.02,-93.98,-7.57,-156.58,-144.44,19.73,-76.51,-114.66,-3.52,88.25,-148.71,29.42,1.0
1.0,1.0,1.0,1.0,65.17,37.72,16.07,36.15,66.44,2.75,5.68,-268.47,-129.36,-14.3,48.58,33.59,-6.42,-31.33,9.18,-72.26,0.0
