cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,target
2.0,1.0,-217.33,13.23,89.89,-35.19,0.02,-42.21,6.15,9.41,-93.59,3.29,25.0,225.1,-20.05,39.75,-138.39,1.0
1.0,1.0,129.86,-84.03,182.9,6.68,3.84,60.2,-6.34,-53.71,-115.94,-28.46,-27.73,235.63,-142.97,-56.43,-2.56,2.0
1.0,1.0,-4.03,80.83,22.8,47.95,-0.2,-9.27,29.46,-207.9,331.19,-36.27,58.45,-129.91,188.0,60.32,-127.05,2.0
3.0,0.0,61.82,5.06,125.02,-4.54,0.18,-15.36,-12.9,-51.62,-31.77,1.97,-40.42,-302.66,-84.55,0.97,-38.71,1.0
1.0,1.0,-195.55,-20.22,77.86,5.96,2.59,0.42,37.09,138.13,-29.36,-99.01,20.22,196.28,90.15,22.18,149.74,0.0
2.0,1.0,-105.1,42.64,-14.97,4.99,1.85,99.05,76.78,-170.95,26.23,21.79,-47.38,93.08,70.65,52.19,-65.68,1.0
2.0,1.0,-123.41,-1.41,-207.13,-19.69,-0.76,108.47,-41.03,-82.52,34.81,-26.64,7.72,-170.02,-38.23,21.76,69.33,1.0
0.0,0.0,-15.84,-176.12,-41.11,36.66,-0.21,6.21,43.03,249.08,-55.36,-6.87,0.98,36.09,-86.32,-108.79,27.75,2.0
1.0,1.0,-54.56,81.97,22.45,44.99,2.12,167.33,20.49,-182.31,209.71,46.27,41.52,61.55,148.7,66.92,4.42,2.0
2.0,1.0,132.97,51.58,63.66,57.63,-3.17,68.74,-35.35,67.42,-155.23,-103.29,-17.04,118.22,-109.08,-32.11,38.26,0.0
2.0,1.0,-161.63,1.0,61.2,43.78,2.7,60.75,-12.63,-29.23,-29.09,-0.99,24.09,-50.39,-47.36,32.8,128.8,1.0
2.0,1.0,-151.23,-66.69,-32.71,2.58,4.32,-38.53,-16.12,-176.58,113.21,8.97,7.98,-292.93,-25.88,31.45,-2.1,1.0
1.0,1.0,221.56,93.1,60.07,9.3,-7.12,63.45,-51.7,-85.46,228.41,14.45,60.91,59.04,175.52,40.54,35.02,2.0
2.0,1.0,113.53,-172.56,-20.74,50.02,-0.0,-47.89,-45.72,-39.18,64.3,-4.39,6.03,-235.76,-4.97,10.22,-117.11,1.0
2.0,1.0,33.97,46.6,-107.58,-46.38,-3.1,-108.84,-34.32,-165.26,139.6,-36.67,15.6,-47.31,53.56,30.3,-28.45,2.0
2.0,2.0,122.93,-16.25,-79.06,12.09,-4.11,15.94,6.91,48.92,-104.7,-18.39,-16.13,223.04,-19.99,-16.37,24.63,0.0
2.0,2.0,51.57,-68.48,25.2,-52.64,4.1,-118.87,-3.45,-629.91,409.09,105.64,11.69,-571.72,-32.6,39.22,-79.87,1.0
2.0,1.0,-218.35,78.42,-43.38,-38.73,-8.22,97.36,31.55,-19.5,-237.28,4.6,-33.3,382.37,-124.94,8.34,-31.09,2.0
1.0,2.0,-0.32,-102.43,56.22,-23.29,-3.74,110.74,25.6,72.2,-66.34,-30.31,-10.1,63.3,-55.73,-40.98,142.21,0.0
2.0,2.0,-296.65,-10.27,35.74,-12.49,-1.77,17.16,45.16,-554.59,217.83,30.5,28.96,-357.77,-206.2,17.93,126.53,1.0
1.0,2.0,170.47,-30.73,-16.8,14.04,0.39,30.35,42.86,221.46,-120.0,9.24,2.9,-7.2,-103.53,-78.68,63.13,0.0
1.0,2.0,-86.22,-159.66,49.86,58.32,-2.92,-72.43,12.68,313.37,-129.85,-27.87,5.43,14.38,9.64,-31.34,82.2,0.0
1.0,2.0,144.77,-10.13,2.95,-28.69,3.31,6.62,27.28,152.13,-74.42,-94.92,-16.06,108.83,12.55,-35.98,67.8,0.0
1.0,1.0,176.58,83.12,2.16,-23.59,-4.07,11.43,-15.81,-200.76,212.6,-9.87,-42.5,-9.98,165.5,18.01,-69.06,1.0
1.0,2.0,-129.71,81.02,139.13,62.82,0.73,35.06,-31.65,-240.29,131.13,-34.96,30.53,-117.32,-50.7,15.56,6.15,1.0
2.0,1.0,-213.87,15.85,9.31,-32.68,2.03,-58.36,26.0,-82.34,-87.56,-31.52,-27.45,217.56,-46.24,14.09,-122.67,1.0
1.0,2.0,368.23,8.81,38.86,40.02,1.72,-118.34,49.04,286.09,-63.89,80.03,13.78,-27.67,37.11,-44.38,-22.98,0.0
2.0,3.0,73.81,75.66,-130.82,16.67,0.77,-7.01,-2.35,-118.38,-152.15,11.85,-1.35,313.55,-132.78,-1.76,-139.55,0.0
2.0,1.0,39.63,39.91,112.26,24.73,-3.62,-15.83,-4.39,-8.99,46.8,63.11,23.39,-97.29,22.46,20.03,-22.12,1.0
1.0,1.0,52.54,39.54,-39.43,20.26,0.56,21.09,35.27,-192.22,303.29,-28.74,50.69,-97.86,183.27,58.39,-52.5,2.0
1.0,2.0,-27.33,-24.27,-212.02,-12.2,3.46,96.04,-15.28,170.47,-89.34,57.88,35.3,218.56,-17.89,-22.52,-56.08,0.0
2.0,1.0,-78.84,-133.43,11.96,-9.38,-6.27,-54.04,-0.02,68.2,-85.38,-16.53,1.43,146.63,-11.59,6.58,3.7,1.0
