cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
1.0,1.0,10.61,-4.15,-62.69,-150.72,46.78,-16.2,44.17,-156.82,88.26,4.19,-20.52,-28.62,-17.39,3.35,21.39,-8.83,-109.14,-35.99,-8.92,-42.21,1.0
1.0,1.0,10.04,-9.22,111.92,46.04,-17.19,47.8,24.51,-119.69,-54.84,-85.35,109.65,35.72,-15.41,-20.95,-5.81,-22.6,229.38,-32.77,30.79,3.14,2.0
1.0,1.0,-81.52,15.2,-58.06,-53.48,-54.55,69.83,33.89,38.43,-228.05,-152.02,31.24,6.62,-8.6,35.24,2.19,71.22,31.96,-17.31,28.53,34.41,0.0
1.0,1.0,80.54,-13.71,9.75,88.49,59.64,-9.11,3.8,-104.52,27.82,-59.46,9.96,24.87,16.39,-19.73,12.11,-109.79,66.25,-6.35,36.56,-11.62,1.0
1.0,2.0,46.32,11.36,47.83,-14.07,-9.23,-36.78,-4.22,176.14,-109.34,177.17,42.08,-11.21,-11.68,50.77,-16.86,202.46,39.85,-1.44,-34.89,85.33,2.0
1.0,1.0,-93.62,36.23,29.16,103.14,-123.34,37.89,-20.84,-94.74,131.55,-97.44,90.29,5.0,-18.75,182.75,14.31,-40.14,16.61,46.22,16.93,-172.1,2.0
0.0,2.0,150.98,-13.68,-9.74,-282.25,22.86,-34.11,3.54,31.13,138.08,-70.19,11.0,-0.27,18.38,-39.67,3.46,213.11,123.74,31.28,-1.85,-0.38,2.0
1.0,1.0,3.95,-9.78,11.94,-32.98,101.31,-47.34,-10.61,-30.58,176.35,-45.15,-50.57,17.02,-5.33,-39.1,-18.46,-95.49,-68.03,-58.48,-12.51,26.63,1.0
0.0,1.0,188.84,-18.13,5.36,100.67,-36.82,-29.62,3.43,80.08,63.0,-183.25,24.35,-22.13,0.41,171.59,21.45,-105.96,59.19,220.09,43.13,-33.11,1.0
1.0,1.0,-85.64,8.79,-53.79,86.59,-79.44,24.26,12.52,137.03,153.29,-80.06,2.99,-5.81,-1.83,-23.61,-5.64,-12.42,127.61,41.55,29.92,-24.88,0.0
1.0,1.0,34.99,1.35,63.33,-10.75,106.74,-10.73,-30.57,-133.4,-12.84,-170.82,13.88,6.46,2.92,-11.99,25.3,31.69,-11.21,-41.5,10.63,83.28,2.0
0.0,2.0,61.24,5.29,-48.93,87.09,103.29,-10.83,-29.46,100.46,96.24,-190.3,-27.54,-3.55,-0.19,38.21,-27.78,-22.54,-83.16,72.02,-56.97,-83.84,1.0
1.0,2.0,140.29,18.88,-30.8,-84.26,-79.77,-31.71,4.59,116.39,78.67,-94.89,1.12,-17.0,12.29,60.65,36.5,-82.75,-122.68,284.34,1.51,-5.81,1.0
1.0,1.0,40.13,-11.4,-53.45,-142.53,41.52,6.43,16.13,-197.69,-67.02,85.76,-104.28,-18.5,-26.96,189.15,-10.59,139.41,164.58,-158.83,-0.21,-236.9,2.0
1.0,0.0,-91.04,-11.11,24.68,9.45,-87.8,33.97,-30.46,201.0,108.3,-128.43,-27.57,23.35,5.75,-31.86,-38.43,-199.43,342.96,91.97,39.66,-53.35,0.0
1.0,1.0,4.26,-15.32,-21.08,-180.29,34.53,-1.36,-17.77,-142.68,107.98,44.85,-17.48,-1.71,-23.16,-19.52,34.32,-13.05,-156.75,8.64,-22.06,43.62,1.0
1.0,1.0,-41.74,10.23,14.9,-30.63,39.64,-31.03,-14.58,-8.94,-34.57,7.87,-16.89,-7.09,3.73,112.62,-11.0,-152.99,213.74,-21.03,17.44,64.6,1.0
