cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
2.0,3.0,1.0,-28.05,44.51,42.05,80.17,169.98,-43.49,22.44,229.03,-45.25,-5.13,37.54,-42.95,110.99,6.54,7.97,31.9,10.52,-3.09,0.46,-58.9,-21.39,76.75,21.39,1.0
3.0,2.0,2.0,31.63,-29.52,131.23,1.35,48.4,-107.0,5.05,112.09,122.2,0.37,-26.33,37.26,80.13,-10.5,30.86,236.49,-10.55,-3.81,34.98,-31.08,74.71,15.76,162.98,0.0
2.0,2.0,2.0,80.46,52.41,-80.09,17.88,-7.73,-54.32,-17.84,283.79,-70.16,16.27,69.98,-6.85,-21.9,-2.88,4.62,26.1,0.56,-0.37,358.72,-9.34,22.38,40.06,44.67,1.0
3.0,3.0,1.0,53.69,8.74,93.59,1.99,-116.67,104.92,6.09,78.48,-40.28,-12.38,-0.86,-54.7,55.83,37.26,26.77,71.49,-10.05,-16.13,-88.36,-53.98,-204.1,36.79,144.69,1.0
3.0,1.0,2.0,-11.07,-100.06,39.62,10.74,-65.06,191.82,-11.68,202.92,-45.32,16.39,-165.53,3.15,-97.92,-0.22,-12.15,67.07,-61.42,-4.13,-109.15,106.13,-16.54,-105.73,-1.95,0.0
2.0,3.0,2.0,43.96,32.28,142.63,-6.34,-80.54,104.02,-42.66,-168.7,171.14,-12.94,-27.51,101.6,0.22,8.61,-11.31,-17.47,-1.52,6.45,-74.52,-6.2,85.73,-27.18,-64.13,0.0
3.0,1.0,3.0,15.45,-77.59,-109.53,22.29,-177.08,148.88,-26.44,399.26,-191.07,9.3,-117.05,57.52,-78.27,-18.71,2.68,-138.11,-74.35,13.09,74.67,21.61,-74.19,26.3,10.43,0.0
2.0,3.0,1.0,32.95,176.37,1.17,-13.96,-75.64,22.1,-0.65,-60.64,-53.32,2.41,109.35,-19.03,142.14,-20.71,-12.65,-65.73,12.15,19.51,61.99,-35.81,44.81,50.24,0.88,1.0
3.0,2.0,1.0,97.02,-90.49,34.4,-19.69,-147.5,-95.46,2.4,-387.51,-103.1,-33.72,12.25,-7.75,98.2,19.42,-10.94,26.02,4.22,-10.42,-10.95,10.99,-36.54,21.49,1.7,1.0
2.0,2.0,2.0,-86.82,-71.94,-27.08,2.83,107.96,-122.44,-7.48,19.65,221.81,13.72,16.53,8.12,-63.47,-57.1,10.04,152.44,-0.52,-10.81,108.51,26.46,-41.48,42.0,242.08,0.0
1.0,3.0,1.0,-73.59,-15.05,38.29,43.79,74.11,111.59,4.43,80.56,-24.29,1.64,-8.95,-2.17,85.55,-10.24,3.79,-43.46,29.33,3.69,-140.97,-174.17,74.49,-6.65,171.56,1.0
2.0,3.0,2.0,-9.96,-0.96,74.48,18.44,-218.34,255.89,-2.72,114.51,31.31,-0.89,180.72,-0.26,-7.93,30.72,-23.37,-221.22,-44.11,-2.99,1.73,-18.15,211.19,17.57,-31.82,0.0
2.0,2.0,2.0,22.63,14.2,54.15,-9.17,-314.67,301.52,10.76,-145.51,58.26,-14.34,-12.85,-45.52,109.84,-26.58,-23.68,-104.87,17.63,1.12,-53.23,-30.22,-52.4,-49.09,53.25,0.0
1.0,3.0,2.0,39.55,-66.77,48.66,-40.42,27.69,190.12,-16.66,31.42,128.52,37.48,-60.53,6.85,61.47,16.65,-12.12,-162.33,3.0,20.16,-21.58,57.14,-42.36,-73.56,48.08,1.0
2.0,2.0,1.0,-53.82,-126.94,-12.97,-0.94,-61.46,154.34,8.47,-27.56,-89.21,8.43,16.08,71.08,161.69,30.95,-12.37,208.02,21.87,5.68,-70.59,7.67,38.87,56.75,123.04,1.0
1.0,2.0,2.0,22.35,17.61,-82.2,-18.92,-3.93,186.2,-11.32,-103.76,64.42,11.83,0.51,92.85,145.79,-37.15,-2.17,128.33,-9.11,18.82,-181.77,57.31,-35.58,3.45,168.87,0.0
1.0,2.0,2.0,29.34,-36.38,-65.84,-33.38,45.1,73.83,2.89,-169.59,-83.4,24.76,12.29,30.79,-41.51,25.95,-23.22,56.42,-14.4,-15.41,25.32,12.23,-110.43,-9.85,83.35,1.0
2.0,3.0,2.0,-18.32,-118.03,-77.4,-12.31,-31.25,82.26,28.46,-176.22,-75.66,-14.99,-0.01,-0.84,115.01,-11.29,1.78,-157.32,23.31,-9.84,-62.16,9.19,139.82,-0.66,-88.3,0.0
1.0,2.0,0.0,36.25,95.83,7.53,47.06,107.83,13.31,25.95,-29.38,6.51,-7.13,139.02,1.77,84.33,-15.76,6.59,-181.13,6.87,-10.95,-141.02,-18.44,51.86,-43.34,232.86,1.0
2.0,3.0,1.0,-16.02,-15.72,34.98,-31.67,-73.41,17.03,12.54,-39.99,-71.32,19.41,30.82,-44.65,-21.04,-12.82,-13.68,-12.59,-55.75,-6.2,61.53,19.98,26.64,29.56,155.05,1.0
2.0,2.0,3.0,-34.51,7.96,-4.68,7.81,56.68,-83.51,-19.48,-12.35,33.62,15.13,40.25,-9.19,-29.72,12.69,-13.06,53.4,-33.3,-2.53,183.16,31.12,-203.13,-79.04,157.12,1.0
2.0,2.0,1.0,-33.02,56.36,9.24,11.77,-0.64,-182.64,26.29,-85.41,136.61,0.98,122.89,-63.55,-10.48,82.01,-16.43,63.04,32.41,8.79,248.95,61.98,-113.83,-57.21,143.73,1.0
2.0,2.0,2.0,-73.18,-84.55,57.43,-19.33,-187.28,117.82,12.45,11.14,-192.51,-3.26,70.69,-31.13,-58.06,24.88,0.94,-6.7,-21.09,-7.44,88.35,-78.59,5.11,-115.49,34.27,1.0
1.0,3.0,2.0,-1.5,-111.0,-27.78,-43.01,20.17,43.49,12.96,-465.77,124.7,-23.52,114.63,-92.79,-21.03,8.81,8.45,-131.0,-1.55,-25.1,-139.17,108.56,-39.06,-75.94,-43.48,0.0
1.0,1.0,2.0,16.05,-144.15,-15.65,8.64,211.05,-59.76,28.5,-201.66,265.67,0.44,25.63,17.92,-88.09,-27.78,8.5,26.34,-39.31,-6.44,-117.22,88.28,49.39,-14.63,173.68,1.0
2.0,2.0,2.0,-65.28,51.85,78.39,-19.81,-80.4,25.7,-2.79,-192.9,-116.51,-23.07,-48.29,-75.06,-77.09,95.12,13.09,24.13,37.43,11.95,-35.78,-34.73,68.1,-10.87,-32.85,0.0
2.0,3.0,2.0,-60.28,86.24,-86.81,4.91,-80.98,178.87,20.52,89.02,101.93,8.17,30.24,22.86,-62.2,-12.35,-7.57,-19.26,-34.13,4.6,-120.86,0.4,16.21,2.55,65.42,0.0
1.0,2.0,2.0,79.95,39.64,33.5,-18.28,97.73,52.14,20.22,-299.77,-119.3,-9.11,71.68,28.58,-112.33,6.82,-1.98,-73.85,2.28,5.79,-199.44,50.41,-114.24,18.99,-65.29,0.0
1.0,2.0,2.0,21.42,-84.6,28.66,-16.9,61.72,109.44,13.42,-281.12,-81.25,-2.43,43.54,-26.16,75.67,5.58,-16.19,-149.82,55.9,7.31,-224.16,97.06,138.9,-18.96,-66.82,1.0
4.0,3.0,2.0,-65.4,-53.82,20.22,-24.65,-54.07,-51.82,21.73,241.51,28.52,-4.85,-8.61,-14.48,5.82,-20.59,42.15,300.55,17.82,-13.43,-150.61,73.54,-99.16,37.55,-64.28,0.0
2.0,2.0,2.0,44.87,-1.81,86.5,7.8,89.67,-12.26,-13.56,-171.46,-119.12,-9.77,78.62,41.95,-53.19,39.2,-7.94,256.11,-27.82,-3.43,-127.19,-75.6,38.6,-34.61,-86.28,0.0
2.0,2.0,2.0,134.06,85.87,20.82,17.86,33.14,145.95,-7.38,134.79,16.52,12.66,-68.61,-29.8,-25.56,27.21,-13.46,41.5,26.04,-3.84,-97.89,-121.2,-160.85,2.18,-95.96,0.0
2.0,1.0,1.0,40.36,-40.82,-79.57,-26.11,-119.1,258.34,-3.72,44.19,-73.75,10.41,43.37,-10.65,86.0,-5.74,1.51,104.47,22.35,31.84,-22.26,10.93,-27.21,115.69,6.62,1.0
