cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
2.0,1.0,1.0,13.77,-32.15,5.96,9.88,-59.82,23.88,-4.43,-76.34,-46.2,20.41,41.68,-31.09,-40.15,-42.81,-39.16,42.28,11.95,-4.06,24.36,73.74,69.51,0.0
1.0,1.0,1.0,-93.52,3.41,-4.98,5.8,4.93,-92.48,51.89,13.66,21.38,-39.71,0.8,215.35,-75.44,16.39,39.88,-2.14,5.14,5.69,37.31,-75.13,-15.2,1.0
1.0,1.0,1.0,-70.47,-11.73,-14.88,-40.48,-108.41,-56.12,69.32,2.22,84.58,25.87,68.5,-206.7,175.89,-12.1,-80.99,6.59,-23.62,-4.21,-49.01,97.25,156.78,2.0
1.0,1.0,1.0,-32.17,9.74,9.74,27.51,-36.5,-6.0,98.12,48.66,-79.69,0.62,24.31,-220.01,-143.49,19.58,-55.21,-6.39,-31.83,13.72,-3.19,-76.84,-114.27,0.0
1.0,1.0,1.0,-35.73,-6.13,11.45,-11.32,-20.66,-56.72,136.26,-96.76,-95.22,39.98,69.64,-159.93,250.58,12.53,62.37,-32.03,-18.59,24.93,-67.14,-110.58,-37.19,2.0
2.0,1.0,1.0,22.89,-0.61,-4.73,-15.74,-0.06,65.82,94.27,16.76,-118.34,38.51,-5.59,-77.1,-263.34,16.76,74.05,26.33,25.7,17.84,-14.49,-19.66,-162.17,0.0
1.0,2.0,1.0,-138.35,8.43,23.69,11.14,-1.19,16.69,47.64,23.21,-53.91,10.92,-61.79,-23.25,92.79,13.04,-81.05,6.2,12.51,-21.34,36.17,111.4,-253.3,1.0
1.0,1.0,1.0,39.81,2.52,6.26,-26.1,-26.03,127.84,-194.1,-31.02,63.98,-2.68,-34.81,162.5,61.42,-35.28,-67.13,1.84,-57.27,11.52,-51.84,83.81,15.79,0.0
1.0,1.0,2.0,42.63,1.67,2.31,2.68,39.74,-76.38,90.46,-56.62,56.76,-1.56,-64.67,-70.75,-40.53,24.89,99.45,34.06,11.04,-35.82,-88.28,-66.27,63.44,2.0
2.0,2.0,0.0,-312.01,-55.32,6.08,32.69,51.0,16.55,-264.62,11.4,205.8,-69.32,57.94,-497.41,35.75,-3.41,-54.55,-39.32,12.93,-62.86,-112.24,11.49,48.77,2.0
1.0,1.0,1.0,6.15,60.35,-8.07,2.12,51.62,-57.56,42.82,17.41,-85.39,26.13,-22.83,331.24,170.65,80.07,-36.68,6.04,52.08,43.5,70.31,-9.63,-279.7,1.0
1.0,1.0,1.0,87.52,-27.98,25.12,-8.67,14.59,-71.59,-120.24,4.24,-35.85,1.46,-8.06,-25.94,-30.95,32.44,104.67,-18.43,-43.4,-13.7,-7.61,72.0,65.89,0.0
1.0,1.0,1.0,-130.77,23.41,0.84,-15.96,26.4,-93.39,6.81,11.96,90.7,76.94,-63.85,-32.73,17.31,57.54,32.4,-24.71,-17.59,-26.87,-17.17,32.09,31.81,2.0
1.0,1.0,1.0,-216.33,-22.46,8.07,-10.23,-13.23,40.14,-86.1,-36.89,132.03,5.78,-75.14,65.94,31.03,6.97,-183.18,46.23,40.84,-51.45,71.99,47.29,170.31,2.0
1.0,1.0,1.0,53.06,39.94,-2.03,-14.61,-49.0,69.23,75.02,65.94,-113.53,61.45,-27.27,369.1,60.16,105.15,-11.78,-29.44,24.51,40.7,48.01,-22.15,-164.21,1.0
1.0,1.0,2.0,79.35,18.23,18.29,-5.15,-67.52,100.81,19.98,139.63,33.15,-2.17,-55.33,-70.2,-9.24,32.56,-32.91,8.51,-12.05,-21.31,-27.63,20.62,139.83,1.0
1.0,1.0,1.0,111.43,-26.52,-8.81,19.24,-18.25,-38.39,-48.1,6.35,88.04,45.11,47.61,-106.31,-94.2,8.18,-35.23,-19.94,2.05,-14.92,-39.91,-47.28,177.24,1.0
1.0,1.0,1.0,94.08,6.46,25.68,-29.05,126.06,-85.31,53.59,69.66,-84.77,9.47,11.4,-14.2,109.18,25.61,2.91,26.71,24.52,22.42,-75.66,-45.49,-37.95,2.0
1.0,2.0,1.0,120.07,-1.54,2.39,31.22,-65.31,84.89,-59.77,-68.38,-27.82,-10.34,77.35,-137.93,-3.58,-77.24,59.39,-38.14,17.32,16.4,-64.83,-16.46,-154.26,2.0
1.0,2.0,1.0,10.31,37.64,-3.64,2.56,-74.79,-11.9,-40.01,-23.27,72.96,11.06,-24.63,102.18,73.42,-17.73,37.12,52.9,79.91,-1.58,51.85,11.52,-202.03,2.0
0.0,1.0,1.0,143.53,-2.07,6.73,-22.26,41.8,-0.57,95.7,9.7,-142.93,37.39,14.37,-226.84,-36.07,-7.99,8.15,20.75,14.12,25.41,-119.42,-56.42,-230.69,2.0
1.0,1.0,1.0,-61.91,-11.7,-5.72,11.74,23.84,76.42,43.98,-40.91,-23.55,40.41,28.45,-217.73,26.3,-32.55,74.31,-20.51,10.15,-7.23,-81.21,-63.54,-3.57,2.0
1.0,1.0,1.0,120.43,-20.22,-21.23,-18.68,84.3,-41.82,165.84,87.9,121.35,-92.3,-41.23,-157.82,-49.86,-7.95,-32.65,-43.51,16.86,-44.66,52.99,-108.1,266.61,1.0
1.0,1.0,1.0,0.23,-8.09,-5.28,28.85,-46.56,-3.09,-51.94,40.53,-65.19,8.49,43.7,-260.55,52.04,25.84,-36.23,0.96,66.41,9.44,-69.06,66.77,58.08,0.0
1.0,1.0,0.0,171.58,-6.47,-3.74,9.73,37.41,-42.45,-33.22,-44.6,83.6,-31.37,-58.73,-263.3,246.98,148.61,138.22,-61.65,-19.61,-17.59,-53.94,5.1,-11.32,2.0
1.0,0.0,2.0,-115.87,55.35,-7.5,6.62,-13.63,-47.05,130.71,45.04,37.73,-9.74,-195.83,175.57,131.35,-82.73,-46.49,72.83,27.85,-46.44,52.58,58.11,36.08,2.0
1.0,1.0,1.0,17.63,65.71,-8.92,-1.83,64.6,-180.21,53.85,12.94,-26.24,32.46,-29.02,290.44,-78.23,39.43,86.21,29.25,5.05,33.75,135.58,95.91,-305.04,2.0
1.0,1.0,1.0,-33.69,5.53,-30.16,21.43,-7.55,98.67,123.01,-18.13,-31.83,29.88,31.57,342.94,-78.17,-78.15,6.95,55.18,10.25,34.83,79.52,-48.8,-78.52,1.0
2.0,1.0,1.0,71.95,-15.16,3.17,25.18,70.56,117.05,-126.04,-32.97,-57.99,-4.89,65.47,-187.78,62.85,-56.28,-28.65,-43.28,24.95,5.41,-5.19,-13.63,62.21,1.0
1.0,1.0,1.0,109.23,-7.63,8.03,-3.02,35.26,72.85,-14.11,-23.09,58.38,-2.02,7.57,-100.15,76.8,-26.29,55.95,66.76,36.59,-17.29,14.93,42.8,174.46,1.0
1.0,1.0,1.0,-125.68,-25.5,2.5,0.48,-77.0,-15.94,-17.74,-91.74,89.06,-21.48,-13.44,230.16,143.62,30.25,-158.65,41.83,70.18,-9.77,-47.19,22.12,132.46,0.0
1.0,1.0,1.0,-132.0,11.9,-8.14,45.44,-10.59,39.57,-32.94,46.39,-61.17,41.5,-24.45,117.06,55.44,54.6,-35.08,-6.7,16.18,8.63,-3.56,-70.41,-60.47,1.0
2.0,1.0,1.0,124.16,3.66,-19.34,15.63,-11.35,-22.99,-177.1,-48.6,278.36,8.43,-123.22,367.83,-74.83,-50.67,100.07,-6.0,8.3,-35.34,-61.95,49.93,256.58,0.0
2.0,2.0,1.0,-248.19,-3.46,2.51,4.58,79.27,95.69,-156.51,58.18,-2.2,12.2,6.29,-365.2,11.18,3.12,98.17,11.18,-96.05,-21.0,-82.97,-10.26,-160.42,2.0
0.0,1.0,1.0,163.93,-46.9,-5.54,7.95,-14.61,-21.7,-73.57,115.78,50.01,25.04,69.57,-184.5,34.58,-71.5,-84.06,0.36,-1.86,-13.39,-19.98,96.49,167.83,1.0
1.0,2.0,0.0,-180.8,-26.67,12.52,-6.31,25.73,-26.48,126.55,-52.28,-93.82,24.83,54.13,10.45,-76.49,-80.84,66.77,44.16,-36.12,28.66,-79.9,54.16,-230.82,0.0
1.0,1.0,1.0,48.62,-7.67,1.75,5.14,23.62,-17.35,25.26,24.57,27.64,52.1,65.81,-111.9,39.21,23.98,-16.42,39.78,-62.97,19.92,-54.96,-94.51,86.17,1.0
1.0,1.0,1.0,-50.34,-2.23,-5.99,17.02,99.06,0.94,-161.0,-26.64,-143.49,-35.56,-36.48,-34.9,37.71,-18.85,-61.02,-31.9,-45.74,5.54,10.06,-41.46,-179.43,1.0
0.0,1.0,1.0,-91.86,13.25,3.12,17.84,-39.73,-44.85,-18.04,-56.38,-61.02,51.3,36.65,-78.27,47.2,19.59,2.04,16.85,-48.65,27.22,-15.57,30.82,-125.66,0.0
1.0,1.0,1.0,4.78,-36.03,-10.61,-17.63,-4.0,-20.28,152.29,41.32,-32.81,-37.45,30.47,-331.17,-57.56,-71.42,-35.28,-36.3,22.61,-6.28,-74.17,26.67,80.05,2.0
1.0,1.0,1.0,-0.94,15.75,-1.02,0.32,-107.59,-17.67,-55.08,25.82,-86.49,-0.91,90.02,-159.78,-19.79,4.67,36.57,-51.0,8.22,39.49,-45.62,58.94,-169.97,2.0
1.0,1.0,1.0,-130.33,13.05,-5.48,4.95,-42.46,11.05,-11.24,60.95,5.46,-8.79,43.97,26.37,45.79,4.49,127.54,-14.53,-25.72,22.82,-53.93,22.13,-16.16,2.0
1.0,2.0,1.0,-320.36,11.9,12.36,-7.47,34.63,-73.71,-60.49,1.51,38.27,60.62,-67.25,-257.38,5.98,21.92,-44.35,-85.47,24.14,-50.11,-33.89,2.56,-169.27,1.0
1.0,1.0,1.0,-60.52,11.21,8.8,-22.71,28.82,112.52,-11.36,-3.61,176.53,49.61,-37.2,39.84,56.32,17.59,68.67,54.22,-19.77,-22.36,-41.97,-34.57,128.22,2.0
1.0,1.0,1.0,-70.25,-1.13,-11.09,-3.32,52.81,-75.52,151.52,0.57,59.04,14.57,39.04,-213.67,-33.89,12.98,-90.43,17.81,-52.05,14.86,-35.32,-99.02,101.67,1.0
1.0,1.0,1.0,281.48,-32.7,-1.14,-0.95,38.88,49.04,-122.06,141.02,88.43,66.53,-62.22,-147.27,81.99,145.9,96.16,29.8,46.26,-61.23,46.8,19.98,289.54,1.0
1.0,2.0,0.0,-50.22,-3.73,-8.33,-18.2,70.1,-51.29,-137.1,75.13,20.34,-3.04,-3.07,5.24,84.35,-18.91,141.39,23.53,51.96,-8.31,59.52,-11.31,-161.42,0.0
1.0,1.0,1.0,-0.98,26.67,-7.64,12.99,17.55,-75.48,5.41,10.85,-52.06,-12.77,-24.51,124.51,63.98,-32.35,-62.76,15.39,-7.85,16.11,7.37,-68.8,-116.93,1.0
1.0,0.0,1.0,-91.98,-0.27,-2.93,13.6,-58.52,51.42,120.81,79.79,1.41,43.51,-43.77,-183.48,36.3,-97.49,-136.68,27.4,-47.76,-24.4,53.33,-30.24,105.38,0.0
1.0,1.0,2.0,-35.57,21.53,-8.71,-4.18,64.8,-59.68,24.39,-52.27,179.61,-25.34,61.02,128.15,108.08,-66.12,-48.6,56.29,-8.55,7.67,-56.37,-90.51,184.11,1.0
1.0,1.0,1.0,90.8,-19.22,11.21,21.29,29.12,-77.16,-40.27,-0.01,76.09,45.34,-9.36,-44.65,-117.11,16.74,-84.9,38.83,-39.5,-15.82,31.22,32.73,167.85,1.0
1.0,0.0,1.0,-266.86,-14.81,7.11,-37.38,29.46,51.05,89.94,73.32,108.98,19.87,-70.68,287.73,53.55,59.13,-26.64,7.86,-131.32,-16.2,-26.77,-34.85,215.35,0.0
1.0,1.0,1.0,-25.63,-0.11,-2.02,-8.95,-6.18,-94.41,39.38,8.67,-36.88,33.84,-14.87,-69.28,-13.39,-76.61,-31.45,-22.23,24.74,8.1,12.05,121.56,17.22,0.0
1.0,1.0,0.0,-292.96,14.67,2.83,1.97,-37.91,16.26,-14.44,-17.79,-146.87,7.73,-21.49,12.17,-2.0,-24.8,0.83,22.74,15.29,35.54,1.48,52.44,-358.39,0.0
1.0,1.0,1.0,134.93,-5.44,-7.68,7.47,81.59,-97.69,-56.02,60.77,-197.87,24.13,24.79,-58.39,-59.99,-71.25,206.18,9.66,32.35,19.28,-1.14,-30.11,-72.68,1.0
1.0,1.0,1.0,-88.3,-22.47,-0.43,-14.15,-77.83,-73.81,-87.08,-76.39,36.53,35.86,24.17,195.0,44.32,-74.23,0.21,-57.95,71.45,20.45,-82.28,35.18,20.3,0.0
1.0,1.0,1.0,43.58,15.12,-10.23,-14.53,-54.59,79.11,194.66,-18.59,6.28,-13.16,-10.83,118.34,-40.12,-79.16,43.06,41.1,13.57,4.47,27.82,47.35,4.56,2.0
0.0,1.0,2.0,-148.49,-25.04,-10.91,-22.5,-50.04,-40.47,-10.54,19.48,-188.79,-43.73,92.69,-119.69,-9.46,-32.51,-27.9,6.27,12.24,23.55,-83.64,5.05,-125.45,2.0
1.0,1.0,1.0,-359.04,60.92,-1.48,-18.83,-24.39,72.05,-21.99,-77.06,31.0,-9.64,41.08,240.34,-38.15,46.35,4.04,22.31,12.81,46.83,18.64,-57.57,-153.27,1.0
1.0,0.0,1.0,-150.83,-16.86,-1.39,-18.26,28.03,-229.45,130.98,-43.11,-126.64,-50.59,-41.01,-311.9,141.64,60.09,41.26,33.55,-21.76,-22.39,51.21,44.65,109.21,0.0
1.0,1.0,2.0,-79.55,21.76,16.26,28.9,-72.88,9.7,135.27,-36.91,37.95,8.55,32.07,215.13,44.49,-7.45,11.99,-66.15,4.31,30.2,-84.0,4.06,15.83,1.0
0.0,1.0,1.0,81.16,-30.09,1.24,23.68,75.74,-55.49,34.81,-65.26,-20.98,-45.1,32.86,-16.37,-129.52,-59.51,-32.37,-1.2,14.83,-5.02,-15.88,25.22,72.48,1.0
1.0,2.0,1.0,-0.66,-9.63,-12.94,26.8,1.15,59.78,26.64,15.59,18.06,33.05,60.28,-152.89,25.4,-30.91,64.01,-56.43,-10.68,2.12,-54.57,26.69,-58.22,2.0
0.0,1.0,1.0,-122.86,4.46,3.55,7.62,-48.51,60.34,45.81,-62.49,17.47,-53.5,31.82,-39.09,-2.38,-88.71,47.14,10.72,30.2,19.99,-70.81,-5.58,45.07,0.0
2.0,1.0,1.0,-232.41,-10.83,-10.7,-9.17,-11.74,77.98,135.1,33.55,-107.88,-8.43,-87.52,-284.22,4.88,-34.67,-27.22,-12.25,-74.88,-43.83,-29.01,-3.22,-205.29,1.0
1.0,1.0,1.0,215.66,-33.17,-1.19,-3.12,-37.41,-20.69,164.93,-78.57,-18.71,18.56,-32.01,-75.29,137.38,-122.62,-26.01,41.64,-35.31,-36.25,77.47,21.38,160.23,1.0
1.0,1.0,1.0,173.3,8.08,-21.93,-8.67,-2.63,112.8,20.15,31.29,41.79,-33.91,4.11,359.75,-93.63,18.42,101.99,-40.99,-63.98,45.55,-69.44,-16.67,-120.98,0.0
1.0,1.0,0.0,11.36,-1.27,-1.3,-37.41,-17.96,92.76,114.75,-48.43,-87.78,55.73,-10.65,-82.73,19.24,-37.8,78.49,-62.4,-19.36,24.15,-78.25,0.73,-124.76,2.0
1.0,0.0,1.0,-129.21,22.29,-13.79,26.21,42.87,-50.38,-52.69,74.87,-121.26,-10.31,1.2,-228.17,-47.96,52.78,107.8,-8.44,-40.63,30.41,-23.59,4.34,-53.48,0.0
1.0,1.0,1.0,-24.12,-8.57,-20.33,2.0,-62.66,-17.94,0.1,13.62,39.83,37.22,74.16,17.42,24.93,74.53,3.54,3.49,3.34,25.71,-11.44,-9.53,63.1,1.0
1.0,1.0,2.0,233.78,-1.87,-12.41,-12.4,27.23,-77.54,-28.89,-0.72,158.36,28.88,12.28,79.77,-14.89,55.0,59.69,-23.88,-2.86,-20.39,65.88,-35.19,271.17,1.0
1.0,1.0,2.0,-54.07,17.65,2.66,-27.5,59.25,-10.9,96.96,-27.21,51.25,-32.32,-93.2,89.15,4.59,19.73,155.55,-5.87,-55.15,-30.19,7.24,-98.9,109.39,2.0
1.0,1.0,1.0,-197.36,-6.47,-13.23,15.66,-22.68,-35.5,50.07,55.07,-139.02,46.12,-73.07,-156.3,123.14,22.84,68.76,66.34,-21.81,-20.59,-69.7,74.71,-55.35,1.0
0.0,1.0,1.0,-90.3,-15.59,-5.23,-23.89,102.53,-82.78,20.61,-25.11,-165.78,-28.9,74.04,-167.12,108.92,55.91,79.37,-27.49,1.3,34.16,-66.54,-82.91,-131.36,0.0
1.0,1.0,1.0,-92.15,-31.78,5.05,-40.89,58.56,44.32,-141.5,-76.71,-61.92,41.7,-41.99,-81.73,33.33,-11.73,230.18,11.89,11.36,-40.82,29.71,16.01,96.71,0.0
1.0,1.0,1.0,69.1,5.22,-1.53,8.5,117.67,-32.37,-15.21,-27.3,-116.97,46.76,37.86,-81.37,28.3,17.74,-30.29,-26.75,42.34,17.95,-25.96,15.48,-146.22,2.0
1.0,1.0,1.0,7.42,8.88,3.75,-3.66,41.2,130.52,216.75,35.96,-116.19,21.0,-26.24,73.7,78.26,51.04,-41.75,-30.5,43.01,26.22,-74.17,-30.18,-180.7,2.0
1.0,1.0,1.0,-20.33,-9.52,-2.23,2.64,5.71,-30.12,-84.6,-18.25,-36.11,-55.89,-21.73,-43.75,214.05,18.47,-25.76,-16.09,51.05,-14.25,48.35,57.91,65.22,1.0
