cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,target
2.0,2.0,3.0,3.0,57.35,504.97,29.58,3.69,-25.16,-243.49,-73.69,-17.5,-31.37,-22.06,334.37,15.84,1.0
2.0,2.0,2.0,2.0,71.28,-158.56,-0.47,-1.66,87.42,73.43,-3.19,52.93,-45.71,-42.64,-20.63,120.38,2.0
1.0,2.0,2.0,2.0,-9.26,64.17,-38.02,-19.82,-163.77,27.56,-16.84,51.3,-24.43,162.38,-135.42,43.59,1.0
1.0,1.0,1.0,2.0,25.43,-62.31,23.24,-12.17,-361.36,188.4,13.4,-116.21,-13.5,225.27,49.33,-59.87,2.0
2.0,2.0,2.0,4.0,-7.29,461.01,-32.42,7.31,328.08,-295.35,-36.38,281.97,-12.96,-76.2,182.17,-62.68,0.0
1.0,2.0,2.0,2.0,158.0,141.15,-12.23,-13.32,34.11,-65.74,21.17,134.07,-6.87,111.1,-286.74,11.18,2.0
2.0,1.0,2.0,2.0,-42.74,52.43,10.89,6.96,-442.04,57.39,-46.34,-5.53,14.67,11.4,-90.17,-254.7,0.0
1.0,2.0,2.0,1.0,-102.68,75.5,5.93,-3.79,-61.68,14.58,-3.97,-21.58,-9.86,142.73,44.92,-29.07,2.0
2.0,2.0,1.0,3.0,-67.85,292.67,-2.04,-9.72,-101.12,-64.81,-19.09,66.02,-22.68,270.81,155.51,-78.94,1.0
3.0,1.0,3.0,3.0,-95.31,-147.34,-38.97,-16.01,-153.1,91.2,-22.65,28.07,-1.12,89.58,1.01,-16.18,1.0
2.0,1.0,2.0,3.0,-114.97,234.61,-16.91,10.69,44.33,-141.42,-4.21,3.27,8.84,17.13,11.79,38.65,2.0
2.0,2.0,2.0,2.0,-5.89,-47.48,17.0,-21.41,-91.65,-66.18,-50.57,-43.45,-20.95,-132.3,-43.81,-70.13,2.0
1.0,1.0,1.0,2.0,63.95,382.02,-3.39,0.77,150.95,-211.66,2.43,-27.2,23.69,150.24,105.97,24.19,0.0
2.0,3.0,3.0,1.0,-23.6,331.6,32.78,31.17,-168.72,-98.85,1.61,-204.83,-49.0,132.65,142.09,-73.22,0.0
2.0,0.0,3.0,2.0,113.73,163.41,-1.72,2.07,-235.03,22.95,-35.56,126.9,16.44,67.68,40.01,-186.3,2.0
1.0,1.0,1.0,1.0,105.13,76.05,-40.82,-3.46,-223.42,65.9,-9.47,1.35,38.8,186.45,-105.25,-75.29,2.0
2.0,2.0,2.0,2.0,102.76,-96.37,7.24,-1.7,-83.93,94.45,-73.41,158.07,28.42,-51.12,69.27,86.59,1.0
1.0,1.0,3.0,2.0,107.89,91.18,24.63,-26.18,259.77,-115.52,14.97,183.07,-19.64,-71.76,-11.92,-183.79,2.0
2.0,2.0,2.0,2.0,-44.5,-130.63,-17.81,-4.81,-301.55,135.26,-98.57,197.13,-18.12,-225.41,-48.95,-38.87,1.0
2.0,2.0,1.0,2.0,-342.18,276.38,-7.36,3.77,373.29,-139.89,11.37,119.11,-12.62,173.72,346.16,-34.11,1.0
1.0,2.0,3.0,2.0,-36.49,-370.03,25.58,-17.1,140.63,118.34,33.49,64.36,39.23,-211.98,-233.47,24.81,2.0
1.0,2.0,1.0,2.0,-59.03,21.05,-6.28,-23.8,-441.07,85.88,-35.21,-35.34,35.54,81.58,-44.33,-222.27,0.0
2.0,2.0,1.0,3.0,127.07,13.12,29.95,0.45,-25.4,-33.73,-3.99,73.67,14.33,-20.95,-170.59,-13.81,0.0
2.0,2.0,3.0,3.0,-74.22,442.95,-6.37,22.1,549.98,-214.87,6.62,251.89,19.69,163.37,365.58,228.58,2.0
3.0,1.0,1.0,1.0,-156.13,164.32,-11.76,26.44,-346.21,-19.93,-37.04,-113.18,9.32,47.87,63.91,-275.63,0.0
1.0,3.0,2.0,1.0,93.93,-101.07,13.33,-12.08,-174.01,128.07,20.3,-106.77,7.94,122.17,-53.88,-25.34,2.0
1.0,2.0,2.0,3.0,174.81,384.81,-8.21,2.69,123.57,-90.14,2.71,172.75,3.51,205.83,201.42,48.45,1.0
2.0,1.0,2.0,2.0,-136.22,-136.46,32.79,-4.64,233.59,-15.96,-15.5,116.55,-14.54,-94.06,-116.08,180.49,1.0
2.0,3.0,2.0,2.0,104.88,55.22,0.35,-3.33,-153.57,29.71,-21.77,-69.26,8.16,93.66,20.93,96.7,0.0
1.0,1.0,3.0,2.0,-61.19,159.78,-2.71,6.71,-300.37,59.99,-16.2,22.11,-15.14,133.4,3.39,-82.25,2.0
2.0,3.0,2.0,2.0,44.42,302.67,-1.47,8.61,90.92,-178.07,-0.33,33.97,-41.38,129.27,-92.1,72.2,0.0
2.0,2.0,2.0,2.0,-111.36,40.32,-15.27,-5.8,268.82,-80.33,37.61,-19.45,25.71,176.42,-61.73,189.3,2.0
2.0,1.0,2.0,2.0,107.62,-66.15,18.6,12.07,47.69,-7.93,-28.53,59.02,22.67,-200.89,-141.95,200.6,1.0
1.0,2.0,1.0,2.0,173.79,4.54,-0.02,-9.7,-143.18,101.48,-6.55,3.77,5.82,41.51,111.93,3.83,0.0
2.0,2.0,2.0,4.0,16.15,773.26,12.57,26.9,360.47,-377.45,-18.55,268.43,-53.27,161.95,232.87,133.57,2.0
4.0,2.0,3.0,2.0,-16.56,-153.51,-8.27,2.62,190.87,-4.07,-26.56,6.29,-60.69,-77.49,225.6,18.36,1.0
2.0,2.0,3.0,1.0,-35.58,54.24,-24.01,-13.74,-159.04,17.55,-25.76,-0.28,-3.25,135.22,-74.02,-13.79,2.0
1.0,1.0,3.0,3.0,22.96,249.58,10.03,-26.13,206.56,-97.6,12.35,158.31,64.28,221.95,115.16,10.58,1.0
1.0,1.0,2.0,4.0,50.6,202.35,-14.88,-9.4,-354.84,10.19,-9.42,-50.68,23.47,233.7,-111.57,70.77,1.0
1.0,2.0,3.0,2.0,-100.14,4.5,-21.38,-0.36,-257.9,181.86,8.89,26.53,-1.35,228.85,16.52,9.9,2.0
2.0,2.0,2.0,2.0,36.19,13.35,-12.72,-14.16,-111.3,39.91,-3.8,23.49,28.98,243.36,-1.88,-48.61,1.0
1.0,2.0,3.0,1.0,17.06,144.21,-17.38,18.69,-285.97,100.63,28.67,-38.92,-32.09,283.05,-110.1,-106.64,2.0
2.0,1.0,2.0,2.0,24.05,-92.98,22.2,-5.16,167.72,59.23,6.62,2.87,-7.45,64.94,146.03,213.57,2.0
1.0,1.0,2.0,2.0,-31.67,233.05,8.18,37.07,-621.75,121.43,-28.02,-196.38,-18.74,165.37,222.02,-201.72,0.0
2.0,2.0,2.0,1.0,57.02,-87.21,-18.73,-10.38,64.26,67.59,11.61,88.09,-28.31,183.3,-54.36,14.7,0.0
3.0,1.0,3.0,1.0,-50.57,-381.05,33.39,1.68,59.61,140.71,-34.92,27.24,28.84,-224.09,-65.41,214.43,1.0
1.0,2.0,2.0,2.0,-109.51,176.54,8.69,-3.76,-311.27,-56.94,-27.96,-134.3,13.73,-161.22,0.69,-201.81,2.0
