cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
1.0,1.0,-69.19,27.73,36.25,-97.23,-4.35,16.58,49.44,-43.04,9.86,-7.99,-6.03,-129.81,111.6,-0.83,367.32,-213.17,-308.99,192.84,2.0
0.0,1.0,9.91,-108.22,51.28,135.37,12.72,-65.66,,-13.98,-13.38,-1.69,-18.98,1.24,13.05,0.57,7.31,-10.33,-314.03,211.18,2.0
1.0,1.0,1.25,-51.71,101.63,120.3,1.83,-223.56,37.95,6.9,-23.64,0.84,-13.03,-141.06,-135.63,0.75,-338.73,-127.12,-178.41,124.0,2.0
1.0,1.0,-42.36,-216.02,-26.23,-75.72,15.26,171.92,-35.31,-54.65,5.34,-1.11,-4.77,62.66,105.68,-3.18,379.97,-280.52,-184.76,-160.22,2.0
1.0,1.0,135.42,-93.52,11.24,-159.92,-22.96,145.95,-31.93,-9.83,17.46,9.06,-10.71,-46.02,-113.28,1.49,364.55,-81.9,-19.96,23.81,1.0
1.0,1.0,-19.65,95.5,75.77,45.47,30.46,-56.92,-97.53,2.57,-5.15,3.31,-6.72,-36.91,33.73,-0.95,-4.58,-142.96,-108.55,-19.42,0.0
1.0,1.0,-22.18,-57.49,-56.73,163.58,-15.23,52.84,-27.46,-15.88,-35.5,-8.1,-11.9,146.68,-68.48,-2.93,95.35,-179.34,-380.2,285.84,0.0
1.0,1.0,13.81,203.31,64.95,130.59,19.97,96.08,66.41,44.27,17.58,7.66,-14.37,117.81,8.18,0.43,80.73,-106.99,55.6,-94.17,1.0
1.0,1.0,165.28,-57.27,4.71,-174.38,4.57,139.42,55.4,-19.4,-11.4,1.55,0.63,-159.29,45.44,-0.67,275.95,-187.44,-187.42,131.64,1.0
1.0,1.0,-41.54,-262.31,-3.27,-216.39,-23.22,-67.4,57.53,-44.1,24.12,4.91,5.11,88.98,61.39,-2.01,172.77,-209.99,-41.56,-226.67,2.0
0.0,0.0,59.91,-112.33,119.52,4.5,0.11,-59.45,3.53,-15.9,-10.41,-8.28,9.13,-59.26,22.6,2.67,189.98,-155.35,-189.92,28.07,0.0
0.0,1.0,-86.7,74.21,135.81,-39.28,4.59,49.34,-41.15,8.08,24.38,-0.71,22.79,-59.65,-84.45,1.81,50.46,-423.69,40.91,-427.09,0.0
1.0,1.0,19.69,-41.02,-5.07,-102.64,-7.24,191.87,23.51,-33.99,-10.6,0.38,-5.02,-99.56,-83.62,1.07,574.26,-212.63,-107.16,150.9,1.0
2.0,2.0,-15.47,55.97,47.28,-1.41,1.01,-136.4,9.23,26.49,9.13,-5.71,3.03,-107.5,4.1,-3.17,-704.04,-63.72,-239.86,-103.91,0.0
2.0,1.0,-184.51,-87.33,20.44,126.12,-25.91,-4.86,-1.93,15.7,16.33,-6.33,2.31,-40.49,27.68,-1.22,-207.44,77.17,-89.28,110.58,1.0
1.0,1.0,-92.68,1.72,85.83,-38.22,-8.89,25.53,-34.34,-22.18,-21.0,0.55,-0.94,-64.19,138.09,0.36,233.6,-214.54,-48.85,-174.47,0.0
1.0,1.0,20.64,-38.56,-47.97,0.99,-7.11,-23.42,40.73,-7.21,-39.2,-2.88,8.85,10.15,-122.03,3.74,-141.43,-51.65,-305.13,227.71,0.0
1.0,1.0,51.34,-16.6,85.75,84.24,-4.65,-207.24,23.24,17.57,2.22,-11.57,1.39,58.62,72.87,-0.87,-63.72,-179.32,-16.03,69.74,2.0
1.0,0.0,-172.08,-26.76,119.57,253.96,4.75,-198.89,16.7,-10.71,1.27,-4.88,4.26,-105.19,82.36,-1.17,-115.35,11.27,-287.22,256.09,0.0
1.0,2.0,20.84,-162.27,54.34,184.06,7.91,-11.68,-136.67,12.99,14.76,-12.18,-9.28,-259.69,-46.41,-3.74,-507.65,-107.35,-207.49,107.71,1.0
1.0,1.0,-55.59,-26.05,-7.71,-71.0,33.77,-68.04,12.13,-10.85,26.75,-6.02,-3.3,102.1,86.43,-2.53,-96.63,-205.82,-161.15,-112.26,2.0
