cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,target
1.0,1.0,-23.64,85.87,448.19,-81.82,-73.0,49.27,140.35,53.59,46.68,31.1,24.67,0.05,95.42,46.79,-10.57,-173.56,-7.27,-132.44,-27.33,-31.62,120.62,20.98,0.0
1.0,1.0,16.34,216.32,231.76,-31.15,-5.23,31.5,5.07,-20.09,-83.19,-76.82,-53.39,-4.02,-47.39,-0.4,-5.86,-304.44,-22.07,-70.71,-234.7,64.95,-73.11,-33.03,1.0
1.0,2.0,46.7,174.41,-224.22,-22.73,76.28,-6.31,-103.98,-71.64,121.65,29.01,114.12,-1.54,-127.43,7.46,4.08,219.97,1.69,-41.82,-22.25,33.35,28.55,104.34,1.0
1.0,0.0,-70.6,-70.69,496.71,307.09,-2.78,-31.37,159.5,-13.53,99.13,48.75,97.47,5.63,-141.23,25.14,2.18,-143.41,5.62,-139.1,68.91,-39.2,184.82,121.65,0.0
2.0,1.0,-58.23,-24.48,493.47,21.55,12.54,-43.33,144.95,97.9,50.39,-28.89,19.13,-1.57,-93.7,-13.5,-2.56,-333.02,50.4,-75.16,88.83,-78.39,46.44,94.38,0.0
1.0,0.0,40.76,241.83,302.84,-155.17,12.97,25.85,51.41,54.51,-30.92,-12.97,20.57,-0.79,-205.66,-13.44,6.88,27.91,32.75,-156.07,-208.15,94.04,49.5,103.21,1.0
0.0,1.0,50.36,276.09,-44.71,-182.25,-34.93,-39.44,-26.04,72.07,25.54,-8.92,34.61,-0.86,-13.38,34.77,1.57,31.36,-80.56,-115.07,-159.31,-11.01,59.96,155.71,1.0
1.0,1.0,3.38,-39.49,-38.43,-262.44,-9.3,-14.24,-107.35,-82.18,73.74,22.42,-56.42,1.08,70.23,-17.42,7.42,-107.33,-77.5,74.62,-38.97,-7.99,-61.43,-79.1,1.0
1.0,1.0,63.17,297.33,-177.4,-185.53,13.89,31.6,150.15,-8.96,-86.96,-1.02,-70.49,-2.13,-4.77,-10.44,10.51,151.69,60.07,20.16,2.38,122.27,21.22,110.11,1.0
1.0,1.0,2.9,163.9,312.03,-86.79,-101.92,-68.09,-19.47,-68.56,-39.91,10.44,36.92,4.36,-52.24,-13.07,4.65,92.12,11.17,48.65,16.38,122.98,130.87,-136.93,1.0
0.0,1.0,-33.54,-31.5,120.01,80.58,43.38,-26.36,131.88,-17.0,61.26,-36.1,101.16,3.43,26.72,-3.66,-3.34,-265.48,34.62,138.82,77.15,221.45,3.13,0.27,0.0
2.0,0.0,5.09,-6.12,-31.23,-23.94,-52.26,-23.13,-67.45,-7.62,5.67,-4.64,80.82,1.87,29.17,18.55,-2.42,274.18,-1.77,37.14,96.75,1.26,111.53,-160.83,1.0
1.0,1.0,-6.22,63.8,274.98,113.06,82.84,35.75,-15.09,14.04,-33.78,14.3,85.17,-4.37,-116.93,-8.83,22.22,-112.69,20.51,-135.24,-127.95,25.1,10.06,158.7,0.0
2.0,0.0,15.62,110.55,131.9,-54.65,-133.52,-11.61,-23.11,-29.5,-43.34,28.66,124.95,9.46,-45.86,12.44,-1.6,-87.98,52.84,45.17,-77.49,60.59,-29.4,-12.99,0.0
0.0,1.0,14.62,138.81,52.38,-8.64,-1.86,13.31,21.5,62.32,83.81,-23.44,-13.1,3.36,-120.23,-8.1,2.16,25.23,18.0,4.75,-13.8,26.12,27.04,104.08,0.0
0.0,1.0,8.05,119.42,229.09,17.85,-36.21,26.78,-39.54,85.82,92.73,92.77,140.51,-0.18,86.54,21.78,2.77,-227.85,37.31,-90.22,-166.63,-98.16,-60.0,-34.27,1.0
1.0,1.0,33.19,-79.62,-34.84,-37.3,68.61,-16.59,173.28,-33.48,18.23,-14.92,104.38,-1.72,149.04,-1.2,-3.35,-391.58,63.72,-38.45,-397.07,-63.69,-245.8,-3.72,1.0
0.0,1.0,-59.23,-149.16,250.21,147.1,-92.26,-16.26,129.22,-13.29,-19.23,93.67,30.15,1.88,-27.1,46.23,5.2,-47.26,3.55,156.3,158.33,24.02,131.35,83.99,0.0
1.0,1.0,-43.42,-238.95,-38.45,33.38,22.43,15.67,70.38,-53.68,43.11,-6.54,24.84,0.01,43.7,-8.61,2.45,-173.22,43.25,-17.88,152.41,30.21,-69.73,25.06,0.0
0.0,0.0,-1.67,-98.32,-65.95,-242.33,-28.29,68.87,-28.51,-15.35,50.01,35.44,-56.21,-4.18,101.99,-5.8,2.64,-139.6,-35.96,53.74,-10.1,17.77,-90.0,23.15,1.0
1.0,1.0,-10.25,-147.59,170.43,-79.84,-45.85,106.66,102.12,-41.76,28.08,-15.33,53.17,-3.19,3.06,-12.83,-1.25,-272.57,-15.66,19.18,-210.39,-5.69,-74.44,-4.0,1.0
0.0,0.0,45.24,162.92,-206.22,-18.81,44.3,-58.56,-11.15,49.21,7.8,12.37,57.67,-1.82,62.0,37.08,3.1,130.54,-23.18,-54.02,-91.53,63.91,21.93,-20.57,1.0
1.0,1.0,-34.98,-196.14,-128.39,184.23,139.12,-9.59,33.61,31.89,-33.03,-59.05,75.69,-2.66,49.67,-3.12,8.29,-46.04,19.94,25.08,131.29,-2.69,-17.41,-142.81,0.0
1.0,0.0,34.6,45.25,-191.25,-28.41,-8.58,-20.18,-202.68,57.22,-99.78,-24.06,7.15,-4.11,-146.06,-4.95,-9.44,152.57,-14.63,128.15,-84.94,106.89,-73.18,-64.8,1.0
2.0,1.0,84.76,256.14,-116.91,-406.75,-92.06,-22.28,136.79,77.06,124.48,-13.79,-6.19,-2.02,-36.16,-20.97,-3.39,212.62,-11.08,59.63,-178.46,29.2,63.94,-108.99,0.0
1.0,0.0,56.15,121.75,-251.87,-113.01,-8.65,-35.69,-99.74,-5.39,81.31,68.13,-16.59,0.61,-89.52,-17.83,-7.16,111.89,-34.27,127.51,-167.81,-99.04,-71.64,-17.42,1.0
1.0,0.0,2.44,154.3,153.25,123.76,7.72,-50.24,-50.58,-101.81,-9.99,-55.98,142.77,-0.74,-42.42,-23.17,-0.34,201.96,-19.51,-141.25,28.82,23.73,187.81,164.67,1.0
1.0,2.0,6.01,2.89,-97.63,108.52,-20.55,-51.21,-39.15,42.52,-51.73,-29.54,88.26,4.58,-124.42,-16.57,5.43,18.97,-5.02,-69.13,-35.35,88.81,-8.24,106.67,0.0
1.0,1.0,63.84,221.4,140.35,-295.78,29.65,-6.58,-1.8,-42.04,21.76,-90.24,-72.7,-2.31,-50.68,9.72,18.71,174.5,0.04,-20.89,-234.66,62.89,25.45,208.98,0.0
1.0,1.0,-21.42,-9.79,-133.07,144.26,18.78,-68.55,18.08,44.3,26.86,17.32,-92.95,3.31,-42.18,-14.73,-18.6,-121.43,-18.86,-121.48,106.99,-119.14,-38.65,11.31,0.0
0.0,1.0,23.25,140.26,45.22,-62.92,-46.48,-8.65,0.64,-19.74,38.32,85.31,100.6,5.05,211.48,-13.35,-8.58,-102.35,74.23,11.93,-53.59,-3.81,-63.75,120.9,1.0
1.0,1.0,-10.89,-211.74,-207.46,272.92,84.85,-9.11,-23.33,124.8,-117.93,70.32,137.3,1.6,28.95,-16.77,-7.05,98.05,5.17,78.51,-26.43,13.61,-21.59,-31.33,0.0
2.0,2.0,36.39,300.82,378.28,-66.81,-89.53,-38.89,-5.49,-80.92,144.79,0.9,89.96,0.44,-116.01,-40.71,-2.86,-16.49,48.8,-78.55,-210.4,11.17,50.76,-39.8,1.0
2.0,1.0,22.87,-207.5,-279.26,-209.91,16.87,14.03,16.0,-17.51,-58.25,58.9,-27.47,5.51,75.19,-38.12,-3.23,161.35,-9.66,-124.66,-40.08,110.85,-66.51,145.55,0.0
1.0,2.0,2.68,3.76,-285.85,73.65,-153.99,42.89,0.45,113.48,-37.49,-21.75,-45.25,3.63,-13.47,-36.45,1.84,40.76,11.01,-39.77,131.12,-217.55,-39.08,86.05,0.0
1.0,1.0,-66.04,-305.08,31.35,8.81,-84.45,7.31,67.08,12.34,-66.35,34.09,-64.14,-2.94,-141.06,-12.76,-7.36,-101.81,16.9,70.69,263.41,39.05,-6.19,25.31,0.0
1.0,1.0,71.68,214.59,-190.87,1.56,-16.05,9.03,-54.57,-52.12,14.98,-28.56,-77.7,-1.35,36.08,13.18,5.56,27.32,4.75,-49.65,-312.15,17.53,-142.08,71.23,1.0
0.0,1.0,15.56,63.33,-32.24,26.4,51.08,76.06,63.4,11.09,48.21,-19.9,100.49,0.18,20.39,17.45,-14.47,121.23,6.18,89.87,-12.8,43.33,84.62,194.31,1.0
1.0,0.0,-32.8,-144.83,184.71,-86.55,-15.64,-41.95,-74.76,96.33,11.41,68.82,118.5,-3.64,50.68,-23.61,-26.39,-250.58,28.03,94.89,21.81,146.85,-81.86,134.93,1.0
1.0,1.0,7.96,190.85,42.24,89.55,138.33,-63.21,5.43,-126.64,7.36,-17.68,-60.87,2.33,52.67,-10.71,2.54,-6.26,10.11,49.52,19.79,-19.15,26.52,8.32,0.0
0.0,1.0,18.14,173.05,-10.78,157.54,151.5,-15.84,11.89,5.41,-13.55,30.94,134.75,4.03,57.16,-56.62,-5.22,34.52,31.53,189.27,-33.86,57.17,46.2,-15.33,1.0
1.0,1.0,-3.93,-1.84,-14.79,-50.52,16.22,-43.61,63.54,2.11,-29.96,-62.98,0.64,-2.92,-40.38,-16.76,3.03,-144.25,30.77,-98.37,30.37,-29.5,-54.21,148.45,1.0
1.0,2.0,-37.1,-98.07,168.96,148.48,76.53,-0.71,76.86,-10.64,-79.69,17.14,74.55,-7.74,33.42,-27.58,3.35,-108.53,17.03,-55.63,46.47,72.93,44.78,58.92,0.0
1.0,1.0,-48.98,-238.31,7.73,199.42,-52.93,19.26,28.01,133.63,-0.77,-30.19,30.35,4.16,-34.56,35.83,-3.02,20.37,6.83,102.05,146.75,123.7,38.25,13.1,0.0
1.0,1.0,36.62,29.34,-174.75,-126.22,11.91,-17.24,48.61,-116.03,92.53,-71.58,27.62,-4.1,183.15,19.79,-5.08,151.45,6.79,-217.79,-55.51,-38.8,5.82,77.66,0.0
1.0,1.0,33.94,208.21,-17.66,-83.12,42.26,2.7,18.69,-22.28,5.1,-27.3,-62.31,1.68,9.15,23.73,2.83,91.39,-25.06,49.08,-62.27,61.3,50.16,-17.74,0.0
1.0,1.0,-50.83,-318.89,-46.79,56.61,60.27,-6.04,42.77,-2.57,65.3,-9.62,-23.79,-1.32,-172.25,-35.34,-3.09,-3.79,7.5,-71.14,183.19,42.08,-4.62,121.53,0.0
1.0,1.0,-18.54,-7.43,167.36,50.0,100.92,24.6,55.35,101.35,-46.39,117.27,60.03,2.57,-24.03,5.28,10.09,-122.16,-1.3,-177.47,-16.46,106.96,35.14,86.54,0.0
1.0,1.0,-6.18,80.21,108.65,-13.11,-48.47,47.61,42.51,-91.07,-69.88,-119.12,82.46,-1.12,-159.59,-1.36,-6.06,-277.61,48.1,-66.58,-10.77,-107.98,-67.23,78.83,0.0
1.0,1.0,4.59,-126.23,-153.24,14.25,109.18,-0.42,37.68,52.78,90.63,88.82,-25.82,1.17,-31.38,-4.91,12.57,67.17,-2.65,-36.62,-29.94,-211.19,-35.31,68.71,0.0
1.0,1.0,16.07,75.92,30.11,-10.65,-67.41,-22.83,28.09,-78.7,104.13,-113.04,97.97,-0.73,115.89,7.37,4.58,-112.55,60.82,46.3,-74.17,-18.56,-62.55,-44.79,1.0
1.0,1.0,17.39,176.49,310.29,-137.76,118.76,-27.0,-3.36,-70.45,-2.25,-3.99,67.84,3.94,15.02,-34.64,-2.13,-29.92,1.35,-36.01,-128.38,-49.63,67.78,-113.7,1.0
