cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,target
2.0,2.0,-55.91,68.29,4.69,-11.83,-5.75,8.38,-65.83,-196.44,49.63,-10.08,-77.71,-44.86,1.48,62.83,-47.43,121.49,88.26,29.32,6.73,1.0
2.0,1.0,-62.83,13.84,0.67,-165.36,6.36,6.06,100.67,-503.98,6.55,18.38,116.61,-21.54,-18.07,11.42,-60.55,387.98,60.83,66.94,-4.15,2.0
2.0,1.0,-152.87,32.83,1.06,68.26,40.68,-2.58,99.99,-75.8,-110.83,-14.85,-8.92,15.67,-22.83,96.21,82.0,-289.47,-66.68,-92.62,4.61,0.0
1.0,1.0,-233.43,124.87,7.39,52.14,-2.78,2.89,63.34,-274.65,43.05,4.94,36.2,-20.36,97.72,-17.62,-46.78,49.8,-68.02,-11.29,3.74,1.0
2.0,1.0,-101.63,60.22,-0.35,56.8,22.24,3.38,53.93,209.53,-34.21,-14.91,74.92,-14.15,114.49,1.11,90.93,-402.36,-59.63,-47.99,8.91,0.0
1.0,1.0,25.89,86.28,1.69,64.03,19.79,9.21,-25.6,-18.94,-9.93,-12.52,-69.17,-39.77,-7.87,156.0,-274.9,158.56,31.73,47.01,-4.31,0.0
1.0,1.0,43.4,111.9,-2.28,-22.66,-7.15,3.47,-3.81,184.83,34.08,-13.42,22.18,-38.95,70.13,55.94,-60.43,-39.96,-10.63,-22.58,-4.4,2.0
2.0,1.0,-169.99,-21.67,8.93,203.38,42.79,-7.2,20.62,-325.13,54.51,0.47,-28.83,5.07,53.26,-94.1,34.68,-37.52,49.56,35.78,3.19,1.0
0.0,2.0,9.24,55.37,5.11,-80.86,19.03,-5.98,37.42,67.3,21.78,-1.21,-33.61,-3.03,-40.24,105.17,-18.01,177.35,4.15,-31.35,-1.79,1.0
1.0,1.0,46.38,237.7,-0.67,-36.42,-31.4,-5.52,69.57,-3.87,-43.09,19.75,69.85,7.59,-13.16,109.27,-81.96,276.0,47.76,59.95,-15.79,2.0
2.0,1.0,-110.0,-31.25,-3.23,33.67,-12.65,0.23,-97.88,-38.2,-0.53,2.12,85.14,-11.0,-62.39,20.54,170.11,-345.76,-71.81,-69.03,10.41,0.0
1.0,1.0,-63.94,-21.29,5.78,-5.6,15.23,-11.12,83.75,-192.58,-55.79,6.74,66.57,27.51,-92.73,91.65,25.66,169.18,19.75,17.57,-3.79,1.0
