cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,target
2.0,2.0,2.0,1.0,-128.92,111.54,6.39,0.46,40.36,138.98,89.99,11.39,2.54,-46.62,28.42,1.0
3.0,3.0,2.0,2.0,-2.85,198.61,36.76,153.53,22.65,-80.16,-48.89,48.22,-16.02,-51.03,7.31,0.0
3.0,3.0,2.0,3.0,85.4,14.18,-6.96,21.55,75.73,32.87,29.37,39.59,-10.39,-52.43,-38.74,0.0
2.0,3.0,2.0,3.0,50.41,-209.98,-10.99,-8.15,103.15,40.27,2.91,46.89,31.28,-39.29,-40.68,1.0
3.0,3.0,2.0,1.0,-131.9,190.85,4.85,157.74,-56.84,-20.26,-30.59,42.48,-7.94,-2.33,16.36,1.0
3.0,2.0,2.0,3.0,-203.33,154.96,11.6,-133.8,-23.32,-188.43,-95.45,17.02,12.4,-52.14,-27.67,0.0
2.0,1.0,2.0,3.0,1.29,78.42,27.72,-58.06,1.93,86.25,49.98,-8.3,-1.57,40.09,41.08,0.0
1.0,2.0,1.0,3.0,83.36,-186.21,23.88,32.49,7.58,-119.68,126.35,-23.22,-28.5,32.64,-58.32,1.0
2.0,2.0,2.0,2.0,-90.35,185.07,30.86,51.72,-8.47,112.86,82.56,18.01,0.3,-38.68,-101.24,1.0
2.0,2.0,3.0,2.0,-121.34,210.59,2.36,38.19,51.23,-121.52,-12.42,40.04,-6.91,4.84,17.84,0.0
0.0,1.0,1.0,2.0,-181.71,-5.42,-0.38,-149.52,-63.85,-47.96,186.25,-12.16,-9.93,97.11,3.15,0.0
1.0,3.0,2.0,3.0,-3.59,-258.84,-29.88,-100.45,220.87,-151.9,199.55,57.07,-13.95,38.23,22.38,1.0
1.0,1.0,1.0,2.0,-112.92,-8.79,-12.36,118.35,79.19,-42.19,57.63,-18.37,-2.23,18.58,16.05,0.0
3.0,2.0,2.0,1.0,-180.81,88.43,21.89,141.53,94.43,231.11,-21.61,13.48,-4.31,-57.22,-35.84,1.0
2.0,2.0,2.0,2.0,51.01,250.45,-79.02,-27.77,120.54,-46.23,26.36,12.24,1.69,-2.95,48.6,1.0
2.0,2.0,2.0,1.0,124.51,293.89,-87.49,3.61,49.76,13.08,-30.1,21.82,6.28,59.99,-35.77,0.0
2.0,1.0,3.0,2.0,176.72,171.42,-7.3,39.12,-65.78,44.99,-66.52,27.89,2.29,51.76,28.74,0.0
4.0,3.0,3.0,3.0,-260.84,328.72,-38.47,85.64,85.37,-209.98,-80.46,61.25,4.79,-84.85,-142.93,0.0
3.0,3.0,3.0,2.0,308.75,243.04,28.39,-162.94,69.09,-0.99,-113.6,35.4,11.5,-2.87,64.69,0.0
1.0,0.0,2.0,2.0,154.26,61.74,23.93,91.23,-53.14,91.97,4.35,-0.12,10.99,108.74,12.08,1.0
1.0,1.0,2.0,3.0,-84.74,-77.72,24.75,17.27,-3.46,17.55,125.96,25.76,-7.65,62.64,39.76,0.0
1.0,2.0,1.0,1.0,-28.1,-75.22,-39.8,30.96,-86.61,43.74,117.76,-9.51,13.22,-27.49,33.03,1.0
1.0,2.0,2.0,1.0,51.68,-93.54,-40.82,-92.99,-16.84,34.45,50.64,1.84,-3.6,65.89,23.85,1.0
2.0,2.0,2.0,2.0,-166.47,67.06,-13.01,-9.65,-69.81,-110.4,48.33,15.51,-5.13,-24.08,59.15,0.0
1.0,2.0,2.0,1.0,77.59,-95.66,-46.4,46.3,-68.36,-16.45,45.14,19.39,8.61,72.38,-46.73,1.0
2.0,3.0,2.0,2.0,-198.35,-16.19,-18.56,-148.82,-62.1,20.39,50.05,44.59,16.35,-3.78,-81.8,1.0
2.0,2.0,2.0,2.0,76.35,-142.92,-1.02,-63.44,132.66,143.07,-10.72,20.27,20.46,35.72,96.93,1.0
3.0,3.0,3.0,1.0,365.34,-4.44,-32.9,-23.83,-48.5,-147.21,79.36,79.56,2.68,7.3,-153.3,0.0
1.0,1.0,2.0,2.0,98.44,63.75,9.56,32.3,61.31,106.62,186.17,19.85,13.01,30.39,45.67,1.0
2.0,3.0,1.0,2.0,268.88,-72.0,-16.9,-8.29,-88.34,-64.44,-47.04,-7.19,-3.42,-24.45,-28.02,0.0
1.0,1.0,2.0,2.0,61.94,1.39,-37.62,19.1,47.45,13.2,130.3,27.72,16.96,96.65,114.85,0.0
3.0,4.0,3.0,1.0,351.93,229.09,-23.8,33.02,109.08,-170.0,40.96,46.47,-5.21,-39.59,112.65,0.0
3.0,3.0,2.0,2.0,-194.08,73.97,6.22,-92.62,-36.19,216.08,-95.3,11.7,19.36,-40.2,-35.98,1.0
2.0,3.0,2.0,3.0,108.27,-138.83,-3.89,-30.88,-17.65,45.84,7.8,28.14,-0.72,41.81,4.46,1.0
2.0,2.0,2.0,3.0,-56.47,125.88,18.9,-147.45,39.1,70.74,35.2,4.86,-3.45,-55.17,-54.2,1.0
2.0,1.0,2.0,2.0,-50.99,143.77,10.11,100.98,114.77,10.27,155.32,34.18,1.46,-13.34,72.01,1.0
2.0,0.0,2.0,2.0,69.29,28.77,-13.76,108.3,94.95,65.68,202.4,6.13,-20.12,-11.92,-16.54,1.0
2.0,2.0,2.0,1.0,-181.21,-44.41,-35.06,175.68,23.25,39.97,125.6,35.93,-12.68,-11.94,158.46,1.0
2.0,2.0,1.0,2.0,8.76,-53.66,6.36,-79.37,-167.84,119.55,145.6,-32.23,-30.54,-74.82,111.0,1.0
2.0,3.0,2.0,3.0,59.67,172.83,24.42,67.54,-136.58,-4.87,16.82,28.93,11.43,56.13,31.58,0.0
1.0,1.0,2.0,2.0,97.87,-66.36,-12.98,33.79,-159.0,157.62,112.01,-3.51,1.64,49.87,-5.7,1.0
2.0,3.0,2.0,3.0,-374.53,148.3,-19.09,121.41,-47.37,13.53,65.86,55.57,-5.69,19.63,30.16,1.0
2.0,3.0,2.0,1.0,167.26,83.42,45.34,10.88,-22.03,-156.66,103.59,4.74,22.73,-36.6,-22.75,0.0
3.0,3.0,3.0,2.0,324.77,167.51,-13.64,-31.73,23.64,-133.22,-40.39,53.89,-13.22,28.61,-9.34,0.0
2.0,2.0,2.0,3.0,103.57,-36.36,37.66,-48.55,-92.46,88.28,65.76,43.08,13.52,-16.01,54.75,1.0
2.0,2.0,2.0,2.0,-221.28,143.3,-33.96,-138.42,122.44,-32.48,99.63,34.3,1.04,-29.14,-122.81,0.0
3.0,2.0,2.0,1.0,-76.64,176.21,34.44,-57.66,-67.64,39.38,-25.6,20.81,13.0,-20.24,-18.14,1.0
2.0,2.0,2.0,3.0,-122.38,37.13,-31.46,180.95,46.85,124.62,109.15,17.6,-6.57,-42.47,-23.18,1.0
3.0,2.0,2.0,2.0,-107.64,310.82,40.01,116.03,42.2,-58.56,31.32,47.95,5.33,1.36,46.88,1.0
2.0,2.0,2.0,1.0,21.55,125.12,-53.12,64.57,219.5,56.52,74.11,57.95,16.5,92.49,4.03,0.0
2.0,2.0,2.0,2.0,107.42,-92.16,42.68,-53.62,-62.63,90.48,77.13,34.1,13.6,7.06,33.9,1.0
2.0,3.0,1.0,2.0,-141.55,69.36,12.31,7.71,32.16,-134.83,44.76,-2.49,-20.81,-89.91,5.64,0.0
3.0,2.0,2.0,2.0,-199.94,197.6,26.96,32.24,-72.71,194.32,-32.2,42.78,-10.87,-56.37,18.35,1.0
2.0,3.0,2.0,2.0,196.89,33.28,23.36,66.75,8.01,-146.59,51.94,45.53,-3.71,-4.97,60.85,0.0
2.0,2.0,1.0,3.0,-151.33,156.8,6.8,15.78,21.07,-59.24,-79.84,-6.68,-13.66,8.64,-28.18,0.0
2.0,1.0,3.0,3.0,187.47,112.73,-7.76,7.31,30.99,76.37,11.82,16.36,-5.35,59.27,85.49,1.0
3.0,2.0,2.0,2.0,2.6,59.42,-5.27,115.13,33.13,120.18,36.75,5.12,-1.31,-68.76,-35.44,1.0
3.0,3.0,2.0,1.0,31.6,-20.06,-84.84,-32.03,-115.44,-101.0,-25.56,10.89,-5.78,-93.68,11.25,0.0
2.0,2.0,2.0,3.0,177.94,-73.29,-19.86,22.33,56.1,-125.05,75.25,45.09,-15.78,19.53,54.18,0.0
2.0,1.0,3.0,2.0,192.4,60.88,5.45,192.85,24.42,12.35,-46.79,22.39,-4.57,57.17,4.36,0.0
3.0,2.0,2.0,2.0,-117.46,-47.12,-13.9,-5.69,-104.95,-112.2,-164.34,0.22,-4.68,-130.76,-74.54,0.0
3.0,2.0,2.0,3.0,-200.21,142.63,-36.57,3.19,104.21,-35.71,-84.78,30.13,2.72,-18.58,7.39,0.0
2.0,2.0,2.0,2.0,-230.56,64.72,-34.45,-40.9,58.66,13.19,-89.56,4.84,-3.86,-30.11,0.87,0.0
2.0,3.0,2.0,3.0,86.91,155.32,-19.33,223.95,-116.85,105.71,29.4,68.29,-3.27,101.3,26.77,0.0
3.0,2.0,3.0,1.0,-209.49,246.35,38.8,-150.85,33.28,-119.02,-101.15,46.47,10.38,-22.62,-2.08,0.0
2.0,2.0,2.0,1.0,86.07,-100.95,-56.84,-205.96,15.23,126.35,41.44,32.48,-8.28,0.76,93.15,1.0
2.0,2.0,2.0,2.0,76.91,-167.72,13.93,-64.01,8.17,151.83,-28.3,33.11,3.14,1.19,7.83,1.0
3.0,3.0,3.0,1.0,286.88,222.18,29.9,-125.79,92.31,43.32,-5.35,71.1,-9.48,49.17,22.63,0.0
3.0,3.0,2.0,2.0,-319.45,238.73,25.08,48.49,-48.37,-42.58,-8.04,67.8,-1.16,8.83,5.85,1.0
2.0,2.0,1.0,3.0,0.47,43.97,23.48,-147.72,-82.13,-58.01,49.47,-6.33,1.53,-3.08,64.11,0.0
2.0,4.0,3.0,2.0,212.71,156.8,-24.77,39.07,-26.9,-6.85,76.84,81.51,6.25,49.19,-17.19,0.0
2.0,3.0,1.0,2.0,80.34,-14.32,-39.31,11.1,-7.15,-97.86,63.93,-3.91,13.33,-69.37,-8.78,0.0
2.0,0.0,3.0,2.0,201.04,200.75,-44.84,-51.1,-75.66,12.65,-139.85,-7.93,-5.49,37.39,105.46,0.0
2.0,2.0,2.0,0.0,72.47,-221.35,-71.53,129.68,1.36,63.36,-33.14,22.8,-20.36,32.9,-51.24,1.0
1.0,3.0,1.0,2.0,54.2,-286.36,30.44,95.15,-27.25,-36.18,68.53,5.95,-2.68,0.92,-66.72,1.0
1.0,2.0,1.0,2.0,19.76,-6.85,-57.52,-152.37,-132.08,-105.03,77.15,-20.08,-13.27,10.88,-42.56,0.0
2.0,2.0,2.0,2.0,-40.21,127.96,11.56,55.58,43.55,18.39,121.78,26.15,-6.44,-4.95,-27.62,1.0
3.0,3.0,2.0,3.0,-139.48,240.12,0.83,35.68,22.02,-271.89,-121.8,33.65,5.3,-86.31,-116.98,0.0
2.0,2.0,2.0,1.0,-156.35,81.03,31.08,-104.78,50.08,-76.07,-80.69,-6.69,-15.14,-8.53,-51.44,0.0
1.0,2.0,1.0,2.0,-176.02,-4.49,-35.96,-30.77,-67.64,68.56,-16.46,-20.66,0.58,27.0,70.64,0.0
2.0,2.0,2.0,3.0,76.76,154.91,9.02,65.16,-20.87,-96.67,37.34,34.13,-12.15,44.23,2.46,0.0
1.0,2.0,1.0,3.0,-62.78,23.21,-22.63,-136.81,65.34,-61.59,78.64,-34.56,1.46,10.88,-2.51,0.0
2.0,2.0,2.0,2.0,184.33,0.64,30.69,-29.46,168.73,-87.49,133.82,27.25,3.2,7.04,-33.31,0.0
3.0,1.0,3.0,2.0,337.19,159.1,52.98,116.35,79.01,-75.22,-82.56,4.77,-23.98,-17.05,-55.77,0.0
