cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
1.0,1.0,1.0,16.99,152.65,122.58,-45.7,8.88,-20.09,34.6,29.1,-85.02,-8.92,-15.3,101.55,-49.71,-20.36,-1.12,-44.98,-6.85,-16.91,1.0
0.0,1.0,1.0,30.78,11.0,227.33,-99.44,155.14,-108.65,22.24,-91.57,-174.34,50.32,3.61,-33.96,-169.02,24.02,48.54,-10.46,-94.06,-9.12,0.0
1.0,1.0,1.0,-1.28,-8.97,-83.14,-188.57,-143.33,-2.94,-25.53,-127.91,-323.79,-22.05,-31.69,-12.83,31.42,63.01,-14.64,30.75,-50.94,22.71,1.0
1.0,0.0,1.0,29.78,67.5,104.71,-58.36,75.38,52.37,-29.55,-202.47,-254.61,75.75,-37.22,-22.98,-57.2,-35.21,18.59,18.64,145.51,-6.11,0.0
1.0,0.0,1.0,6.82,43.15,165.44,-139.8,-38.68,-49.96,-24.67,116.22,185.8,-26.94,-23.68,28.88,126.55,-128.3,8.44,-60.86,11.32,12.32,0.0
0.0,1.0,1.0,10.24,43.24,103.24,65.44,190.38,-31.58,12.02,203.63,-105.25,6.75,-5.93,66.76,-12.92,-14.29,-50.89,-29.18,63.41,-22.76,0.0
1.0,2.0,1.0,12.68,112.64,95.69,135.92,186.1,-34.82,-1.46,144.19,-156.81,60.15,27.24,-18.35,-125.05,-45.25,7.5,10.12,24.16,4.84,1.0
1.0,1.0,1.0,20.48,-30.46,-22.49,-147.6,-47.45,-35.67,-7.0,21.89,-337.48,-58.79,28.61,33.37,-24.57,-69.27,-17.27,-50.88,6.03,23.04,1.0
1.0,0.0,1.0,-3.62,29.13,57.67,-53.6,-65.5,-100.69,-52.23,117.65,237.65,-3.39,27.97,33.05,-13.85,-2.82,27.79,116.93,3.71,28.4,0.0
0.0,1.0,1.0,-7.77,91.01,69.67,-37.41,82.32,15.81,31.34,48.89,-108.84,-58.83,73.0,-26.92,17.34,-68.17,9.13,-31.43,-15.92,2.62,0.0
0.0,0.0,1.0,8.61,-41.24,74.6,-72.03,48.37,75.39,-43.98,-24.01,-47.34,-117.94,39.4,-88.35,-10.39,86.1,6.53,55.19,-16.89,-8.79,0.0
1.0,0.0,2.0,11.12,-198.41,24.58,30.73,63.45,73.15,9.97,-456.68,47.27,18.07,25.7,-7.53,148.03,-41.99,-16.51,29.99,4.92,1.66,1.0
1.0,1.0,1.0,13.76,25.9,117.66,6.11,51.92,-50.77,-9.28,-16.49,-26.38,-0.14,35.22,12.46,25.79,15.52,-36.64,-37.89,-39.0,-6.04,1.0
0.0,1.0,1.0,11.41,84.1,138.03,-60.17,155.15,-57.34,16.85,-243.62,-277.24,-14.84,-5.66,-100.25,-180.96,-19.22,-32.72,79.29,9.6,11.13,0.0
1.0,0.0,1.0,1.28,132.18,12.54,-112.98,-143.7,-23.66,0.54,102.54,46.14,18.37,29.91,81.39,89.62,-72.89,-17.97,2.94,-34.11,2.23,1.0
1.0,1.0,1.0,33.19,-227.23,185.61,-125.25,145.65,40.4,59.9,-190.03,-212.32,138.47,-58.28,13.08,-6.45,43.54,-31.01,-6.22,23.9,0.48,1.0
0.0,1.0,0.0,7.41,46.08,118.08,258.23,304.03,34.62,68.73,4.14,21.62,77.74,10.59,-61.79,36.91,54.63,-27.74,74.88,-6.57,-39.85,0.0
1.0,1.0,1.0,-2.16,147.51,-47.9,-74.14,-93.85,52.03,-3.36,93.78,-124.02,-60.24,44.67,27.15,36.92,-42.21,-29.7,-87.52,-68.44,9.31,1.0
0.0,0.0,1.0,7.19,-13.06,209.4,-127.16,88.35,84.66,-60.48,49.84,57.15,14.54,-27.89,-77.74,-106.33,-42.06,-15.24,-141.8,-5.11,20.86,0.0
1.0,0.0,1.0,10.05,73.79,-28.77,-81.85,-81.66,4.94,-15.75,-81.07,-147.68,-21.44,-55.43,14.45,-33.41,37.59,-45.38,16.21,50.3,-23.77,1.0
1.0,1.0,1.0,8.74,13.17,-65.78,-16.65,27.43,1.5,37.69,-88.96,-338.37,129.2,-86.05,-35.78,-14.88,81.08,11.72,-14.96,-57.9,4.71,1.0
0.0,1.0,1.0,-10.83,143.21,-42.36,134.86,112.0,-15.84,-62.03,271.03,-57.26,-16.75,-50.02,166.29,32.94,68.01,-25.14,-35.09,23.04,-4.94,0.0
1.0,1.0,1.0,-10.5,6.93,156.5,175.0,205.09,-36.22,12.56,244.91,294.52,79.68,37.28,61.53,38.03,12.35,13.84,52.74,129.65,-11.55,0.0
0.0,1.0,1.0,6.66,109.36,-48.27,98.58,222.03,56.05,-4.37,-97.65,-493.79,9.48,-38.2,54.73,5.49,44.07,18.52,-3.03,75.96,-5.55,0.0
1.0,1.0,1.0,-15.38,-2.8,96.55,184.15,145.56,11.22,-9.86,112.38,327.72,78.04,-13.0,115.05,-50.85,82.2,-25.95,71.26,-25.35,12.03,0.0
