cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
1.0,0.0,1.0,-10.32,-93.26,54.39,53.31,8.69,-1.46,35.17,-2.79,-42.91,-32.98,-66.03,16.78,49.54,15.86,-33.09,-127.0,-28.43,188.58,-17.58,-36.13,45.63,0.43,50.7,0.0
1.0,0.0,2.0,-37.15,-18.66,11.34,-11.32,25.0,-2.07,183.54,3.3,-16.03,85.36,4.4,15.54,121.01,6.11,-23.3,-50.91,7.87,86.81,6.46,4.7,93.85,1.64,-127.88,1.0
0.0,1.0,2.0,49.71,-348.38,-47.31,-18.43,-16.04,24.49,3.32,-16.59,-1.67,32.41,53.75,3.59,246.31,4.67,110.55,272.73,-13.32,-10.95,-89.26,1.82,-108.31,4.1,251.23,1.0
0.0,0.0,2.0,-9.94,-176.5,85.07,7.38,108.48,-4.01,-75.69,15.67,12.26,15.71,37.4,-4.33,282.84,39.7,-79.79,134.03,33.01,96.18,62.18,9.51,78.37,-10.17,92.98,1.0
1.0,0.0,1.0,13.86,-129.87,-45.45,-10.02,-62.57,-25.04,96.18,2.45,53.53,10.8,73.57,-0.17,283.6,9.44,146.71,149.58,46.31,-52.44,-71.59,-20.72,115.99,-7.01,-126.04,1.0
0.0,0.0,2.0,-15.44,-37.03,13.35,-10.01,21.01,-10.04,-76.86,17.9,28.68,-7.84,3.18,-11.15,-186.72,9.93,8.39,81.18,-212.66,49.42,-46.05,-17.23,-204.66,9.38,79.47,1.0
0.0,1.0,1.0,-41.81,-3.86,41.9,40.83,37.86,10.32,68.72,-10.3,130.97,18.93,17.89,4.92,167.21,-4.08,-2.22,-55.81,-75.37,56.52,-8.88,-32.64,-102.75,2.65,46.93,1.0
1.0,1.0,1.0,-61.89,133.06,-59.18,149.44,-10.6,-4.43,47.06,0.56,9.84,16.0,61.54,-7.96,648.63,-8.37,-8.8,-67.32,81.11,79.12,24.74,3.33,-53.75,-19.4,-52.72,0.0
1.0,1.0,1.0,-29.03,142.57,-4.19,16.6,-63.79,8.79,22.06,13.36,129.84,81.22,-18.29,4.01,4.46,-23.59,13.78,-50.72,-16.97,40.09,0.15,5.94,-54.04,4.22,-56.21,1.0
0.0,2.0,1.0,-20.11,87.57,173.97,11.26,-74.71,11.06,-58.65,-13.49,6.81,-36.9,65.25,11.46,234.32,-30.29,-22.35,17.13,69.25,-100.39,-72.52,7.22,148.75,1.54,-42.09,0.0
1.0,1.0,0.0,-23.91,-137.24,-5.25,98.81,102.67,21.66,-133.58,-17.89,-46.99,20.67,-201.27,-1.26,581.06,-2.4,50.03,-51.46,252.8,-89.44,67.59,-4.2,-123.31,1.2,43.03,0.0
1.0,0.0,1.0,-23.57,-148.44,-83.02,-25.77,-43.94,-12.09,134.58,-0.61,-59.85,76.28,-24.62,-7.37,-102.11,27.08,-116.12,-215.12,-48.52,97.86,-7.34,-22.61,-22.67,4.28,-80.46,0.0
1.0,1.0,1.0,-10.41,35.46,-103.69,131.95,-71.32,-9.0,154.25,-0.75,45.5,32.53,-114.53,5.92,86.59,4.99,-93.32,139.1,-102.64,-116.15,13.26,-15.83,10.55,-9.5,67.5,1.0
2.0,0.0,1.0,2.8,-189.96,-14.3,31.07,45.76,4.98,143.69,-2.11,71.3,12.33,35.05,-8.87,171.02,23.5,-29.95,-176.77,22.64,40.01,57.54,-16.68,-160.53,-7.57,-17.01,0.0
1.0,0.0,1.0,-43.1,16.49,-58.9,45.0,-79.99,14.38,1.18,9.39,-110.53,24.73,-114.63,2.05,-38.81,20.12,-153.27,-81.69,-52.84,-108.14,-20.63,-11.04,96.31,4.39,-9.91,0.0
1.0,1.0,1.0,-38.25,-136.87,86.78,40.52,-4.78,-2.37,128.48,-4.56,-61.47,83.83,-136.29,2.42,426.76,-28.79,75.4,-101.17,135.48,-16.19,-44.01,4.74,-179.08,8.07,154.84,0.0
1.0,1.0,1.0,-22.0,-69.5,6.4,29.96,-53.03,-4.82,-20.19,5.12,-78.06,35.8,-75.33,-10.68,135.08,-7.13,3.31,-139.04,35.52,-15.78,-69.66,11.15,-30.01,-11.57,-2.81,0.0
1.0,0.0,2.0,-46.48,-61.3,27.52,-10.62,-82.6,1.8,150.39,-9.43,46.4,50.42,-64.74,-7.77,-39.03,22.23,-86.14,-282.29,-2.65,-66.72,-10.3,-10.27,80.27,3.09,24.88,0.0
1.0,1.0,1.0,-7.72,103.77,-19.29,-10.47,18.11,-17.84,17.61,-7.99,-106.75,-6.02,-114.96,-12.0,-244.84,-13.92,23.68,-21.08,-41.55,-119.43,-0.2,-13.27,81.4,-9.46,-158.96,1.0
1.0,0.0,2.0,-54.73,-131.79,97.83,105.67,-20.93,4.24,13.13,11.79,11.1,4.97,-83.62,-7.95,23.36,9.21,-124.46,-54.36,-288.17,-73.66,-8.34,11.74,-68.39,4.43,21.28,0.0
1.0,0.0,1.0,-20.56,-397.49,-63.4,103.5,-36.17,3.49,49.46,17.66,-22.99,21.72,-4.84,0.38,142.52,33.49,-178.71,-94.52,-270.76,-109.33,-113.98,-4.48,-17.5,-9.9,-19.78,0.0
1.0,0.0,1.0,-23.96,-74.53,110.94,28.32,94.13,7.63,-1.31,-6.19,105.55,-40.27,-10.24,-12.01,38.94,18.23,-95.3,-103.0,-55.9,-86.98,-2.67,-19.05,-72.21,-10.92,141.45,0.0
1.0,1.0,1.0,-40.48,-159.97,-30.0,-2.17,-170.97,5.14,29.48,-32.12,34.97,20.25,-79.43,-21.94,401.45,-28.99,62.77,-54.03,112.43,-97.5,-66.18,3.23,24.78,-5.73,75.91,0.0
1.0,1.0,1.0,-28.16,-285.04,52.9,21.04,28.6,10.52,-171.07,-11.22,-52.57,43.46,-37.21,17.98,475.23,-27.66,254.52,-142.57,34.13,141.06,-8.43,28.08,11.61,6.62,4.72,0.0
2.0,1.0,0.0,-16.92,14.31,48.99,-0.34,49.32,-21.55,-75.54,6.09,-34.26,26.62,-86.79,-33.12,11.14,-9.67,20.27,-106.56,55.67,150.24,35.64,-37.01,-0.18,1.36,-89.56,1.0
1.0,1.0,1.0,-14.18,-25.88,85.03,3.83,61.66,14.72,-11.68,12.1,-25.32,21.82,-43.77,-11.02,-42.84,-5.86,65.76,-194.51,-19.39,-137.3,-170.55,24.17,-71.05,-2.42,87.22,0.0
1.0,0.0,1.0,-16.71,-165.35,-24.13,-2.75,-49.18,-11.43,-122.24,2.76,-12.51,-5.53,-11.05,-8.33,-104.85,12.56,-24.23,-187.21,-135.73,56.07,8.53,-17.61,-53.96,-2.92,-173.92,0.0
1.0,1.0,2.0,14.0,-192.62,6.41,-21.14,-150.59,14.75,41.74,-12.59,-50.62,-8.01,133.01,-4.66,146.52,-0.07,-39.91,4.54,-27.08,119.7,53.51,16.73,-69.54,11.8,-84.65,1.0
1.0,0.0,0.0,-11.31,10.09,44.27,4.81,-80.44,9.58,70.32,-16.47,48.24,5.36,-79.63,-6.62,-172.42,13.22,-65.59,-57.28,-52.75,119.38,-28.32,-9.54,29.61,2.33,141.3,0.0
1.0,1.0,1.0,-14.31,-122.76,-34.83,64.51,21.83,-10.88,-114.42,-7.95,76.51,-19.34,-86.43,-15.45,489.13,2.62,35.31,-88.28,215.03,-104.83,40.51,25.66,15.01,13.64,-34.28,0.0
2.0,0.0,1.0,59.06,-141.34,-32.11,-48.76,-94.44,22.01,-67.43,0.3,-17.47,-26.74,64.43,-9.43,-238.92,22.13,38.82,93.88,-71.72,123.89,-41.45,-16.86,-36.28,8.38,19.63,1.0
1.0,1.0,1.0,60.92,-177.8,-4.75,-39.53,47.41,-14.19,129.42,-8.98,-109.13,26.92,121.7,12.96,-57.35,5.28,102.35,144.77,-64.43,-110.29,-40.32,11.58,82.57,0.63,68.85,1.0
1.0,1.0,1.0,25.31,-285.73,100.03,-41.04,22.83,-3.29,46.94,16.88,-111.83,17.69,94.89,1.39,131.98,-17.61,132.0,254.28,-142.6,116.74,-30.82,5.29,-0.22,-7.38,103.71,0.0
1.0,2.0,2.0,11.72,257.77,7.91,-85.13,240.24,6.09,60.62,-5.31,-27.91,38.99,-87.78,18.04,-710.43,-4.3,-222.9,68.71,-75.8,215.35,-51.79,-34.81,30.27,1.36,-61.77,1.0
0.0,1.0,0.0,-41.42,220.06,-48.74,-24.79,-39.9,-11.0,-16.84,32.61,49.37,35.79,19.89,18.35,-60.66,-16.3,-19.54,41.21,-29.12,14.91,-75.71,19.31,120.47,-4.68,-17.13,1.0
1.0,0.0,2.0,5.4,83.41,15.73,-94.25,-138.62,-3.4,-74.3,2.01,-78.56,-10.76,-25.89,4.35,-626.02,5.85,34.3,-47.43,-194.3,82.47,-61.35,36.84,74.21,1.34,-13.89,1.0
1.0,0.0,1.0,52.56,-204.29,53.99,10.9,16.37,-28.33,52.33,-8.97,-3.1,-7.51,80.74,6.69,194.6,21.6,72.12,183.24,30.48,49.35,27.64,-22.6,-98.85,7.37,167.93,1.0
1.0,1.0,1.0,39.22,-157.64,-65.65,-25.89,-44.11,-1.56,7.31,-3.36,-23.87,-53.04,45.61,-14.04,21.0,-9.03,165.37,163.81,-60.86,-103.47,-82.65,49.41,-3.61,5.89,-177.2,1.0
1.0,2.0,1.0,9.55,56.98,-8.94,-39.01,-23.79,9.31,79.27,-12.36,141.07,-48.53,-114.32,-8.22,-829.67,-14.09,-184.41,-159.7,-292.26,-10.73,48.96,-1.07,23.96,-2.58,20.3,1.0
0.0,1.0,1.0,-46.61,-250.66,123.48,-26.77,23.48,3.39,45.19,-14.44,-122.77,-34.67,16.68,9.78,362.72,-20.19,52.8,-215.99,42.62,194.48,21.92,-2.98,-87.51,-15.51,37.09,0.0
1.0,0.0,1.0,-25.44,-114.67,-38.94,-25.76,-186.06,-22.97,-37.44,12.94,16.66,4.82,-64.54,-12.43,-254.04,11.95,-37.34,-200.34,-151.48,-63.58,-88.89,4.61,-85.93,-5.57,-87.86,0.0
1.0,1.0,1.0,11.98,-151.09,-27.09,-31.72,-111.48,-10.24,127.28,5.94,-13.94,-78.17,78.69,6.51,128.5,-11.23,92.51,181.35,-65.33,-6.26,-23.66,10.04,-168.19,-4.41,75.8,1.0
1.0,0.0,1.0,-9.6,-149.27,-2.15,34.63,61.11,-2.42,-117.58,-4.35,-38.51,-73.64,-77.08,9.95,167.2,6.76,73.1,-145.78,35.7,-11.06,105.7,-33.37,25.1,-16.62,-3.51,0.0
1.0,1.0,1.0,42.38,-244.31,-15.2,-5.77,158.97,-30.36,18.65,-12.18,48.05,67.83,100.11,-5.88,222.95,2.59,110.55,202.48,-23.35,146.6,14.37,31.46,21.77,-11.66,39.84,1.0
0.0,1.0,1.0,-4.83,135.58,124.61,46.92,58.97,2.1,43.77,22.58,-43.31,0.11,-139.37,2.39,-251.92,-20.67,15.56,-67.33,-85.19,-118.03,9.93,10.78,0.73,-9.29,14.04,0.0
0.0,1.0,1.0,-23.47,105.07,-50.64,-32.66,-72.35,-19.44,51.63,-19.51,-114.22,21.43,12.43,9.02,-450.88,-10.67,-121.48,-38.59,-251.14,53.87,-10.19,8.25,-29.5,4.94,-25.47,1.0
1.0,0.0,1.0,-61.03,-48.34,5.39,-22.0,123.31,10.78,-12.89,-12.89,20.52,-37.97,-171.24,-14.29,-381.69,8.89,-95.47,-236.22,-210.75,151.32,-23.52,5.36,-50.92,4.17,153.38,0.0
0.0,0.0,1.0,-6.3,-242.02,-6.2,25.47,27.98,-31.73,-38.97,6.94,83.96,79.59,-24.42,25.49,-183.2,-2.5,26.29,-121.0,-294.66,-5.92,-16.73,-3.51,-33.3,3.26,-0.13,0.0
1.0,1.0,2.0,-24.94,-104.67,41.82,70.8,41.82,13.98,72.66,-17.47,51.41,18.58,-165.67,-15.24,421.79,-21.13,99.49,-63.75,150.22,116.17,-4.42,12.83,-59.42,-7.28,62.29,0.0
0.0,1.0,1.0,10.16,103.82,14.95,-11.97,15.04,-26.48,-105.78,9.8,-107.53,-14.6,-74.03,5.36,-590.17,-8.94,-121.05,5.09,-233.28,39.89,-31.03,7.79,-44.11,4.67,-81.77,1.0
1.0,1.0,2.0,25.12,-121.66,70.82,-63.97,-23.56,28.53,-0.37,-18.55,-117.07,-25.86,89.13,2.61,-242.82,-24.58,93.49,61.39,-200.38,-97.31,-39.89,-6.01,87.93,7.69,-171.5,1.0
2.0,1.0,1.0,-27.35,161.04,-1.5,-9.88,-177.6,3.01,-28.79,10.31,41.34,-16.6,42.56,-14.24,-176.69,-8.35,-146.51,9.2,-98.78,48.57,-6.18,40.06,-10.87,8.7,-17.44,1.0
1.0,1.0,2.0,41.04,44.25,10.83,-98.26,87.88,-21.45,-14.3,-1.32,-31.19,30.25,78.56,7.15,-335.74,-1.2,107.41,-12.82,-9.54,-193.8,-19.1,5.2,39.18,2.21,11.05,1.0
1.0,0.0,1.0,75.93,27.09,-133.47,-101.83,141.1,-23.51,120.57,-16.58,-42.04,24.42,11.65,-2.67,-583.23,8.87,141.57,22.02,-49.08,-128.83,47.47,-0.03,20.7,21.65,12.1,1.0
1.0,0.0,2.0,-23.28,-76.59,75.09,26.07,31.82,-20.88,-137.62,-20.89,-35.01,-89.04,-88.19,13.53,-168.51,35.44,-241.54,15.22,-129.25,-89.28,-9.66,12.15,218.68,4.91,-92.65,0.0
0.0,1.0,1.0,-30.47,-79.64,91.63,30.23,-102.49,-18.16,59.63,20.64,56.71,15.04,-22.3,3.46,54.33,1.41,-1.56,-189.66,-70.94,-68.68,-137.04,37.56,32.19,12.34,-69.81,1.0
1.0,1.0,2.0,48.24,-270.53,-79.61,-17.09,20.55,6.83,-204.3,-12.93,40.34,-25.33,120.76,15.0,25.07,-8.59,109.29,155.16,-154.8,-80.04,34.19,-6.08,-102.42,3.13,117.95,1.0
1.0,1.0,1.0,-22.81,99.01,-33.21,-26.23,-18.89,0.04,23.35,10.41,-2.07,-26.08,-34.26,27.79,-145.36,1.05,-100.0,7.61,-17.73,52.15,6.36,15.83,-51.8,1.47,10.44,1.0
1.0,1.0,2.0,39.46,4.4,-105.93,-140.05,97.46,-5.92,-78.82,13.93,-3.19,-8.28,11.49,0.06,-628.65,-7.37,86.97,-26.71,-123.76,54.89,-13.63,-28.03,36.07,0.73,-120.87,1.0
