cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
1.0,1.0,2.0,2.0,-2.58,87.36,-40.08,81.11,-71.35,1.75,57.69,29.13,2.37,-50.53,-6.27,23.25,-235.28,65.36,-172.89,-3.44,-203.64,0.0
1.0,1.0,2.0,1.0,3.55,152.57,-64.19,31.42,158.8,-35.18,148.41,-106.87,-13.04,-68.54,-1.49,45.46,242.68,64.82,73.8,10.26,-26.6,0.0
0.0,1.0,1.0,1.0,2.22,-6.47,49.73,93.72,-149.56,94.55,14.0,44.05,-5.13,23.26,-4.71,-17.36,-149.08,263.29,40.97,5.97,-94.18,0.0
0.0,1.0,2.0,1.0,6.68,-75.41,98.95,137.55,-104.77,-8.25,-116.73,-19.3,19.4,-60.32,-12.9,39.88,-101.83,-149.16,30.85,89.77,118.62,1.0
1.0,0.0,1.0,0.0,1.49,-16.03,65.3,-135.31,-90.41,95.73,-55.81,21.14,-7.54,-33.17,-8.39,-2.81,19.95,-159.95,110.51,21.94,136.97,1.0
2.0,1.0,1.0,1.0,9.14,-58.16,-59.45,-66.63,102.83,-12.48,253.4,33.3,-4.69,100.65,-4.67,10.32,-345.6,198.28,394.71,142.05,118.37,2.0
1.0,1.0,1.0,0.0,4.3,92.21,-242.01,102.79,-202.93,148.15,23.48,24.25,-24.82,-7.27,-7.92,-16.46,-415.99,-103.88,-277.21,-188.48,-252.32,0.0
1.0,1.0,0.0,0.0,3.29,246.93,25.75,15.27,-264.65,33.88,-53.15,60.0,17.44,-191.74,-3.11,-17.04,-4.46,9.05,68.42,202.41,-41.43,0.0
1.0,2.0,1.0,1.0,-2.65,148.86,78.06,-45.85,-334.8,-17.88,-57.83,50.7,-15.73,-48.14,-5.06,26.76,91.73,17.52,-108.83,96.06,142.33,1.0
0.0,1.0,1.0,2.0,3.88,107.79,-5.78,-34.53,186.28,35.45,-11.59,-22.14,17.21,-23.83,13.44,-59.07,111.5,-326.24,-51.31,-13.17,-146.0,2.0
0.0,1.0,1.0,1.0,1.19,-50.92,9.06,-55.0,-259.4,83.42,69.72,80.43,3.06,-30.58,-13.2,-12.87,-193.08,144.34,-68.36,-85.8,138.49,0.0
0.0,1.0,2.0,1.0,0.85,101.06,-183.15,153.81,133.6,-95.63,56.03,-76.69,6.12,34.9,2.97,-38.26,129.98,-98.94,94.44,37.94,49.25,0.0
1.0,1.0,0.0,1.0,-2.71,-83.03,-35.29,-0.15,299.83,17.9,44.2,-34.87,3.56,118.86,14.08,-59.87,52.83,-247.59,-40.05,-135.68,-55.21,0.0
1.0,1.0,1.0,1.0,5.55,33.77,-26.7,-43.24,70.07,-86.45,7.63,25.63,-26.73,48.98,30.39,76.74,142.88,56.66,-26.54,15.67,-7.58,2.0
1.0,1.0,1.0,0.0,0.55,-72.03,65.57,101.78,-140.02,44.38,-132.26,-7.31,-7.98,-21.24,16.56,23.17,-184.48,-25.72,-162.89,-30.7,-105.52,2.0
2.0,1.0,1.0,1.0,2.04,-91.0,50.31,82.59,99.41,-14.94,44.99,-55.36,-1.82,94.74,5.67,-213.74,-61.75,-166.54,-72.56,-55.89,73.53,2.0
1.0,1.0,0.0,1.0,-2.69,4.28,82.71,-175.9,-57.82,-13.4,-202.62,-135.25,-3.15,10.41,18.27,62.0,45.4,-61.23,-88.21,62.67,-134.14,2.0
1.0,1.0,1.0,1.0,-8.91,18.58,-6.41,-79.54,-216.72,45.74,13.18,-39.02,2.72,-37.2,-2.8,53.26,93.87,-4.59,-175.05,-131.02,172.83,0.0
1.0,1.0,2.0,1.0,-0.86,-3.1,-67.88,210.9,252.47,66.12,52.42,-95.24,-5.95,-50.52,2.18,-14.38,180.3,-75.95,-39.52,-173.5,-142.78,0.0
1.0,0.0,0.0,2.0,-2.98,-10.47,-173.36,-8.48,-1.46,-20.46,-28.74,24.46,12.5,-48.39,2.82,4.78,-212.42,33.75,-20.35,-19.0,-139.9,0.0
1.0,1.0,1.0,1.0,2.24,-33.35,2.67,6.22,-102.0,6.71,-192.78,-17.0,24.64,70.04,-6.44,-6.52,-72.81,8.59,109.08,110.65,-55.22,0.0
2.0,0.0,1.0,1.0,0.69,-156.67,-27.35,-52.34,-87.65,-91.79,-96.11,67.66,-10.17,84.82,9.17,14.33,-38.26,399.49,52.98,18.22,19.05,2.0
1.0,2.0,1.0,0.0,7.73,-95.81,-10.37,40.81,93.04,-5.67,7.99,-40.79,8.51,122.99,-1.92,6.78,-95.37,58.84,46.93,-19.68,-46.3,2.0
1.0,1.0,0.0,1.0,-2.18,83.81,52.2,108.81,33.69,-13.92,70.48,27.43,-14.23,51.93,-12.61,76.38,-105.62,217.23,28.07,102.58,-214.48,0.0
1.0,1.0,1.0,0.0,0.02,-74.79,72.04,97.89,-57.14,31.77,21.61,113.41,-4.4,20.67,-3.24,100.83,-164.06,-80.28,-12.42,-2.15,92.05,1.0
1.0,1.0,1.0,0.0,7.46,79.46,25.02,-5.83,-97.99,-49.09,7.7,8.78,-5.25,-84.78,-1.02,39.21,-111.58,-64.97,50.57,154.03,61.6,0.0
1.0,1.0,1.0,1.0,3.89,70.22,44.75,-13.11,0.61,59.43,-0.14,-50.84,3.37,-261.81,-4.83,45.47,25.03,-100.32,-28.93,2.63,-69.14,2.0
1.0,0.0,1.0,0.0,4.23,97.18,-223.05,-23.83,249.31,-114.98,129.24,-95.69,-4.21,30.54,-2.39,-23.89,138.18,46.39,-156.66,-122.28,-174.68,0.0
1.0,1.0,1.0,1.0,4.58,78.12,-80.36,-63.0,-307.56,123.52,-48.83,163.58,12.38,173.86,-0.84,19.38,-208.13,19.86,-217.17,-104.41,-113.68,1.0
1.0,1.0,1.0,1.0,6.8,5.15,-110.65,58.31,-93.01,8.28,-65.79,-36.07,-19.66,152.18,-5.06,-3.84,-169.84,47.61,-52.5,-12.97,-119.02,1.0
0.0,1.0,0.0,2.0,0.35,-7.02,238.96,-53.07,-261.22,135.16,-152.87,-80.63,9.75,70.27,-4.58,-71.42,248.19,387.79,-66.48,-38.21,-88.3,2.0
2.0,1.0,0.0,1.0,3.94,-140.18,-55.39,-209.49,292.8,-189.36,28.34,110.84,-2.28,138.99,5.78,73.89,178.5,17.96,-166.4,-122.45,15.24,2.0
1.0,1.0,1.0,1.0,2.87,80.16,-44.74,5.06,-390.55,-19.19,-97.65,6.22,-35.3,-72.84,-9.45,-29.25,-588.91,-164.08,164.22,325.39,99.03,1.0
1.0,1.0,1.0,1.0,-3.82,-43.66,46.05,8.01,-70.76,-21.27,-102.59,-127.4,18.57,30.86,2.15,19.98,-38.4,31.89,-64.99,22.39,-38.62,2.0
1.0,1.0,1.0,0.0,-0.51,-50.33,7.26,29.09,259.78,81.01,-78.51,47.95,-0.55,12.68,-4.06,46.7,8.37,1.87,-83.31,-115.31,-412.06,0.0
1.0,1.0,0.0,1.0,-0.14,113.79,-3.17,-53.83,-27.13,21.85,-24.79,5.07,6.73,-41.21,13.22,4.88,253.61,-28.45,-2.51,-5.3,14.83,0.0
