cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
2.0,3.0,2.0,-3.18,-169.0,45.33,-6.6,-12.12,-79.17,-68.87,-21.98,-9.13,-86.4,120.52,-180.37,129.62,-3.75,28.15,4.13,-174.64,69.7,51.99,159.0,6.79,2.0
1.0,2.0,2.0,-151.55,85.87,45.21,-39.11,-64.03,30.78,-105.87,-0.48,13.88,-38.64,-2.53,147.64,60.47,0.12,20.1,3.09,-38.58,9.94,-66.52,-196.5,-129.61,0.0
2.0,2.0,2.0,86.85,87.3,-99.16,49.87,-65.33,71.12,-136.35,-11.67,-1.85,-146.91,-73.24,73.93,5.28,-6.47,24.06,0.54,-61.4,-64.92,-75.82,-138.2,-28.36,2.0
3.0,2.0,2.0,41.57,125.36,-8.97,-101.55,-108.13,-56.43,-27.31,10.65,15.45,-18.28,69.75,-178.24,13.95,4.83,-46.21,0.82,-0.32,-13.6,16.2,-114.41,-96.5,0.0
3.0,1.0,2.0,-25.49,182.88,10.49,31.28,-156.45,-74.92,73.66,-66.91,4.93,-70.15,-21.49,35.91,-59.59,6.41,8.77,-0.14,-88.14,-35.11,-27.17,12.09,70.47,0.0
1.0,2.0,2.0,153.17,-129.4,-26.91,-4.4,117.93,12.07,0.19,3.65,-7.54,101.34,28.65,13.71,12.17,17.09,74.26,4.23,10.77,-39.9,-22.72,-25.07,61.3,2.0
2.0,2.0,2.0,56.11,121.6,-41.34,80.6,-65.16,-81.86,-39.31,15.03,10.27,-94.0,-46.49,-185.44,23.26,-5.15,-20.38,-1.48,142.3,-43.55,23.38,-40.28,-72.61,1.0
2.0,4.0,3.0,38.46,56.3,-14.88,73.16,-84.08,-58.92,100.91,0.39,12.69,9.72,-96.09,-189.6,-28.49,-21.23,60.01,-0.73,46.02,20.61,18.98,177.96,-101.39,1.0
1.0,3.0,2.0,120.34,-3.49,-69.92,57.87,122.46,106.56,8.76,-34.27,13.04,-43.52,7.03,142.81,57.25,-0.36,-70.05,-4.15,16.33,46.24,-38.86,-169.18,-48.37,2.0
2.0,2.0,1.0,121.6,-105.01,53.42,48.26,50.5,-158.8,-22.25,40.72,1.15,-51.83,78.2,44.79,33.28,15.42,40.54,-5.89,-33.56,39.32,20.1,214.03,119.01,0.0
2.0,3.0,2.0,-160.89,27.49,52.17,-83.27,-130.6,94.6,-23.49,37.09,6.75,-66.39,-15.78,10.33,42.08,13.39,35.72,0.49,37.16,-9.81,-27.22,40.92,-142.62,1.0
2.0,3.0,2.0,-199.6,97.45,-15.29,-132.58,-13.89,-32.87,-1.13,-66.46,4.56,44.33,-16.79,-19.95,-41.03,0.48,-100.28,2.54,31.76,-4.81,10.8,-148.47,-30.95,0.0
2.0,3.0,3.0,257.0,27.55,-82.69,42.19,-121.61,-72.93,67.98,27.8,1.38,-16.06,-43.24,87.85,12.4,-1.38,-13.41,7.41,-7.02,10.62,-40.22,50.25,-65.68,1.0
1.0,3.0,2.0,-8.72,43.53,-50.71,32.71,38.56,-23.04,-72.06,13.3,12.46,1.48,14.66,-308.11,-96.36,-1.3,10.52,-2.19,-93.53,6.63,-24.55,-103.98,-15.29,1.0
2.0,2.0,2.0,-200.79,33.85,-33.79,-85.02,-26.14,-8.87,15.75,9.32,-2.02,18.5,-174.52,90.63,-88.58,6.55,-14.47,-0.33,6.53,-13.4,27.46,248.98,4.28,0.0
2.0,3.0,2.0,126.73,40.09,-37.32,60.92,-45.41,37.04,6.42,16.01,6.97,-3.81,23.26,4.93,81.87,6.96,-77.44,-0.26,6.97,-24.45,20.07,-96.16,-125.09,2.0
1.0,2.0,2.0,-53.05,-140.56,69.22,-90.76,-72.22,70.4,44.15,-18.0,-10.76,-55.48,65.61,21.64,-30.26,-5.95,-99.8,0.52,-81.75,34.71,-23.02,-14.44,-131.17,2.0
1.0,2.0,2.0,43.49,-28.13,61.87,-7.41,67.18,-4.37,16.58,69.59,7.29,73.66,55.56,13.87,32.88,4.44,-30.34,2.06,71.05,-27.61,-9.2,-89.34,-15.57,2.0
2.0,3.0,2.0,-106.08,112.49,-43.01,-50.02,-22.13,14.77,-87.54,36.95,3.82,58.17,-77.42,58.75,60.23,21.62,-29.96,2.44,-102.69,-21.58,0.67,-116.45,-56.04,2.0
2.0,2.0,1.0,155.79,-111.13,-109.2,-8.88,-59.74,66.06,31.1,56.24,-8.0,55.65,73.54,-24.27,65.6,16.57,78.8,1.16,-20.81,-11.06,-16.77,-66.71,-151.21,2.0
1.0,2.0,2.0,94.68,-113.26,-14.76,-2.5,91.68,-33.6,-41.1,-11.22,-2.12,2.6,-2.58,65.11,-35.16,-28.1,-29.12,-0.52,65.19,33.71,45.39,65.36,-42.15,0.0
1.0,2.0,2.0,60.57,-116.53,27.3,18.31,-48.96,61.29,-15.96,17.59,-7.72,30.82,-2.15,-28.07,-30.15,-16.35,55.94,3.71,59.67,-11.0,10.13,-16.16,-198.61,0.0
2.0,3.0,2.0,-247.82,191.64,-92.61,-2.82,-39.4,3.94,-59.19,-11.48,16.07,11.94,14.85,-44.03,96.8,8.86,-9.07,-2.37,2.39,-6.86,-38.01,-289.44,-32.82,0.0
2.0,3.0,2.0,-450.06,33.61,26.64,26.62,-158.26,0.6,-11.64,-5.39,-6.88,82.37,75.41,-141.35,5.32,-7.66,11.22,0.16,107.97,18.46,-41.05,142.67,147.09,2.0
2.0,3.0,2.0,190.49,-56.85,71.05,169.59,-61.6,-68.9,-53.48,36.27,-7.17,22.65,-31.85,200.78,-16.0,-0.64,-33.66,-1.21,39.94,-45.91,72.82,46.05,-180.32,1.0
2.0,3.0,3.0,127.13,164.2,10.72,-14.74,-48.66,-50.73,-58.79,-8.96,17.6,-87.93,-97.96,-97.57,-117.97,-5.51,-79.76,0.43,66.34,-10.12,19.22,56.8,-29.64,1.0
1.0,4.0,1.0,275.1,-129.58,9.61,-51.69,-3.85,-18.76,-60.37,6.5,-8.57,49.18,-61.03,-23.7,-20.03,13.37,11.82,-2.86,54.15,11.24,-21.16,-58.73,-208.99,1.0
3.0,3.0,2.0,-113.74,68.5,-80.16,-102.37,-87.32,-73.94,-26.06,14.78,10.97,-60.74,36.12,15.95,-19.65,1.68,1.77,3.85,19.32,-0.84,85.73,127.64,-55.08,2.0
2.0,3.0,4.0,103.67,74.25,-52.85,-56.02,-67.81,16.34,2.22,-17.86,4.89,31.5,100.98,-106.68,63.01,-14.1,16.43,-5.91,-71.7,48.74,-59.26,-232.62,10.75,1.0
2.0,2.0,2.0,-7.32,-26.98,-21.07,59.68,28.65,26.08,44.92,-16.46,-1.03,-53.26,-9.63,-74.73,-18.89,-22.0,58.79,1.37,44.66,-23.15,24.0,68.39,8.82,2.0
2.0,1.0,2.0,-232.17,81.74,53.08,103.84,-162.19,16.16,-82.66,-8.47,4.8,-75.59,-80.25,68.48,-37.63,-2.07,24.73,-1.65,84.27,20.54,8.59,92.93,-142.07,1.0
2.0,3.0,3.0,-155.54,178.06,9.91,12.89,-55.0,92.29,13.33,23.78,5.75,24.24,2.49,-83.15,87.9,-6.95,5.67,0.17,47.31,42.93,-22.89,-298.63,-33.36,0.0
2.0,2.0,3.0,72.32,91.9,119.39,-11.51,-3.37,43.77,45.57,-28.78,14.47,-1.19,1.35,107.48,73.64,-15.16,-90.34,2.6,-35.36,-31.87,35.6,-157.78,-134.02,2.0
2.0,3.0,2.0,149.42,-56.49,4.85,-30.55,14.17,46.86,16.71,38.21,-11.67,55.23,44.06,-39.71,9.04,1.8,-28.79,4.97,118.43,-18.51,-70.16,-71.53,99.82,1.0
2.0,2.0,2.0,-174.38,-36.64,120.54,-35.13,-49.31,-7.84,62.13,-19.95,0.21,-15.21,50.8,-57.42,-31.23,1.15,-35.15,-1.89,-7.7,-75.09,-13.96,37.19,-15.85,2.0
2.0,2.0,1.0,-154.54,-24.53,-67.69,17.87,-72.27,-28.45,-35.42,-15.12,-11.69,-48.12,-29.81,-126.84,-11.66,-14.95,43.32,0.38,147.48,-23.19,1.09,89.31,-6.95,2.0
2.0,2.0,2.0,39.2,18.34,9.37,-54.46,7.85,-31.14,0.21,69.77,3.74,-13.84,-91.45,90.41,22.22,9.15,-3.8,0.75,32.26,38.58,56.15,1.96,-143.69,0.0
2.0,2.0,2.0,198.79,-15.75,26.55,42.7,-66.93,-112.74,-20.11,-53.04,-2.02,24.96,-41.25,80.72,-33.74,14.39,38.78,2.21,59.23,7.04,35.95,109.17,-81.02,1.0
