cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
2.0,1.0,1.0,2.21,16.04,-12.88,26.55,-26.55,-48.21,33.7,10.16,-61.57,182.69,-27.82,-96.71,47.24,52.14,46.83,8.16,0.0
1.0,2.0,2.0,1.05,-6.16,13.61,40.66,-28.44,-43.79,-55.76,-30.79,137.58,-51.75,17.47,15.38,-56.3,-73.93,53.55,-40.01,2.0
2.0,2.0,3.0,9.86,0.69,58.49,42.47,121.42,29.83,-70.52,45.08,17.36,-109.57,7.74,87.02,33.22,30.61,40.47,-21.41,1.0
2.0,2.0,2.0,13.41,5.8,15.4,6.75,-12.62,-32.37,-51.34,7.67,11.88,-34.79,104.34,103.85,-30.65,-56.03,82.51,7.53,1.0
1.0,1.0,2.0,18.78,90.05,-8.44,105.72,-369.52,1.71,-113.4,12.8,150.58,-29.0,-76.79,-474.63,17.45,110.73,29.92,-20.14,2.0
1.0,1.0,2.0,-33.56,1.76,54.62,-3.72,2.66,47.19,30.98,12.28,-30.39,107.64,-82.34,-32.16,-10.04,21.58,-117.42,-45.52,2.0
2.0,3.0,1.0,2.49,30.47,2.25,117.84,-263.77,-24.79,-45.7,-12.9,277.13,82.67,-52.68,-189.53,-50.6,6.71,15.88,89.22,2.0
1.0,2.0,2.0,-35.49,-13.99,-29.89,-25.13,190.24,37.04,-95.99,-10.07,64.14,127.99,44.93,186.38,-2.48,-41.81,110.07,-123.16,1.0
1.0,3.0,2.0,-29.75,-1.86,-25.03,33.51,-121.53,-60.03,95.02,-50.39,254.99,-62.45,41.29,-2.83,-33.44,-34.71,-1.74,-54.89,0.0
2.0,2.0,2.0,8.29,20.31,68.35,-27.23,34.87,32.75,69.27,32.16,-66.56,96.31,73.4,156.09,31.53,-4.15,4.62,35.01,2.0
2.0,1.0,2.0,-22.61,36.41,-47.91,-69.37,227.74,49.73,19.8,5.33,-210.92,-135.93,115.38,248.8,16.94,-40.45,26.37,1.61,2.0
2.0,2.0,2.0,25.78,-23.47,-87.27,-8.2,-58.7,16.04,-99.14,46.46,3.51,-55.25,45.8,66.43,2.7,6.28,-86.03,-1.92,1.0
2.0,0.0,1.0,8.95,-32.82,98.59,-17.94,105.02,63.85,65.46,26.11,-172.03,-96.85,-2.33,-10.07,-31.45,38.22,37.75,-15.78,2.0
1.0,3.0,1.0,12.45,-55.8,7.42,-24.57,58.62,-55.24,-54.79,-28.69,188.15,59.75,-75.09,180.77,11.31,-42.63,-179.09,-96.62,1.0
1.0,2.0,3.0,17.69,-3.58,40.37,33.17,66.12,-56.61,37.54,-16.93,95.66,60.23,99.28,65.32,-35.27,-32.78,60.6,-29.26,0.0
2.0,2.0,0.0,9.44,17.61,122.84,-27.09,365.22,-1.45,-20.51,-4.2,-30.4,33.63,29.79,262.83,-24.58,59.15,35.26,-26.56,1.0
