cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
1.0,1.0,1.0,36.93,-19.54,3.15,-7.01,1.46,-19.53,-1.45,147.58,5.31,137.46,-182.67,-22.5,94.6,-107.53,-119.71,-18.84,0.0
1.0,1.0,1.0,-162.59,-63.19,-20.9,-35.17,3.97,-20.61,1.57,22.62,11.27,-29.23,-390.32,23.28,-117.63,28.97,-83.47,-1.07,0.0
1.0,1.0,1.0,156.35,-15.93,-54.88,-35.71,-4.15,67.88,-0.21,28.72,13.49,42.03,176.48,-44.07,43.47,-40.48,-198.53,19.23,2.0
2.0,1.0,0.0,-108.71,8.82,44.14,19.42,-1.56,-11.35,-2.96,-59.29,-0.84,58.99,11.08,-3.4,-47.41,-175.35,-110.22,13.89,2.0
2.0,1.0,1.0,113.56,-37.55,12.92,-12.99,4.53,7.9,1.66,-193.76,-36.46,162.21,294.24,22.41,30.57,34.93,118.45,1.39,1.0
1.0,1.0,0.0,68.79,75.79,1.72,42.13,0.74,-9.54,-2.18,-46.13,22.61,136.04,-210.94,-34.37,0.11,44.79,16.26,18.31,0.0
1.0,1.0,1.0,-7.99,20.51,-23.5,-65.22,1.14,-23.54,-8.53,-48.85,-3.07,149.42,-246.26,-3.36,45.86,-101.78,12.21,6.0,1.0
1.0,1.0,1.0,54.91,-12.83,-77.44,190.63,4.79,22.27,-0.99,45.46,-26.73,-44.32,116.7,11.06,60.35,210.33,42.27,14.22,1.0
1.0,1.0,0.0,17.06,14.01,10.12,-12.19,1.44,71.07,-2.37,-2.91,-19.74,91.92,492.55,34.64,-45.13,29.23,-66.3,-4.15,1.0
1.0,1.0,1.0,27.2,-15.26,56.82,-114.99,-4.12,26.41,-4.84,-20.41,9.33,17.44,-27.25,-12.98,20.01,-117.94,-39.05,-2.51,2.0
1.0,1.0,1.0,12.49,77.33,-63.64,65.35,-0.3,39.13,-2.87,-64.34,16.71,-11.08,7.03,42.59,40.64,-84.38,-20.69,16.15,0.0
2.0,1.0,1.0,-36.67,-52.71,32.74,25.33,13.34,75.93,8.36,-60.1,7.92,-75.39,65.96,24.05,-0.19,-107.76,-48.72,9.49,1.0
1.0,1.0,1.0,44.34,59.49,22.99,7.85,-8.04,-73.41,-0.93,-44.24,3.16,-59.67,16.94,1.67,-99.63,-52.36,-157.62,3.93,0.0
1.0,1.0,0.0,-25.33,-6.95,-30.4,123.13,0.18,67.27,1.17,-42.51,-14.1,-120.97,358.53,2.52,-113.59,-53.8,58.4,5.95,1.0
1.0,1.0,0.0,-56.71,-57.23,61.39,-101.55,5.7,-54.19,-1.96,83.32,10.25,5.21,-544.88,95.08,73.82,-0.87,46.74,-18.43,0.0
1.0,1.0,1.0,-37.47,-128.19,-26.58,76.55,7.03,-16.81,0.34,53.33,4.22,15.0,-339.92,-0.75,-21.82,94.63,-132.25,-37.24,0.0
1.0,1.0,1.0,43.9,38.61,-36.28,-51.08,1.94,43.97,1.9,44.2,-14.83,116.44,323.79,-21.11,-70.98,44.43,-76.17,18.48,1.0
1.0,2.0,1.0,69.97,-57.65,-29.83,-188.74,-4.4,-14.66,3.29,-138.62,-18.52,-120.24,34.8,27.88,64.66,-59.46,227.48,10.15,1.0
1.0,1.0,2.0,12.57,40.87,-23.41,-50.21,-1.94,-73.38,-1.17,17.66,26.53,-4.56,-519.71,-1.16,-13.22,-17.47,-156.05,12.2,0.0
1.0,1.0,1.0,-80.12,82.31,32.68,-22.64,4.38,66.9,0.97,-140.49,1.62,9.95,248.03,49.28,27.32,-30.31,-146.81,18.21,0.0
1.0,1.0,0.0,56.02,-89.21,10.42,56.69,-1.57,78.82,-4.45,115.73,12.82,12.76,-224.52,15.31,-52.25,-66.78,-13.18,25.66,2.0
1.0,0.0,1.0,-2.38,-25.03,-38.92,89.8,-4.44,95.7,-1.05,-94.84,-21.49,-65.77,625.66,-23.06,128.88,121.03,-235.74,-2.75,1.0
1.0,1.0,1.0,230.26,-48.16,-12.87,17.22,1.3,30.01,-4.99,36.6,13.64,-128.78,-255.08,58.79,6.26,-24.94,38.25,2.39,2.0
