cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
1.0,1.0,1.0,69.53,-5.74,190.78,3.43,13.88,141.44,79.82,1.12,22.54,-13.63,43.01,-48.26,2.92,98.7,16.56,-100.18,65.69,5.93,-60.14,-127.58,-24.39,1.0
1.0,1.0,1.0,50.33,1.57,-178.54,23.78,-6.27,-121.18,-69.73,1.45,-73.91,108.98,-43.71,56.18,-150.27,6.6,80.36,38.84,59.83,0.57,79.07,82.6,190.9,1.0
0.0,1.0,1.0,-34.74,-14.06,15.44,-34.79,6.23,-132.94,20.16,-5.75,106.05,-4.64,-26.25,9.45,-320.16,-128.11,28.19,322.25,21.42,5.49,55.76,-72.32,215.63,1.0
1.0,0.0,1.0,-30.26,42.96,-383.4,3.98,-13.97,-315.21,-5.35,11.8,-24.09,-35.41,161.06,-1.68,-21.13,-41.54,216.06,15.4,2.76,0.38,-18.9,-102.49,-59.7,1.0
0.0,1.0,1.0,-46.75,-5.76,-326.99,-39.45,23.98,117.99,-66.63,1.47,-86.5,82.95,-81.59,20.43,345.4,-10.17,172.61,-88.94,-22.2,4.13,-81.99,233.13,-133.99,2.0
1.0,1.0,1.0,-7.11,-49.88,228.12,6.3,-15.99,9.26,63.34,10.26,-28.79,-35.07,-10.65,-5.77,-341.82,-51.35,-85.69,96.66,40.02,1.14,-57.65,-295.96,168.64,0.0
1.0,1.0,1.0,-32.82,3.56,-21.77,-23.34,-34.1,8.38,-21.78,-0.13,110.9,-30.11,-102.07,-24.24,-73.24,38.6,-26.45,-315.61,68.34,0.86,-133.77,-317.95,-65.67,0.0
1.0,1.0,1.0,-21.97,-14.49,5.31,35.48,15.84,75.87,-45.24,-18.46,-42.72,28.64,1.62,-34.28,-11.86,31.34,61.69,-267.29,19.53,0.16,-148.94,-226.49,-142.43,2.0
1.0,2.0,1.0,13.24,7.75,-31.58,-4.38,-0.98,-186.26,-58.36,-1.83,-10.41,-110.38,47.43,-82.57,-440.71,-138.0,108.76,-17.3,14.99,2.17,92.17,-486.94,-0.28,1.0
1.0,1.0,1.0,96.3,-53.24,-84.32,19.48,-12.01,27.65,-7.64,5.31,52.72,19.92,35.3,-75.8,40.77,-43.69,-18.8,-130.71,42.52,1.8,13.71,-160.04,-80.87,2.0
2.0,0.0,1.0,-6.48,42.55,-60.46,15.18,-9.14,-112.47,-13.12,-7.07,27.05,20.28,-34.31,43.11,-112.01,5.08,75.56,22.92,-153.66,0.88,79.66,-45.54,42.6,1.0
1.0,1.0,1.0,-13.34,23.88,121.08,-4.78,-14.87,153.93,-22.05,-0.53,95.21,-8.76,-72.51,-90.27,152.35,142.15,-48.57,-272.74,37.02,-1.17,-167.95,36.72,-105.71,2.0
1.0,1.0,1.0,34.72,-26.02,-82.74,-22.73,10.1,202.15,-61.27,-14.04,-10.81,-61.7,64.65,26.83,277.63,70.05,31.03,-153.74,45.33,-1.75,92.42,243.42,-68.22,2.0
1.0,1.0,2.0,-81.81,-13.85,70.11,7.25,-13.41,-106.58,29.74,-14.7,97.67,-102.55,-53.6,-22.84,-334.43,-109.93,-175.21,79.35,-19.15,1.85,4.41,-292.98,200.14,0.0
1.0,1.0,1.0,-36.76,-7.0,109.94,19.04,25.4,-93.91,63.15,1.51,29.55,-7.81,-37.88,63.28,-149.16,1.36,52.09,61.94,47.83,0.86,46.05,-189.89,-26.79,1.0
1.0,1.0,0.0,5.15,-28.08,-209.92,-15.96,3.83,25.36,-37.3,1.64,-152.0,-126.41,106.37,67.86,161.09,-99.98,73.6,41.87,-37.56,0.47,-212.2,79.69,-97.69,2.0
2.0,1.0,1.0,20.49,-8.52,-172.59,14.55,0.73,-60.49,-80.97,-4.92,-14.45,45.7,-37.57,22.99,52.3,-3.75,79.19,-39.56,-1.56,-3.89,-159.83,114.02,-27.26,2.0
1.0,1.0,1.0,-0.5,34.18,-145.72,-25.1,-12.62,-406.48,29.16,1.59,-96.12,87.78,-64.11,-12.66,-142.49,-13.63,-8.75,161.84,0.86,3.84,5.93,5.08,81.48,2.0
0.0,1.0,1.0,-15.5,-6.68,91.52,26.08,16.03,-54.63,-10.53,14.54,31.91,22.98,5.79,-23.4,-188.12,4.68,-180.23,-96.33,-32.94,-2.24,-155.46,-164.88,118.73,0.0
1.0,2.0,1.0,64.97,22.59,73.3,7.68,-3.33,34.45,-54.95,3.68,11.26,-12.65,-6.39,78.64,-33.5,69.01,106.92,-150.71,-43.52,2.88,172.61,-64.12,-113.83,0.0
1.0,1.0,1.0,-45.01,-31.25,-122.12,12.84,17.7,10.13,-52.06,-8.51,6.15,-6.43,-63.0,-42.37,-118.64,-48.15,66.07,-28.67,6.6,0.31,-118.71,-85.47,88.4,1.0
1.0,0.0,2.0,3.68,6.71,-184.13,10.17,7.73,12.86,-84.97,6.24,-63.37,-5.54,117.45,-28.29,103.63,24.72,138.17,-96.17,-4.04,-3.3,-30.05,120.8,-57.0,2.0
