cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,target
1.0,1.0,-14.68,23.31,5.74,-139.04,-17.67,-33.2,-105.47,-38.78,18.41,-131.75,24.12,187.8,26.86,-16.55,-82.36,2.0
2.0,1.0,51.81,-92.87,-38.14,-48.01,20.88,38.42,124.24,-98.45,-37.8,-168.04,-38.33,-127.23,-106.21,74.97,37.66,2.0
1.0,2.0,-5.94,49.59,-18.33,-14.14,366.8,26.79,14.64,32.42,-18.02,-115.52,-50.54,241.22,-221.61,-19.25,42.36,2.0
1.0,1.0,43.06,11.45,21.84,20.05,169.43,54.16,59.27,3.7,-43.26,-30.96,-20.27,-283.23,3.68,19.19,95.79,0.0
2.0,2.0,19.1,-8.96,12.37,-7.97,205.57,-67.11,-4.4,108.78,84.52,257.93,-23.27,-11.92,-329.34,39.08,162.8,2.0
0.0,1.0,29.57,86.26,-10.93,-10.04,212.31,40.27,39.42,161.2,8.9,478.25,4.36,263.72,-48.64,-188.17,-43.8,1.0
1.0,0.0,-38.73,15.65,13.14,-109.96,-73.86,20.16,-10.66,34.48,-0.35,-86.02,-36.08,49.88,201.07,-51.1,-138.79,1.0
1.0,1.0,-20.29,11.17,22.34,-78.69,239.87,-11.39,48.3,49.72,-28.77,24.44,104.54,91.47,-137.11,-16.73,-18.99,2.0
1.0,1.0,-17.15,-129.32,-31.66,-8.74,7.41,58.49,43.9,-25.51,-47.0,60.52,-62.0,-132.68,-172.68,54.83,162.43,0.0
1.0,1.0,8.39,-9.31,32.82,-55.99,533.1,99.76,-31.09,145.67,-30.89,-21.16,-54.63,-114.84,-181.6,-52.4,100.69,2.0
1.0,2.0,-31.19,92.34,-19.56,-17.55,0.91,56.89,-99.18,114.34,47.01,-56.09,-25.26,-89.26,5.14,155.06,-22.37,1.0
2.0,1.0,28.15,63.05,-8.03,-141.85,120.84,5.32,-51.31,-19.62,-87.15,-107.4,-15.18,-59.64,-35.01,20.68,255.7,0.0
1.0,1.0,-2.02,-100.08,-7.65,-25.34,172.95,4.1,14.87,109.04,-25.48,-212.67,26.52,157.49,-74.18,-6.06,-167.85,2.0
